specification_id	selection_coefficient	demography_curve	target_allele_frequency	deterministic_feasible_from_fixed_archaic_source	declared_timeout_seconds	effective_timeout_seconds	elapsed_seconds	cumulative_elapsed_seconds	invocation_count	invocation_history_valid	invocation_history_error	latest_invocation_status	latest_invocation_error	completed_external_draws	launched_external_draws	interrupted_internal_conditioned_trajectories	last_completed_draw_sample_af	last_completed_draw_accepted	detail	status
intro_s0p005_af20__rep001	0.005		0.2	True	300.0	300.0	56.19759959995281	56.19759959995281	1	True		cached		1	1	0	0.595	True		complete
intro_s0p005_af30__rep001	0.005		0.3	True	300.0	300.0	54.82291740004439	54.82291740004439	1	True		cached		1	1	0	0.885	True		complete
intro_s0p005_af40__rep001	0.005		0.4	True	300.0	300.0	81.99166399997193	81.99166399997193	1	True		cached		1	1	0	0.67	True		complete
intro_s0p005_af50__rep001	0.005		0.5	True	300.0	300.0	215.6928982999525	215.6928982999525	1	True		cached		2	2	0	0.57	True		complete
intro_s0p005_af60__rep001	0.005		0.6	True	300.0	300.0	64.14581279997947	64.14581279997947	1	True		cached		1	1	0	0.78	True		complete
intro_s0p005_af70__rep001	0.005		0.7	True	300.0	300.0	121.14135890000034	121.14135890000034	1	True		cached		2	2	0	0.895	True		complete
intro_s0p005_af80__rep001	0.005		0.8	True	300.0	300.0	228.61330179998185	228.61330179998183	1	True		cached		2	2	0	0.925	True		complete
intro_s0p005_af90__rep001	0.005		0.9	False	300.0	0.0	0.0	1800.1691293999393	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	4	10	5	0.915	False	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p001_af10__rep001	0.001		0.1	False	300.0	300.0	157.1417805000092	157.1417805000092	1	True		cached		1	1	0	0.56	True		complete
intro_s0p001_af20__rep001	0.001		0.2	False	300.0	300.0	181.44545100000687	181.44545100000687	1	True		cached		1	1	0	0.295	True		complete
intro_s0p001_af30__rep001	0.001		0.3	False	300.0	300.0	286.2666273000068	286.2666273000068	1	True		cached		1	1	0	0.65	True		complete
intro_s0p001_af40__rep001	0.001		0.4	False	300.0	284.9451333000252	258.46083499999804	1773.5157016999729	6	True		cached		2	7	5	0.49	True		complete
intro_s0p001_af50__rep001	0.001		0.5	False	300.0	300.0	91.74660750001203	91.74660750001205	1	True		cached		1	1	0	0.635	True		complete
intro_s0p001_af60__rep001	0.001		0.6	False	300.0	0.0	0.0	1800.0152025999341	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p001_af70__rep001	0.001		0.7	False	300.0	0.0	0.0	1801.0750586999602	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p001_af80__rep001	0.001		0.8	False	300.0	294.63110559996494	168.2292333000005	1673.5981277000355	6	True		cached		1	6	5	0.8	True		complete
intro_s0p001_af90__rep001	0.001		0.9	False	300.0	0.0	0.0	1804.2477718999944	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af10__rep002	0.01		0.1	True	300.0	0.0	0.0	1801.014059100009	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af20__rep002	0.01		0.2	True	300.0	0.0	0.0	1800.5336948999902	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	1	7	5	0.94	False	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af30__rep002	0.01		0.3	True	300.0	0.0	0.0	1803.0083900000136	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af40__rep002	0.01		0.4	True	300.0	300.0	226.8155614999705	527.024903499987	2	True		cached		2	3	1	0.84	True		complete
intro_s0p010_af50__rep002	0.01		0.5	True	300.0	0.0	0.0	1800.4012844000135	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	2	8	5	0.945	False	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af60__rep002	0.01		0.6	True	300.0	0.0	0.0	1800.0247913999883	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	1	7	5	0.945	False	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af70__rep002	0.01		0.7	True	300.0	0.0	0.0	1803.3726879999958	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af80__rep002	0.01		0.8	True	300.0	0.0	0.0	1804.2298784999657	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af90__rep002	0.01		0.9	True	300.0	0.0	0.0	1800.689506499948	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p005_af10__rep002	0.005		0.1	True	300.0	300.0	88.97366880002664	88.97366880002664	1	True		cached		1	1	0	0.36	True		complete
intro_s0p005_af20__rep002	0.005		0.2	True	300.0	300.0	96.44947110000066	96.44947110000066	1	True		cached		1	1	0	0.725	True		complete
intro_s0p005_af30__rep002	0.005		0.3	True	300.0	300.0	133.0683396999957	133.0683396999957	1	True		cached		1	1	0	0.795	True		complete
intro_s0p005_af40__rep002	0.005		0.4	True	300.0	300.0	115.87480770004913	115.87480770004912	1	True		cached		1	1	0	0.84	True		complete
intro_s0p005_af50__rep002	0.005		0.5	True	300.0	300.0	66.87821009999607	66.87821009999607	1	True		cached		1	1	0	0.69	True		complete
intro_s0p005_af60__rep002	0.005		0.6	True	300.0	300.0	58.299824699992314	58.29982469999232	1	True		cached		1	1	0	0.86	True		complete
intro_s0p005_af70__rep002	0.005		0.7	True	300.0	300.0	76.3986155000166	76.3986155000166	1	True		cached		1	1	0	0.805	True		complete
intro_s0p005_af80__rep002	0.005		0.8	True	300.0	300.0	222.83152899999914	823.2200255000316	3	True		cached		6	8	2	0.845	True		complete
intro_s0p005_af90__rep002	0.005		0.9	False	300.0	0.0	0.0	1800.181315299964	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	5	11	5	0.925	False	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p001_af10__rep002	0.001		0.1	False	300.0	300.0	6.461987399961799	178.37833689997206	2	True		cached		1	1	0	0.12	True		complete
intro_s0p001_af20__rep002	0.001		0.2	False	300.0	300.0	240.19527100003324	240.19527100003324	1	True		cached		1	1	0	0.215	True		complete
intro_s0p001_af30__rep002	0.001		0.3	False	300.0	300.0	152.62875999999233	152.62875999999233	1	True		cached		1	1	0	0.59	True		complete
intro_s0p001_af40__rep002	0.001		0.4	False	300.0	0.0	0.0	1800.716910999974	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	1	7	5	0.39	False	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p001_af50__rep002	0.001		0.5	False	300.0	0.0	0.0	1800.181689500001	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p001_af60__rep002	0.001		0.6	False	300.0	0.0	0.0	1800.1628639000046	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p001_af70__rep002	0.001		0.7	False	300.0	0.0	0.0	1800.0928980000608	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p001_af80__rep002	0.001		0.8	False	300.0	0.0	0.0	1800.137809900014	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p001_af90__rep002	0.001		0.9	False	300.0	0.0	0.0	1800.0016585999656	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af10__rep003	0.01		0.1	True	300.0	0.0	0.0	1800.5380732000085	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	1	7	5	0.935	False	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af20__rep003	0.01		0.2	True	300.0	0.0	0.0	1800.081507800056	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	1	7	5	0.955	False	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af30__rep003	0.01		0.3	True	300.0	300.0	56.602974399982486	358.59217139997054	2	True		cached		2	3	1	0.805	True		complete
intro_s0p010_af40__rep003	0.01		0.4	True	300.0	0.0	0.0	1801.2156461000377	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	1	7	5	0.98	False	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af50__rep003	0.01		0.5	True	300.0	0.0	0.0	1800.0245845000136	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af60__rep003	0.01		0.6	True	300.0	0.0	0.0	1800.0040316999475	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	2	8	5	0.94	False	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af70__rep003	0.01		0.7	True	300.0	300.0	130.83240469999146	130.83240469999146	1	True		cached		1	1	0	0.935	True		complete
intro_s0p010_af80__rep003	0.01		0.8	True	300.0	0.0	0.0	1800.0854054000229	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af90__rep003	0.01		0.9	True	300.0	0.0	0.0	1800.2291040999553	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p005_af10__rep003	0.005		0.1	True	300.0	300.0	50.41123349999543	50.41123349999543	1	True		cached		1	1	0	0.9	True		complete
intro_s0p005_af20__rep003	0.005		0.2	True	300.0	300.0	101.1750726000173	101.1750726000173	1	True		cached		1	1	0	0.815	True		complete
intro_s0p005_af30__rep003	0.005		0.3	True	300.0	300.0	184.27966719999677	184.2796671999968	1	True		cached		3	3	0	0.595	True		complete
intro_s0p005_af40__rep003	0.005		0.4	True	300.0	300.0	88.54187079996336	88.54187079996336	1	True		cached		1	1	0	0.85	True		complete
intro_s0p005_af50__rep003	0.005		0.5	True	300.0	300.0	82.36602199997287	82.36602199997287	1	True		cached		1	1	0	0.695	True		complete
intro_s0p005_af60__rep003	0.005		0.6	True	300.0	300.0	76.11738379998133	76.11738379998133	1	True		cached		1	1	0	0.73	True		complete
intro_s0p005_af70__rep003	0.005		0.7	True	300.0	300.0	72.94908439996652	372.96958869998343	2	True		cached		4	5	1	0.86	True		complete
intro_s0p005_af80__rep003	0.005		0.8	True	300.0	300.0	54.91292400000384	54.91292400000384	1	True		cached		1	1	0	0.86	True		complete
intro_s0p005_af90__rep003	0.005		0.9	False	300.0	0.0	0.0	1800.0886717000321	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	3	9	5	0.91	False	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p001_af10__rep003	0.001		0.1	False	300.0	300.0	61.98163829999976	61.98163829999976	1	True		cached		1	1	0	0.23	True		complete
intro_s0p001_af20__rep003	0.001		0.2	False	300.0	300.0	72.10192939999979	72.10192939999979	1	True		cached		1	1	0	0.56	True		complete
intro_s0p001_af30__rep003	0.001		0.3	False	300.0	300.0	156.45696229999885	156.45696229999885	1	True		cached		1	1	0	0.48	True		complete
intro_s0p001_af40__rep003	0.001		0.4	False	300.0	300.0	207.35159289999865	207.35159289999865	1	True		cached		1	1	0	0.595	True		complete
intro_s0p001_af50__rep003	0.001		0.5	False	300.0	300.0	159.37768460001098	159.37768460001098	1	True		cached		1	1	0	0.53	True		complete
intro_s0p001_af60__rep003	0.001		0.6	False	300.0	0.0	0.0	1800.267925800079	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	1	7	5	0.59	False	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p001_af70__rep003	0.001		0.7	False	300.0	0.0	0.0	1800.331796499995	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p001_af80__rep003	0.001		0.8	False	300.0	0.0	0.0	1800.2422626000225	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p001_af90__rep003	0.001		0.9	False	300.0	0.0	0.0	1800.2268228000721	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af10__rep004	0.01		0.1	True	300.0	0.0	0.0	1800.9083537000006	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	2	8	5	0.86	False	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af20__rep004	0.01		0.2	True	300.0	0.0	0.0	1800.9298089000258	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	1	7	5	0.965	False	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af30__rep004	0.01		0.3	True	300.0	300.0	237.78215230000205	237.78215230000205	1	True		cached		1	1	0	0.64	True		complete
intro_s0p010_af40__rep004	0.01		0.4	True	300.0	300.0	209.9547812000019	810.1523679000311	3	True		cached		2	4	2	0.89	True		complete
intro_s0p010_af50__rep004	0.01		0.5	True	300.0	300.0	276.32059070000105	1179.8183824999687	4	True		cached		1	4	3	0.605	True		complete
intro_s0p010_af60__rep004	0.01		0.6	True	300.0	0.0	0.0	1800.3044465000094	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	1	7	5	0.875	False	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af70__rep004	0.01		0.7	True	300.0	0.0	0.0	1801.7846704000112	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	1	7	5	0.9	False	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af80__rep004	0.01		0.8	True	300.0	0.0	0.0	1800.9258783999903	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af90__rep004	0.01		0.9	True	300.0	0.0	0.0	1800.9146677000026	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p005_af10__rep004	0.005		0.1	True	300.0	300.0	60.04159320000326	60.04159320000326	1	True		cached		1	1	0	0.77	True		complete
intro_s0p005_af20__rep004	0.005		0.2	True	300.0	300.0	63.123569199990015	63.123569199990015	1	True		cached		1	1	0	0.55	True		complete
intro_s0p005_af30__rep004	0.005		0.3	True	300.0	300.0	75.82121759996517	75.82121759996517	1	True		cached		1	1	0	0.8	True		complete
intro_s0p005_af40__rep004	0.005		0.4	True	300.0	300.0	88.93500160000985	88.93500160000985	1	True		cached		1	1	0	0.77	True		complete
intro_s0p005_af50__rep004	0.005		0.5	True	300.0	300.0	75.3302264000522	75.3302264000522	1	True		cached		1	1	0	0.705	True		complete
intro_s0p005_af60__rep004	0.005		0.6	True	300.0	300.0	91.56221040000673	91.56221040000672	1	True		cached		1	1	0	0.845	True		complete
intro_s0p005_af70__rep004	0.005		0.7	True	300.0	300.0	61.865600499964785	61.86560049996479	1	True		cached		1	1	0	0.73	True		complete
intro_s0p005_af80__rep004	0.005		0.8	True	300.0	300.0	121.57200610000291	1322.0974654000092	5	True		cached		6	10	4	0.82	True		complete
intro_s0p005_af90__rep004	0.005		0.9	False	300.0	300.0	151.9018558000098	151.9018558000098	1	True		cached		1	1	0	0.925	True		complete
intro_s0p001_af10__rep004	0.001		0.1	False	300.0	300.0	82.11805799999274	82.11805799999274	1	True		cached		1	1	0	0.275	True		complete
intro_s0p001_af20__rep004	0.001		0.2	False	300.0	300.0	176.5131137999706	176.5131137999706	1	True		cached		1	1	0	0.315	True		complete
intro_s0p001_af30__rep004	0.001		0.3	False	300.0	300.0	136.00190739997197	436.0094387999852	2	True		cached		1	2	1	0.36	True		complete
intro_s0p001_af40__rep004	0.001		0.4	False	300.0	300.0	246.80627569998614	547.6997142999899	2	True		cached		1	2	1	0.56	True		complete
intro_s0p001_af50__rep004	0.001		0.5	False	300.0	0.0	0.0	1800.2219430999976	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p001_af60__rep004	0.001		0.6	False	300.0	0.0	0.0	1800.0175724999717	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p001_af70__rep004	0.001		0.7	False	300.0	0.0	0.0	1800.0921841999807	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p001_af80__rep004	0.001		0.8	False	300.0	0.0	0.0	1800.0474371999808	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p001_af90__rep004	0.001		0.9	False	300.0	0.0	0.0	1800.1596329999375	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af10__rep005	0.01		0.1	True	300.0	0.0	0.0	1800.0526126999466	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af20__rep005	0.01		0.2	True	300.0	0.0	0.0	1800.0552540999925	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af30__rep005	0.01		0.3	True	300.0	300.0	291.46796280000126	291.46796280000126	1	True		cached		1	1	0	0.815	True		complete
intro_s0p010_af40__rep005	0.01		0.4	True	300.0	0.0	0.0	1800.2418938000046	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	2	8	5	0.93	False	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af50__rep005	0.01		0.5	True	300.0	0.0	0.0	1800.0119636000309	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	1	7	5	0.935	False	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af60__rep005	0.01		0.6	True	300.0	0.0	0.0	1800.8326785000136	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	2	8	5	0.9	False	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af70__rep005	0.01		0.7	True	300.0	0.0	0.0	1800.1467052000262	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	1	7	5	0.925	False	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af80__rep005	0.01		0.8	True	300.0	0.0	0.0	1801.5508902999827	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	1	7	5	0.935	False	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p010_af90__rep005	0.01		0.9	True	300.0	0.0	0.0	1800.0971481000015	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	1	7	5	0.94	False	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p005_af10__rep005	0.005		0.1	True	300.0	300.0	105.14786049997201	105.147860499972	1	True		cached		1	1	0	0.65	True		complete
intro_s0p005_af20__rep005	0.005		0.2	True	300.0	300.0	231.89691890001995	231.89691890001995	1	True		cached		3	3	0	0.935	True		complete
intro_s0p005_af30__rep005	0.005		0.3	True	300.0	300.0	76.40350680000847	76.40350680000847	1	True		cached		1	1	0	0.62	True		complete
intro_s0p005_af40__rep005	0.005		0.4	True	300.0	300.0	250.3428322999971	250.3428322999971	1	True		cached		2	2	0	0.59	True		complete
intro_s0p005_af50__rep005	0.005		0.5	True	300.0	300.0	165.60508720000507	165.60508720000507	1	True		cached		1	1	0	0.895	True		complete
intro_s0p005_af60__rep005	0.005		0.6	True	300.0	300.0	77.78814459999558	377.86219810001785	2	True		cached		5	6	1	0.735	True		complete
intro_s0p005_af70__rep005	0.005		0.7	True	300.0	300.0	51.52881829999387	51.52881829999387	1	True		cached		1	1	0	0.81	True		complete
intro_s0p005_af80__rep005	0.005		0.8	True	300.0	300.0	271.0688267000369	271.0688267000369	1	True		cached		1	1	0	0.83	True		complete
intro_s0p005_af90__rep005	0.005		0.9	False	300.0	0.0	0.0	1800.1043305000385	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	9	15	5	0.87	False	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p001_af10__rep005	0.001		0.1	False	300.0	300.0	191.1388808999909	191.1388808999909	1	True		cached		1	1	0	0.345	True		complete
intro_s0p001_af20__rep005	0.001		0.2	False	300.0	300.0	218.47203629999422	218.47203629999424	1	True		cached		1	1	0	0.435	True		complete
intro_s0p001_af30__rep005	0.001		0.3	False	300.0	300.0	154.53273969999282	154.53273969999282	1	True		cached		1	1	0	0.49	True		complete
intro_s0p001_af40__rep005	0.001		0.4	False	300.0	300.0	233.17418339999858	233.17418339999853	1	True		cached		1	1	0	0.64	True		complete
intro_s0p001_af50__rep005	0.001		0.5	False	300.0	0.0	0.0	1800.0983713000605	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p001_af60__rep005	0.001		0.6	False	300.0	296.19055960006517	235.35123790000216	1739.160678299937	6	True		cached		1	6	5	0.615	True		complete
intro_s0p001_af70__rep005	0.001		0.7	False	300.0	42.65964880003958	42.6602153000058	1800.0005664999662	7	True		timed_out	SLiM conditioning exceeded the declared per-specification limit of 42.6596 seconds	0	7	7			SLiM conditioning exceeded the declared per-specification limit of 42.6596 seconds	timed_out
intro_s0p001_af80__rep005	0.001		0.8	False	300.0	0.0	0.0	1800.1854626999557	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
intro_s0p001_af90__rep005	0.001		0.9	False	300.0	0.0	0.0	1800.666167899988	7	True		exhausted	SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	0	6	5			SLiM conditioning exhausted the declared cumulative per-specification limit of 1800 seconds	exhausted
