unit_id	replicate_index	seed	panel_seed	scenario	selection_coefficient	mutation_origin_population	mutation_age_generations	pulse_generations	present_conditioning	pool_frequency_conditioning	terminal_af_target_or_band_conditioning	sample_detection_conditioning	pool_diploids	sample_diploids
ancient_eurasia_single_origin_survival__neutral__rep044	44	1955493411	1764056691	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep045	45	1976915805	358269432	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep046	46	162675911	1823054302	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep047	47	1657096784	576176400	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep048	48	1760761932	308279415	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep049	49	1440330354	953523097	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep050	50	1566279775	1640692591	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep051	51	1244100212	1156590325	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep052	52	1638743623	1777968373	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep053	53	318247857	2133931227	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep054	54	891666166	654183854	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep055	55	2108431360	1975700568	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep056	56	624286484	212249686	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep057	57	46736894	1056853151	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep058	58	786120954	993772398	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep059	59	2032088043	679813035	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep060	60	514990804	1545817843	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep061	61	254063284	341260860	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep062	62	1625311896	747106048	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep063	63	1759015040	1533312664	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep064	64	1479530790	2006376498	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep065	65	446067728	1564995010	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep066	66	1659059065	1574052275	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep067	67	1877290780	819534301	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep068	68	486316503	949302504	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep069	69	1392232496	1990848770	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep070	70	1180453811	1485314143	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep071	71	571709875	448409766	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep072	72	1760871635	1949715803	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep073	73	470214725	2144397004	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep074	74	1950454483	803905540	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep075	75	727502083	469419767	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep076	76	1283451501	1240591306	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep077	77	372514222	1127036725	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep078	78	1733577406	33587253	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep079	79	734654155	2102833315	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep080	80	1726776063	1153369407	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep081	81	1029570884	1680631744	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep082	82	1859370664	1876854621	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep083	83	1282163933	551795313	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep084	84	1496357208	714277535	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep085	85	414303124	304545303	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep086	86	1909912857	45959952	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep087	87	1421637392	1220717527	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep088	88	1843748505	439560946	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep089	89	1889132124	516106850	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep090	90	816281045	269890775	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep091	91	439010525	642646662	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep092	92	1271384818	725557606	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep093	93	1340486459	2072722062	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep094	94	923574852	974744649	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep095	95	2060780808	1283032276	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep096	96	1969617958	677900113	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep097	97	414383884	74940726	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep098	98	1977180557	1077106738	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
ancient_eurasia_single_origin_survival__neutral__rep099	99	871668962	1266727392	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100
