seed	source_group	source_role	source_record	original_status	prearchive_v2_exclusion_status
209746705	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw018	complete;evaluable=True	omitted
209763596	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.150__draw002	complete	omitted
225864421	obsolete_selected_rep008	simulation_seed	attempt=61	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
241795973	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.150__draw007	complete	omitted
246900555	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.150__draw003	complete	omitted
256170112	obsolete_selected_rep008	simulation_seed	attempt=74	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
283180569	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw011	complete;evaluable=True	omitted
292794396	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw015	complete;evaluable=True	omitted
307998558	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.150__draw005	complete	omitted
335614314	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw013	complete;evaluable=True	omitted
344377065	pilot_recipient_nonloss_n8;pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw004;pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw004	complete;complete	omitted
360702290	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw014	complete;evaluable=True	omitted
364576376	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.400__draw002	complete	omitted
366268638	pilot_recipient_nonloss_n8;pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw000;pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw000	complete;complete	omitted
384593887	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.700__draw002	complete	omitted
398468344	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.200__draw005	complete	omitted
419672794	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.250__draw006	complete	omitted
426110316	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw003	complete;evaluable=True	omitted
448113967	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw013	complete;evaluable=True	omitted
456148034	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw013	complete;evaluable=True	omitted
467024003	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw015	complete;evaluable=True	omitted
479095946	obsolete_selected_rep008	simulation_seed	attempt=76	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
483433808	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw010	complete;evaluable=True	omitted
486517102	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw006	complete;evaluable=True	omitted
488825376	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.550__draw003	complete	omitted
494944149	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw011	complete	omitted
496612853	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.250__draw002	complete	omitted
501709075	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw010	submitted_deterministic_label_not_observed_in_partial_log	omitted
506696511	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw014	complete;evaluable=True	omitted
512400444	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw018	complete;evaluable=True	omitted
534071694	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.550__draw000	complete	omitted
537661655	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw017	complete;evaluable=True	omitted
539192629	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw007	complete;evaluable=True	omitted
547152339	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw016	complete;evaluable=True	omitted
563555709	obsolete_selected_rep008	simulation_seed	attempt=56	complete;accepted=False;rejection=nan	omitted
566112194	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw008	complete	omitted
568263256	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.400__draw001	complete	omitted
572582508	obsolete_selected_rep008	simulation_seed	attempt=85	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
573178640	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.550__draw004	complete	omitted
590468002	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw003	complete;evaluable=True	omitted
600005183	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw005	complete;evaluable=True	omitted
612286413	obsolete_selected_rep008	simulation_seed	attempt=90	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
618918501	obsolete_selected_rep008	panel_seed	accepted sample panel	completion_accepted	omitted
620909924	obsolete_selected_rep008	simulation_seed	attempt=87	complete;accepted=False;rejection=nan	omitted
623335483	neutral_smoke_intro	candidate_seed	attempt=0	accepted=True	omitted
635148220	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.200__draw000	complete	omitted
639087074	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw001	complete;evaluable=True	omitted
652080258	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw014	complete;evaluable=True	omitted
653250031	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.550__draw003	complete	omitted
664076728	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.150__draw004	complete	omitted
664341009	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw005	complete;evaluable=True	omitted
671984880	obsolete_selected_rep008	simulation_seed	attempt=82	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
675646263	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw009	complete;evaluable=True	omitted
710445518	obsolete_selected_rep008	simulation_seed	attempt=70	complete;accepted=False;rejection=nan	omitted
715307775	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.550__draw007	complete	omitted
722421402	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw018	complete;evaluable=True	omitted
733648465	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw006	complete;evaluable=True	omitted
753068476	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.700__draw002	complete	omitted
760589523	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.400__draw003	complete	omitted
768115774	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw006	complete;evaluable=True	omitted
783889463	obsolete_selected_rep008	simulation_seed	attempt=53	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
790683827	obsolete_selected_rep008	simulation_seed	attempt=64	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
801954210	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw005	complete;evaluable=True	omitted
818881750	obsolete_selected_rep008	simulation_seed	attempt=81	complete;accepted=False;rejection=nan	omitted
834506912	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.400__draw004	complete	omitted
839039124	obsolete_selected_rep008	simulation_seed	attempt=80	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
841779380	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.550__draw001	complete	omitted
850559079	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw013	complete;evaluable=True	omitted
865131098	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw016	complete;evaluable=True	omitted
871582226	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw008	complete;evaluable=True	omitted
883928426	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.200__draw008	complete	omitted
889440969	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.700__draw003	complete	omitted
907798606	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.400__draw005	complete	omitted
908909137	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw019	complete;evaluable=True	omitted
926832340	pilot_recipient_nonloss_n8;pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw007;pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw007	complete;complete	omitted
939352565	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw012	complete;evaluable=True	omitted
962666707	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw002	complete;evaluable=True	omitted
963259389	pilot_recipient_nonloss_n8;pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw002;pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw002	complete;complete	omitted
1009686595	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.400__draw000	complete	omitted
1011827163	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.550__draw005	complete	omitted
1018420424	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.200__draw009	complete	omitted
1018895022	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.400__draw006	complete	omitted
1032916709	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw015	complete;evaluable=True	omitted
1044170312	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw007	complete;evaluable=True	omitted
1044642218	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.250__draw003	complete	omitted
1064893320	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.250__draw000	complete	omitted
1068084475	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.400__draw007	complete	omitted
1070978359	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.200__draw001	complete	omitted
1071114737	obsolete_selected_rep008	simulation_seed	attempt=57	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1077912799	obsolete_selected_rep008	simulation_seed	attempt=78	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1081602137	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw000	complete;evaluable=True	omitted
1128185344	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.400__draw006	complete	omitted
1134206790	obsolete_selected_rep008	simulation_seed	attempt=59	complete;accepted=False;rejection=nan	omitted
1150496236	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw019	complete;evaluable=True	omitted
1158932909	obsolete_selected_rep008	simulation_seed	attempt=60	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1166280754	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.700__draw007	complete	omitted
1170413283	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.550__draw002	complete	omitted
1171267411	obsolete_selected_rep008	simulation_seed	attempt=79	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1206030675	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw016	complete;evaluable=True	omitted
1214230363	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.700__draw007	complete	omitted
1218502182	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw004	complete;evaluable=True	omitted
1242986617	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw000	complete;evaluable=True	omitted
1247295209	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw003	complete;evaluable=True	omitted
1262731428	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw012	complete;evaluable=True	omitted
1262809703	pilot_recipient_nonloss_n8;pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw003;pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw003	complete;complete	omitted
1266213069	obsolete_selected_rep008	simulation_seed	attempt=91	complete;accepted=True;rejection=nan	omitted
1266479805	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw019	complete;evaluable=True	omitted
1279545416	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.400__draw005	complete	omitted
1296013496	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.550__draw005	complete	omitted
1301145723	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw003	complete;evaluable=True	omitted
1311679641	obsolete_selected_rep008	simulation_seed	attempt=88	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1326580103	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.550__draw007	complete	omitted
1349264422	obsolete_selected_rep008	simulation_seed	attempt=51	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1362591354	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.400__draw000	complete	omitted
1366094276	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw002	complete;evaluable=True	omitted
1391409552	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.250__draw007	complete	omitted
1393927229	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw008	complete;evaluable=True	omitted
1401046798	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw000	complete;evaluable=True	omitted
1402187544	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.700__draw005	complete	omitted
1402913068	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw001	complete;evaluable=True	omitted
1404952874	obsolete_selected_rep008	simulation_seed	attempt=50	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1408106930	obsolete_selected_rep008	simulation_seed	attempt=67	complete;accepted=False;rejection=nan	omitted
1428579184	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw004	complete;evaluable=True	omitted
1446432343	obsolete_selected_rep008	simulation_seed	attempt=77	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1448478283	obsolete_selected_rep008	simulation_seed	attempt=68	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1458022473	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.200__draw011	complete	omitted
1461792277	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw010	complete;evaluable=True	omitted
1463236529	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw005	complete;evaluable=True	omitted
1465092068	obsolete_selected_rep008	simulation_seed	attempt=52	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1470010677	obsolete_selected_rep008	simulation_seed	attempt=69	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1470920828	obsolete_selected_rep008	simulation_seed	attempt=58	timed_out;accepted=False;rejection=nan	omitted
1525854555	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw007	complete;evaluable=True	omitted
1540062231	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw002	complete;evaluable=True	omitted
1547867556	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw017	complete;evaluable=True	omitted
1562408161	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.550__draw001	complete	omitted
1565076804	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.550__draw000	complete	omitted
1572076548	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw015	complete;evaluable=True	omitted
1573304126	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.400__draw004	complete	omitted
1574272064	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw010	complete;evaluable=True	omitted
1574852849	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw011	complete;evaluable=True	omitted
1583616594	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw014	complete;evaluable=True	omitted
1586397294	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.700__draw004	complete	omitted
1586892683	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.700__draw005	complete	omitted
1589556424	obsolete_selected_rep008	simulation_seed	attempt=55	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1589993805	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.550__draw004	complete	omitted
1607874416	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.700__draw006	complete	omitted
1613789275	obsolete_selected_rep008	simulation_seed	attempt=75	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1617476460	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw009	complete;evaluable=True	omitted
1622207224	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.700__draw006	complete	omitted
1629045384	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw017	complete;evaluable=True	omitted
1643977952	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw011	complete;evaluable=True	omitted
1673250600	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw004	complete;evaluable=True	omitted
1680216720	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw019	complete;evaluable=True	omitted
1691291000	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.400__draw001	complete	omitted
1705744848	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.550__draw006	complete	omitted
1707399878	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw017	complete;evaluable=True	omitted
1714675708	obsolete_selected_rep008	simulation_seed	attempt=66	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1720470415	obsolete_selected_rep008	simulation_seed	attempt=73	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1751619061	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.700__draw000	complete	omitted
1753534185	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw012	complete;evaluable=True	omitted
1778643834	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.150__draw006	complete	omitted
1810792694	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.400__draw002	complete	omitted
1837557186	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw016	complete;evaluable=True	omitted
1843095883	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw011	complete;evaluable=True	omitted
1854081785	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.200__draw002	complete	omitted
1863931080	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.200__draw003	complete	omitted
1884755965	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.200__draw010	complete	omitted
1890365386	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw009	complete;evaluable=True	omitted
1909513838	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.550__draw006	complete	omitted
1922407794	obsolete_selected_rep008	simulation_seed	attempt=62	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1923664365	obsolete_selected_rep008	simulation_seed	attempt=54	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1928840615	pilot_recipient_nonloss_n8;pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw005;pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw005	complete;complete	omitted
1946131285	obsolete_selected_rep008	simulation_seed	attempt=86	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
1962333933	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.550000__q5__draw007	complete;evaluable=True	omitted
1979886500	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.200__draw006	complete	omitted
2005136873	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.700__draw000	complete	omitted
2009307640	pilot_recipient_nonloss_n8;pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw006;pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw006	complete;complete	omitted
2017753688	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw006	complete;evaluable=True	omitted
2024022608	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.250__draw005	complete	omitted
2026685184	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.850000__q5__draw010	complete;evaluable=True	omitted
2033878215	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.400__draw007	complete	omitted
2034791666	obsolete_selected_rep008	simulation_seed	attempt=72	complete;accepted=False;rejection=nan	omitted
2040473445	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw009	complete;evaluable=True	omitted
2040532636	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.700__draw004	complete	omitted
2048919205	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw000	complete;evaluable=True	omitted
2049410115	pilot_recipient_nonloss_refine_n12	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.250__draw009	submitted_deterministic_label_not_observed_in_partial_log	omitted
2061910374	pilot_recipient_nonloss_n8	simulation_seed	pilot__recipient_nonloss__s0.010__af0.10__m0.150__draw000	complete	omitted
2085965311	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.250__draw001	complete	omitted
2103965896	obsolete_selected_rep008	simulation_seed	attempt=83	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
2110441010	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m0.700000__q5__draw012	complete;evaluable=True	omitted
2112935206	obsolete_selected_rep008	simulation_seed	attempt=89	complete;accepted=False;rejection=focal_mutation_absent_at_present	omitted
2130989220	pilot_successful_transfer	simulation_seed	pilot__successful_transfer__s0.010__af0.10__m0.700__draw001	complete	omitted
2138299845	fixed_partial	simulation_seed	han_calibration__s0.010000__af0.100000__m1.000000__q5__draw001	complete;evaluable=True	omitted
