onset_years,source,method,cutoff_years,policy,target,mode,n,called,region_call_rate
10000,median,maximum_standardized_frac_recent,10000,selected_target,0.7,neutral,1000,668,0.668
10000,median,maximum_standardized_frac_recent,10000,selected_target,0.7,selected,100,67,0.67
10000,median,maximum_standardized_frac_recent,20000,neutral_target,0.01,neutral,1000,12,0.012
10000,median,maximum_standardized_frac_recent,20000,neutral_target,0.01,selected,100,0,0.0
10000,median,maximum_standardized_frac_recent,20000,neutral_target,0.05,neutral,1000,45,0.045
10000,median,maximum_standardized_frac_recent,20000,neutral_target,0.05,selected,100,4,0.04
10000,median,maximum_standardized_frac_recent,20000,neutral_target,0.1,neutral,1000,92,0.092
10000,median,maximum_standardized_frac_recent,20000,neutral_target,0.1,selected,100,8,0.08
10000,median,maximum_standardized_frac_recent,20000,selected_target,0.7,neutral,1000,667,0.667
10000,median,maximum_standardized_frac_recent,20000,selected_target,0.7,selected,100,67,0.67
10000,median,maximum_standardized_frac_recent,30000,neutral_target,0.01,neutral,1000,11,0.011
10000,median,maximum_standardized_frac_recent,30000,neutral_target,0.01,selected,100,0,0.0
10000,median,maximum_standardized_frac_recent,30000,neutral_target,0.05,neutral,1000,48,0.048
10000,median,maximum_standardized_frac_recent,30000,neutral_target,0.05,selected,100,5,0.05
10000,median,maximum_standardized_frac_recent,30000,neutral_target,0.1,neutral,1000,97,0.097
10000,median,maximum_standardized_frac_recent,30000,neutral_target,0.1,selected,100,9,0.09
10000,median,maximum_standardized_frac_recent,30000,selected_target,0.7,neutral,1000,677,0.677
10000,median,maximum_standardized_frac_recent,30000,selected_target,0.7,selected,100,67,0.67
10000,median,maximum_standardized_frac_recent,40000,neutral_target,0.01,neutral,1000,10,0.01
10000,median,maximum_standardized_frac_recent,40000,neutral_target,0.01,selected,100,0,0.0
10000,median,maximum_standardized_frac_recent,40000,neutral_target,0.05,neutral,1000,48,0.048
10000,median,maximum_standardized_frac_recent,40000,neutral_target,0.05,selected,100,3,0.03
10000,median,maximum_standardized_frac_recent,40000,neutral_target,0.1,neutral,1000,104,0.104
10000,median,maximum_standardized_frac_recent,40000,neutral_target,0.1,selected,100,9,0.09
10000,median,maximum_standardized_frac_recent,40000,selected_target,0.7,neutral,1000,670,0.67
10000,median,maximum_standardized_frac_recent,40000,selected_target,0.7,selected,100,69,0.69
10000,median,maximum_standardized_frac_recent,50000,neutral_target,0.01,neutral,1000,13,0.013
10000,median,maximum_standardized_frac_recent,50000,neutral_target,0.01,selected,100,0,0.0
10000,median,maximum_standardized_frac_recent,50000,neutral_target,0.05,neutral,1000,44,0.044
10000,median,maximum_standardized_frac_recent,50000,neutral_target,0.05,selected,100,4,0.04
10000,median,maximum_standardized_frac_recent,50000,neutral_target,0.1,neutral,1000,100,0.1
10000,median,maximum_standardized_frac_recent,50000,neutral_target,0.1,selected,100,12,0.12
10000,median,maximum_standardized_frac_recent,50000,selected_target,0.7,neutral,1000,678,0.678
10000,median,maximum_standardized_frac_recent,50000,selected_target,0.7,selected,100,68,0.68
10000,prob80,maximum_frac_recent,5000,neutral_target,0.01,neutral,1000,9,0.009
10000,prob80,maximum_frac_recent,5000,neutral_target,0.01,selected,100,0,0.0
10000,prob80,maximum_frac_recent,5000,neutral_target,0.05,neutral,1000,35,0.035
10000,prob80,maximum_frac_recent,5000,neutral_target,0.05,selected,100,2,0.02
10000,prob80,maximum_frac_recent,5000,neutral_target,0.1,neutral,1000,77,0.077
10000,prob80,maximum_frac_recent,5000,neutral_target,0.1,selected,100,5,0.05
10000,prob80,maximum_frac_recent,5000,selected_target,0.7,neutral,1000,771,0.771
10000,prob80,maximum_frac_recent,5000,selected_target,0.7,selected,100,72,0.72
10000,prob80,maximum_frac_recent,10000,neutral_target,0.01,neutral,1000,10,0.01
10000,prob80,maximum_frac_recent,10000,neutral_target,0.01,selected,100,0,0.0
10000,prob80,maximum_frac_recent,10000,neutral_target,0.05,neutral,1000,46,0.046
10000,prob80,maximum_frac_recent,10000,neutral_target,0.05,selected,100,6,0.06
10000,prob80,maximum_frac_recent,10000,neutral_target,0.1,neutral,1000,102,0.102
10000,prob80,maximum_frac_recent,10000,neutral_target,0.1,selected,100,10,0.1
10000,prob80,maximum_frac_recent,10000,selected_target,0.7,neutral,1000,654,0.654
10000,prob80,maximum_frac_recent,10000,selected_target,0.7,selected,100,68,0.68
10000,prob80,maximum_frac_recent,20000,neutral_target,0.01,neutral,1000,9,0.009
10000,prob80,maximum_frac_recent,20000,neutral_target,0.01,selected,100,0,0.0
10000,prob80,maximum_frac_recent,20000,neutral_target,0.05,neutral,1000,52,0.052
10000,prob80,maximum_frac_recent,20000,neutral_target,0.05,selected,100,2,0.02
10000,prob80,maximum_frac_recent,20000,neutral_target,0.1,neutral,1000,97,0.097
10000,prob80,maximum_frac_recent,20000,neutral_target,0.1,selected,100,9,0.09
10000,prob80,maximum_frac_recent,20000,selected_target,0.7,neutral,1000,724,0.724
10000,prob80,maximum_frac_recent,20000,selected_target,0.7,selected,100,69,0.69
10000,prob80,maximum_frac_recent,30000,neutral_target,0.01,neutral,1000,12,0.012
10000,prob80,maximum_frac_recent,30000,neutral_target,0.01,selected,100,0,0.0
10000,prob80,maximum_frac_recent,30000,neutral_target,0.05,neutral,1000,51,0.051
10000,prob80,maximum_frac_recent,30000,neutral_target,0.05,selected,100,5,0.05
10000,prob80,maximum_frac_recent,30000,neutral_target,0.1,neutral,1000,113,0.113
10000,prob80,maximum_frac_recent,30000,neutral_target,0.1,selected,100,10,0.1
10000,prob80,maximum_frac_recent,30000,selected_target,0.7,neutral,1000,661,0.661
10000,prob80,maximum_frac_recent,30000,selected_target,0.7,selected,100,69,0.69
10000,prob80,maximum_frac_recent,40000,neutral_target,0.01,neutral,1000,15,0.015
10000,prob80,maximum_frac_recent,40000,neutral_target,0.01,selected,100,0,0.0
10000,prob80,maximum_frac_recent,40000,neutral_target,0.05,neutral,1000,53,0.053
10000,prob80,maximum_frac_recent,40000,neutral_target,0.05,selected,100,4,0.04
10000,prob80,maximum_frac_recent,40000,neutral_target,0.1,neutral,1000,98,0.098
10000,prob80,maximum_frac_recent,40000,neutral_target,0.1,selected,100,12,0.12
10000,prob80,maximum_frac_recent,40000,selected_target,0.7,neutral,1000,647,0.647
10000,prob80,maximum_frac_recent,40000,selected_target,0.7,selected,100,67,0.67
10000,prob80,maximum_frac_recent,50000,neutral_target,0.01,neutral,1000,11,0.011
10000,prob80,maximum_frac_recent,50000,neutral_target,0.01,selected,100,0,0.0
10000,prob80,maximum_frac_recent,50000,neutral_target,0.05,neutral,1000,53,0.053
10000,prob80,maximum_frac_recent,50000,neutral_target,0.05,selected,100,7,0.07
10000,prob80,maximum_frac_recent,50000,neutral_target,0.1,neutral,1000,103,0.103
10000,prob80,maximum_frac_recent,50000,neutral_target,0.1,selected,100,11,0.11
10000,prob80,maximum_frac_recent,50000,selected_target,0.7,neutral,1000,668,0.668
10000,prob80,maximum_frac_recent,50000,selected_target,0.7,selected,100,68,0.68
10000,prob80,maximum_standardized_frac_recent,5000,neutral_target,0.01,neutral,1000,11,0.011
10000,prob80,maximum_standardized_frac_recent,5000,neutral_target,0.01,selected,100,1,0.01
10000,prob80,maximum_standardized_frac_recent,5000,neutral_target,0.05,neutral,1000,43,0.043
10000,prob80,maximum_standardized_frac_recent,5000,neutral_target,0.05,selected,100,2,0.02
10000,prob80,maximum_standardized_frac_recent,5000,neutral_target,0.1,neutral,1000,100,0.1
10000,prob80,maximum_standardized_frac_recent,5000,neutral_target,0.1,selected,100,9,0.09
10000,prob80,maximum_standardized_frac_recent,5000,selected_target,0.7,neutral,1000,708,0.708
10000,prob80,maximum_standardized_frac_recent,5000,selected_target,0.7,selected,100,71,0.71
10000,prob80,maximum_standardized_frac_recent,10000,neutral_target,0.01,neutral,1000,11,0.011
10000,prob80,maximum_standardized_frac_recent,10000,neutral_target,0.01,selected,100,1,0.01
10000,prob80,maximum_standardized_frac_recent,10000,neutral_target,0.05,neutral,1000,49,0.049
10000,prob80,maximum_standardized_frac_recent,10000,neutral_target,0.05,selected,100,4,0.04
10000,prob80,maximum_standardized_frac_recent,10000,neutral_target,0.1,neutral,1000,98,0.098
10000,prob80,maximum_standardized_frac_recent,10000,neutral_target,0.1,selected,100,11,0.11
10000,prob80,maximum_standardized_frac_recent,10000,selected_target,0.7,neutral,1000,620,0.62
10000,prob80,maximum_standardized_frac_recent,10000,selected_target,0.7,selected,100,69,0.69
10000,prob80,maximum_standardized_frac_recent,20000,neutral_target,0.01,neutral,1000,10,0.01
10000,prob80,maximum_standardized_frac_recent,20000,neutral_target,0.01,selected,100,0,0.0
10000,prob80,maximum_standardized_frac_recent,20000,neutral_target,0.05,neutral,1000,51,0.051
10000,prob80,maximum_standardized_frac_recent,20000,neutral_target,0.05,selected,100,4,0.04
10000,prob80,maximum_standardized_frac_recent,20000,neutral_target,0.1,neutral,1000,95,0.095
10000,prob80,maximum_standardized_frac_recent,20000,neutral_target,0.1,selected,100,9,0.09
10000,prob80,maximum_standardized_frac_recent,20000,selected_target,0.7,neutral,1000,695,0.695
10000,prob80,maximum_standardized_frac_recent,20000,selected_target,0.7,selected,100,68,0.68
10000,prob80,maximum_standardized_frac_recent,30000,neutral_target,0.01,neutral,1000,11,0.011
10000,prob80,maximum_standardized_frac_recent,30000,neutral_target,0.01,selected,100,0,0.0
10000,prob80,maximum_standardized_frac_recent,30000,neutral_target,0.05,neutral,1000,52,0.052
10000,prob80,maximum_standardized_frac_recent,30000,neutral_target,0.05,selected,100,4,0.04
10000,prob80,maximum_standardized_frac_recent,30000,neutral_target,0.1,neutral,1000,103,0.103
10000,prob80,maximum_standardized_frac_recent,30000,neutral_target,0.1,selected,100,6,0.06
10000,prob80,maximum_standardized_frac_recent,30000,selected_target,0.7,neutral,1000,647,0.647
10000,prob80,maximum_standardized_frac_recent,30000,selected_target,0.7,selected,100,64,0.64
10000,prob80,maximum_standardized_frac_recent,40000,neutral_target,0.01,neutral,1000,13,0.013
10000,prob80,maximum_standardized_frac_recent,40000,neutral_target,0.01,selected,100,0,0.0
10000,prob80,maximum_standardized_frac_recent,40000,neutral_target,0.05,neutral,1000,54,0.054
10000,prob80,maximum_standardized_frac_recent,40000,neutral_target,0.05,selected,100,3,0.03
10000,prob80,maximum_standardized_frac_recent,40000,neutral_target,0.1,neutral,1000,101,0.101
10000,prob80,maximum_standardized_frac_recent,40000,neutral_target,0.1,selected,100,9,0.09
10000,prob80,maximum_standardized_frac_recent,40000,selected_target,0.7,neutral,1000,658,0.658
10000,prob80,maximum_standardized_frac_recent,40000,selected_target,0.7,selected,100,69,0.69
10000,prob80,maximum_standardized_frac_recent,50000,neutral_target,0.01,neutral,1000,11,0.011
10000,prob80,maximum_standardized_frac_recent,50000,neutral_target,0.01,selected,100,0,0.0
10000,prob80,maximum_standardized_frac_recent,50000,neutral_target,0.05,neutral,1000,48,0.048
10000,prob80,maximum_standardized_frac_recent,50000,neutral_target,0.05,selected,100,5,0.05
10000,prob80,maximum_standardized_frac_recent,50000,neutral_target,0.1,neutral,1000,94,0.094
10000,prob80,maximum_standardized_frac_recent,50000,neutral_target,0.1,selected,100,9,0.09
10000,prob80,maximum_standardized_frac_recent,50000,selected_target,0.7,neutral,1000,677,0.677
10000,prob80,maximum_standardized_frac_recent,50000,selected_target,0.7,selected,100,67,0.67
10000,prob90,maximum_frac_recent,5000,neutral_target,0.01,neutral,1000,6,0.006
10000,prob90,maximum_frac_recent,5000,neutral_target,0.01,selected,100,1,0.01
10000,prob90,maximum_frac_recent,5000,neutral_target,0.05,neutral,1000,41,0.041
10000,prob90,maximum_frac_recent,5000,neutral_target,0.05,selected,100,3,0.03
10000,prob90,maximum_frac_recent,5000,neutral_target,0.1,neutral,1000,92,0.092
10000,prob90,maximum_frac_recent,5000,neutral_target,0.1,selected,100,5,0.05
10000,prob90,maximum_frac_recent,5000,selected_target,0.7,neutral,1000,814,0.814
10000,prob90,maximum_frac_recent,5000,selected_target,0.7,selected,100,74,0.74
10000,prob90,maximum_frac_recent,10000,neutral_target,0.01,neutral,1000,9,0.009
10000,prob90,maximum_frac_recent,10000,neutral_target,0.01,selected,100,0,0.0
10000,prob90,maximum_frac_recent,10000,neutral_target,0.05,neutral,1000,42,0.042
10000,prob90,maximum_frac_recent,10000,neutral_target,0.05,selected,100,3,0.03
10000,prob90,maximum_frac_recent,10000,neutral_target,0.1,neutral,1000,93,0.093
10000,prob90,maximum_frac_recent,10000,neutral_target,0.1,selected,100,8,0.08
10000,prob90,maximum_frac_recent,10000,selected_target,0.7,neutral,1000,739,0.739
10000,prob90,maximum_frac_recent,10000,selected_target,0.7,selected,100,70,0.7
10000,prob90,maximum_frac_recent,20000,neutral_target,0.01,neutral,1000,9,0.009
10000,prob90,maximum_frac_recent,20000,neutral_target,0.01,selected,100,1,0.01
10000,prob90,maximum_frac_recent,20000,neutral_target,0.05,neutral,1000,46,0.046
10000,prob90,maximum_frac_recent,20000,neutral_target,0.05,selected,100,2,0.02
10000,prob90,maximum_frac_recent,20000,neutral_target,0.1,neutral,1000,102,0.102
10000,prob90,maximum_frac_recent,20000,neutral_target,0.1,selected,100,11,0.11
10000,prob90,maximum_frac_recent,20000,selected_target,0.7,neutral,1000,680,0.68
10000,prob90,maximum_frac_recent,20000,selected_target,0.7,selected,100,69,0.69
10000,prob90,maximum_frac_recent,30000,neutral_target,0.01,neutral,1000,8,0.008
10000,prob90,maximum_frac_recent,30000,neutral_target,0.01,selected,100,0,0.0
10000,prob90,maximum_frac_recent,30000,neutral_target,0.05,neutral,1000,54,0.054
10000,prob90,maximum_frac_recent,30000,neutral_target,0.05,selected,100,3,0.03
10000,prob90,maximum_frac_recent,30000,neutral_target,0.1,neutral,1000,101,0.101
10000,prob90,maximum_frac_recent,30000,neutral_target,0.1,selected,100,9,0.09
10000,prob90,maximum_frac_recent,30000,selected_target,0.7,neutral,1000,707,0.707
10000,prob90,maximum_frac_recent,30000,selected_target,0.7,selected,100,71,0.71
10000,prob90,maximum_frac_recent,40000,neutral_target,0.01,neutral,1000,12,0.012
10000,prob90,maximum_frac_recent,40000,neutral_target,0.01,selected,100,0,0.0
10000,prob90,maximum_frac_recent,40000,neutral_target,0.05,neutral,1000,46,0.046
10000,prob90,maximum_frac_recent,40000,neutral_target,0.05,selected,100,5,0.05
10000,prob90,maximum_frac_recent,40000,neutral_target,0.1,neutral,1000,111,0.111
10000,prob90,maximum_frac_recent,40000,neutral_target,0.1,selected,100,13,0.13
