key,onset_years,fold,marker_position,distance_to_anchor,af,nAA,nRR
neutral/rep0023,0,3,6114989.0,1114989.0,0.1925,366,6544
onset50000/rep0023,50000,2,5000000.0,0.0,0.755,5677,601
neutral/rep0024,0,2,5248265.0,248265.0,0.0425,18,9132
onset50000/rep0024,50000,1,5000000.0,0.0,0.49,2439,2597
neutral/rep0025,0,4,,,0.0,0,0
onset50000/rep0025,50000,0,5000000.0,0.0,0.885,7816,124
neutral/rep0026,0,3,4924301.0,75699.0,0.0425,17,9153
onset50000/rep0026,50000,2,5000000.0,0.0,0.81,6525,363
neutral/rep0027,0,0,4999294.0,706.0,0.1725,309,6895
onset50000/rep0027,50000,0,5000000.0,0.0,0.865,7435,188
neutral/rep0028,0,4,5251177.0,251177.0,0.0575,26,8912
onset50000/rep0028,50000,2,5000000.0,0.0,0.5425,2891,2143
neutral/rep0029,0,2,5000000.0,0.0,0.02,0,9662
onset50000/rep0029,50000,0,5000000.0,0.0,0.9475,9000,25
neutral/rep0030,0,4,5001561.0,1561.0,0.0475,24,9077
onset50000/rep0030,50000,0,5000000.0,0.0,0.925,8581,46
neutral/rep0031,0,4,5471432.0,471432.0,0.01,2,9817
onset50000/rep0031,50000,4,5000000.0,0.0,0.855,7309,208
neutral/rep0032,0,4,4274028.0,725972.0,0.1725,309,6926
onset50000/rep0032,50000,4,5000000.0,0.0,0.9225,8515,67
neutral/rep0033,0,3,5713571.0,713571.0,0.185,305,6694
onset50000/rep0033,50000,4,5000000.0,0.0,0.4875,2320,2573
neutral/rep0034,0,2,5986654.0,986654.0,0.35,1263,4118
onset50000/rep0034,50000,2,5000000.0,0.0,0.815,6606,332
neutral/rep0035,0,1,5846022.0,846022.0,0.0425,15,9162
onset50000/rep0035,50000,4,5000000.0,0.0,0.9475,8992,16
neutral/rep0036,0,0,4911704.0,88296.0,0.26,693,5460
onset50000/rep0036,50000,4,5000000.0,0.0,0.6125,3683,1535
neutral/rep0037,0,0,5032499.0,32499.0,0.03,4,9392
onset50000/rep0037,50000,1,5000000.0,0.0,0.9325,8620,46
neutral/rep0038,0,4,5200129.0,200129.0,0.015,1,9712
onset50000/rep0038,50000,1,5000000.0,0.0,0.82,6774,313
neutral/rep0039,0,3,5750974.0,750974.0,0.0325,7,9407
onset50000/rep0039,50000,3,5000000.0,0.0,0.89,7863,127
neutral/rep0040,0,2,5107107.0,107107.0,0.085,79,8332
onset50000/rep0040,50000,0,5000000.0,0.0,0.585,3408,1729
neutral/rep0041,0,0,5015581.0,15581.0,0.0425,15,9170
onset50000/rep0041,50000,0,5000000.0,0.0,0.9925,9865,1
neutral/rep0042,0,4,4923386.0,76614.0,0.0275,8,9446
onset50000/rep0042,50000,2,5000000.0,0.0,0.37,1385,3990
neutral/rep0043,0,2,5053870.0,53870.0,0.0425,21,9174
onset50000/rep0043,50000,0,5000000.0,0.0,0.8875,7874,120
neutral/rep0044,0,4,6625450.0,1625450.0,0.015,0,9680
onset50000/rep0044,50000,4,5000000.0,0.0,0.82,6739,303
neutral/rep0045,0,4,5389180.0,389180.0,0.1525,247,7074
onset50000/rep0045,50000,0,5000000.0,0.0,0.84,7041,240
neutral/rep0046,0,4,5164085.0,164085.0,0.1125,130,7870
onset50000/rep0046,50000,0,5000000.0,0.0,0.94,8850,27
neutral/rep0047,0,3,5245928.0,245928.0,0.0125,2,9767
onset50000/rep0047,50000,0,5000000.0,0.0,0.7775,6075,489
neutral/rep0048,0,3,5020750.0,20750.0,0.0125,0,9725
onset50000/rep0048,50000,3,5000000.0,0.0,0.5375,2919,2144
neutral/rep0049,0,2,3451587.0,1548413.0,0.1275,145,7617
onset50000/rep0049,50000,3,5000000.0,0.0,0.6875,4792,985
neutral/rep0050,0,4,4998021.0,1979.0,0.215,476,6179
onset50000/rep0050,50000,2,5000000.0,0.0,0.87,7523,187
neutral/rep0051,0,4,5236877.0,236877.0,0.0325,10,9375
onset50000/rep0051,50000,3,5000000.0,0.0,0.6725,4501,1075
neutral/rep0052,0,2,4093525.0,906475.0,0.04,15,9212
onset50000/rep0052,50000,1,5000000.0,0.0,0.93,8642,40
neutral/rep0053,0,2,4646716.0,353284.0,0.0325,13,9360
onset50000/rep0053,50000,0,5000000.0,0.0,0.605,3707,1586
neutral/rep0054,0,1,7582409.0,2582409.0,0.2175,451,6189
onset50000/rep0054,50000,3,5000000.0,0.0,0.475,2306,2700
neutral/rep0055,0,4,5135330.0,135330.0,0.085,65,8360
onset50000/rep0055,50000,0,5000000.0,0.0,0.6975,4828,916
neutral/rep0056,0,1,8086144.0,3086144.0,0.14,183,7399
onset50000/rep0056,50000,2,5000000.0,0.0,0.9925,9846,0
neutral/rep0057,0,1,4789101.0,210899.0,0.13,144,7557
onset50000/rep0057,50000,1,5000000.0,0.0,0.8825,7806,147
neutral/rep0058,0,0,4997557.0,2443.0,0.015,2,9718
onset50000/rep0058,50000,1,5000000.0,0.0,0.6875,4654,980
neutral/rep0059,0,0,4473910.0,526090.0,0.19,351,6556
onset50000/rep0059,50000,4,5000000.0,0.0,0.5475,3026,2024
neutral/rep0060,0,3,5477817.0,477817.0,0.05,20,8995
onset50000/rep0060,50000,1,5000000.0,0.0,0.87,7621,170
neutral/rep0061,0,1,5605378.0,605378.0,0.2075,418,6314
onset50000/rep0061,50000,4,5000000.0,0.0,0.875,7682,151
neutral/rep0062,0,2,3586558.0,1413442.0,0.1025,96,8061
onset50000/rep0062,50000,1,5000000.0,0.0,0.7475,5597,638
neutral/rep0063,0,3,4983897.0,16103.0,0.0375,12,9226
onset50000/rep0063,50000,2,5000000.0,0.0,0.9275,8608,60
neutral/rep0064,0,4,6046779.0,1046779.0,0.1275,166,7607
onset50000/rep0064,50000,1,5000000.0,0.0,0.73,5334,706
neutral/rep0065,0,0,4067528.0,932472.0,0.09,86,8262
onset50000/rep0065,50000,3,5000000.0,0.0,0.9725,9467,9
neutral/rep0066,0,2,4543546.0,456454.0,0.08,56,8502
onset50000/rep0066,50000,1,5000000.0,0.0,0.6175,3764,1428
neutral/rep0067,0,2,5034276.0,34276.0,0.105,98,8004
onset50000/rep0067,50000,1,5000000.0,0.0,0.4775,2277,2746
neutral/rep0068,0,1,4997489.0,2511.0,0.01,0,9815
onset50000/rep0068,50000,4,5000000.0,0.0,0.7525,5620,630
neutral/rep0069,0,3,5000008.0,8.0,0.3525,1237,4188
onset50000/rep0069,50000,3,5000000.0,0.0,0.5725,3270,1847
neutral/rep0070,0,3,5588125.0,588125.0,0.005,0,9895
onset50000/rep0070,50000,0,5000000.0,0.0,0.98,9607,3
neutral/rep0071,0,1,7074556.0,2074556.0,0.175,304,6758
onset50000/rep0071,50000,0,5000000.0,0.0,0.95,9038,21
neutral/rep0072,0,4,5852209.0,852209.0,0.1125,110,7850
onset50000/rep0072,50000,3,5000000.0,0.0,0.59,3470,1610
neutral/rep0073,0,4,2408207.0,2591793.0,0.15,239,7146
onset50000/rep0073,50000,3,5000000.0,0.0,0.935,8736,43
neutral/rep0074,0,1,4298993.0,701007.0,0.0625,32,8789
onset50000/rep0074,50000,3,5000000.0,0.0,0.9175,8325,78
neutral/rep0075,0,3,4998586.0,1414.0,0.1325,160,7481
onset50000/rep0075,50000,2,5000000.0,0.0,0.7575,5749,588
neutral/rep0076,0,0,5017862.0,17862.0,0.0125,1,9740
onset50000/rep0076,50000,1,5000000.0,0.0,0.3625,1352,4064
neutral/rep0077,0,4,5771844.0,771844.0,0.0875,69,8278
onset50000/rep0077,50000,4,5000000.0,0.0,0.8525,7281,209
neutral/rep0078,0,3,4981279.0,18721.0,0.04,13,9181
onset50000/rep0078,50000,2,5000000.0,0.0,0.895,8035,134
neutral/rep0079,0,1,4926640.0,73360.0,0.0225,7,9563
onset50000/rep0079,50000,0,5000000.0,0.0,0.9375,8802,35
neutral/rep0080,0,4,4866280.0,133720.0,0.055,38,8910
onset50000/rep0080,50000,3,5000000.0,0.0,0.9175,8412,80
neutral/rep0081,0,2,5073785.0,73785.0,0.015,4,9706
onset50000/rep0081,50000,2,5000000.0,0.0,0.835,6990,257
neutral/rep0082,0,1,5003656.0,3656.0,0.1375,209,7427
onset50000/rep0082,50000,3,5000000.0,0.0,0.895,8046,101
neutral/rep0083,0,0,4658150.0,341850.0,0.01,0,9796
onset50000/rep0083,50000,4,5000000.0,0.0,0.78,6024,456
neutral/rep0084,0,1,4946392.0,53608.0,0.02,3,9605
onset50000/rep0084,50000,4,5000000.0,0.0,0.81,6574,338
neutral/rep0085,0,3,,,0.0,0,0
onset50000/rep0085,50000,2,5000000.0,0.0,0.9675,9323,8
neutral/rep0086,0,3,4997300.0,2700.0,0.01,2,9818
onset50000/rep0086,50000,3,5000000.0,0.0,0.93,8655,40
neutral/rep0087,0,0,4998691.0,1309.0,0.05,16,9022
onset50000/rep0087,50000,1,5000000.0,0.0,0.8875,7880,136
neutral/rep0088,0,0,5219982.0,219982.0,0.05,18,9016
onset50000/rep0088,50000,3,5000000.0,0.0,0.88,7737,139
neutral/rep0089,0,0,5631536.0,631536.0,0.01,0,9832
onset50000/rep0089,50000,1,5000000.0,0.0,0.9775,9527,6
neutral/rep0090,0,2,5953276.0,953276.0,0.02,3,9599
onset50000/rep0090,50000,1,5000000.0,0.0,0.99,9810,0
neutral/rep0091,0,1,4932214.0,67786.0,0.0425,15,9170
onset50000/rep0091,50000,2,5000000.0,0.0,0.71,5008,809
neutral/rep0092,0,3,3965772.0,1034228.0,0.0325,10,9359
onset50000/rep0092,50000,3,5000000.0,0.0,0.9575,9188,22
neutral/rep0093,0,0,2985225.0,2014775.0,0.0325,12,9413
onset50000/rep0093,50000,2,5000000.0,0.0,0.4825,2344,2647
neutral/rep0094,0,3,6567411.0,1567411.0,0.0125,0,9765
onset50000/rep0094,50000,1,5000000.0,0.0,0.72,5191,776
neutral/rep0095,0,0,4726266.0,273734.0,0.015,4,9724
onset50000/rep0095,50000,0,5000000.0,0.0,0.605,3631,1608
neutral/rep0096,0,3,5315792.0,315792.0,0.04,18,9219
onset50000/rep0096,50000,4,5000000.0,0.0,0.9375,8784,41
neutral/rep0097,0,3,5141793.0,141793.0,0.005,0,9893
onset50000/rep0097,50000,4,5000000.0,0.0,0.72,5228,785
neutral/rep0098,0,1,4259016.0,740984.0,0.0125,1,9759
onset50000/rep0098,50000,1,5000000.0,0.0,0.82,6749,328
neutral/rep0099,0,4,3143716.0,1856284.0,0.01,1,9820
onset50000/rep0099,50000,0,5000000.0,0.0,0.7,4878,930
neutral/rep0100,0,1,5078198.0,78198.0,0.0175,2,9668
neutral/rep0101,0,1,5806918.0,806918.0,0.0575,31,8870
neutral/rep0102,0,1,5354986.0,354986.0,0.11,97,7924
neutral/rep0103,0,0,4996108.0,3892.0,0.02,4,9613
neutral/rep0104,0,4,5433363.0,433363.0,0.0325,14,9395
neutral/rep0105,0,0,5766675.0,766675.0,0.2125,419,6143
neutral/rep0106,0,1,5503406.0,503406.0,0.28,753,5260
neutral/rep0107,0,1,4795047.0,204953.0,0.055,28,8969
neutral/rep0108,0,3,4998706.0,1294.0,0.015,2,9707
neutral/rep0109,0,0,5020702.0,20702.0,0.1575,254,7096
neutral/rep0110,0,4,5002265.0,2265.0,0.0225,4,9548
neutral/rep0111,0,0,5131335.0,131335.0,0.065,34,8745
neutral/rep0112,0,3,3977886.0,1022114.0,0.0725,58,8585
neutral/rep0113,0,2,4900887.0,99113.0,0.0025,0,9951
neutral/rep0114,0,4,5697496.0,697496.0,0.09,76,8311
neutral/rep0115,0,4,5592307.0,592307.0,0.0125,2,9773
neutral/rep0116,0,1,5001337.0,1337.0,0.065,53,8720
neutral/rep0117,0,0,3677969.0,1322031.0,0.01,0,9788
neutral/rep0118,0,0,6782783.0,1782783.0,0.0525,22,8991
neutral/rep0119,0,1,4878459.0,121541.0,0.28,814,5152
neutral/rep0120,0,1,3904109.0,1095891.0,0.005,0,9895
neutral/rep0121,0,3,5692141.0,692141.0,0.1225,125,7650
neutral/rep0122,0,1,4097618.0,902382.0,0.1825,346,6656
neutral/rep0123,0,4,5446702.0,446702.0,0.085,65,8368
neutral/rep0124,0,0,5004361.0,4361.0,0.2375,593,5840
neutral/rep0125,0,3,5000000.0,0.0,0.1625,281,6977
neutral/rep0126,0,0,4470167.0,529833.0,0.005,0,9917
neutral/rep0127,0,2,6110574.0,1110574.0,0.1875,326,6578
neutral/rep0128,0,3,4238807.0,761193.0,0.04,11,9215
neutral/rep0129,0,2,5502717.0,502717.0,0.0325,9,9341
neutral/rep0130,0,2,7903441.0,2903441.0,0.1225,149,7650
neutral/rep0131,0,2,3969034.0,1030966.0,0.1425,219,7343
neutral/rep0132,0,2,2875264.0,2124736.0,0.0075,0,9861
neutral/rep0133,0,3,4836158.0,163842.0,0.1175,147,7775
neutral/rep0134,0,4,4722561.0,277439.0,0.0125,0,9752
neutral/rep0135,0,2,4593077.0,406923.0,0.005,1,9913
neutral/rep0136,0,3,5000000.0,0.0,0.1975,398,6423
neutral/rep0137,0,4,5002157.0,2157.0,0.21,412,6207
neutral/rep0138,0,2,5187987.0,187987.0,0.165,241,7018
neutral/rep0139,0,3,6587971.0,1587971.0,0.33,1092,4449
neutral/rep0140,0,4,5002322.0,2322.0,0.2825,805,5196
neutral/rep0141,0,1,4394092.0,605908.0,0.1975,404,6532
neutral/rep0142,0,1,6838121.0,1838121.0,0.015,1,9684
neutral/rep0143,0,1,5002201.0,2201.0,0.22,479,6114
neutral/rep0144,0,4,3351099.0,1648901.0,0.14,206,7384
neutral/rep0145,0,0,5105926.0,105926.0,0.08,50,8457
neutral/rep0146,0,1,4870053.0,129947.0,0.095,82,8240
neutral/rep0147,0,1,4911602.0,88398.0,0.08,59,8475
neutral/rep0148,0,0,2321942.0,2678058.0,0.0025,0,9943
neutral/rep0149,0,4,5002148.0,2148.0,0.005,0,9883
neutral/rep0150,0,4,3314498.0,1685502.0,0.3025,928,4859
neutral/rep0151,0,1,6041559.0,1041559.0,0.0575,33,8902
neutral/rep0152,0,1,5949244.0,949244.0,0.0175,3,9628
neutral/rep0153,0,3,6815765.0,1815765.0,0.105,104,8052
neutral/rep0154,0,0,5192638.0,192638.0,0.0375,11,9260
neutral/rep0155,0,2,5469632.0,469632.0,0.18,308,6678
neutral/rep0156,0,4,2474098.0,2525902.0,0.0875,86,8382
neutral/rep0157,0,2,5084496.0,84496.0,0.135,182,7445
neutral/rep0158,0,1,5007768.0,7768.0,0.0075,0,9860
neutral/rep0159,0,0,6336064.0,1336064.0,0.015,7,9709
neutral/rep0160,0,0,2918323.0,2081677.0,0.125,156,7643
neutral/rep0161,0,0,6974748.0,1974748.0,0.0075,0,9817
neutral/rep0162,0,1,4933565.0,66435.0,0.04,14,9213
neutral/rep0163,0,0,3817935.0,1182065.0,0.0775,46,8467
neutral/rep0164,0,3,5011769.0,11769.0,0.125,137,7594
neutral/rep0165,0,0,6491007.0,1491007.0,0.2275,518,5923
neutral/rep0166,0,2,4466726.0,533274.0,0.0625,37,8778
neutral/rep0167,0,4,6280487.0,1280487.0,0.6225,3875,1432
neutral/rep0168,0,3,4701028.0,298972.0,0.0525,19,8969
neutral/rep0169,0,0,6212144.0,1212144.0,0.01,0,9795
neutral/rep0170,0,4,4872820.0,127180.0,0.0125,2,9739
neutral/rep0171,0,3,4573164.0,426836.0,0.0025,0,9952
neutral/rep0172,0,3,5751862.0,751862.0,0.02,4,9612
neutral/rep0173,0,1,4999052.0,948.0,0.105,128,7992
neutral/rep0174,0,3,3577714.0,1422286.0,0.025,7,9519
neutral/rep0175,0,2,1843932.0,3156068.0,0.0675,48,8663
neutral/rep0176,0,3,4553955.0,446045.0,0.015,2,9692
neutral/rep0177,0,0,4993940.0,6060.0,0.0025,0,9937
neutral/rep0178,0,1,5020327.0,20327.0,0.0775,58,8464
neutral/rep0179,0,3,5133024.0,133024.0,0.025,8,9538
neutral/rep0180,0,3,4759151.0,240849.0,0.0225,7,9543
neutral/rep0181,0,2,6243743.0,1243743.0,0.05,29,9055
neutral/rep0182,0,0,5107826.0,107826.0,0.02,1,9618
neutral/rep0183,0,3,5703153.0,703153.0,0.015,2,9680
neutral/rep0184,0,0,4998510.0,1490.0,0.1675,282,6932
neutral/rep0185,0,4,6100356.0,1100356.0,0.2975,865,4866
neutral/rep0186,0,1,5001932.0,1932.0,0.525,2733,2270
neutral/rep0187,0,3,4998467.0,1533.0,0.06,30,8825
neutral/rep0188,0,4,2690197.0,2309803.0,0.04,21,9213
neutral/rep0189,0,4,,,0.0,0,0
neutral/rep0190,0,1,4998510.0,1490.0,0.4375,1872,3151
neutral/rep0191,0,3,4381340.0,618660.0,0.08,73,8421
neutral/rep0192,0,3,5992575.0,992575.0,0.18,317,6676
neutral/rep0193,0,0,5158221.0,158221.0,0.125,135,7655
neutral/rep0194,0,2,5017080.0,17080.0,0.06,33,8823
neutral/rep0195,0,0,4983679.0,16321.0,0.005,0,9891
neutral/rep0196,0,2,5407396.0,407396.0,0.0325,14,9307
neutral/rep0197,0,0,4921085.0,78915.0,0.1325,183,7490
neutral/rep0198,0,2,5890158.0,890158.0,0.095,109,8189
neutral/rep0199,0,4,4997545.0,2455.0,0.1425,186,7376
neutral/rep0200,0,3,4896769.0,103231.0,0.0125,0,9763
neutral/rep0201,0,1,4173261.0,826739.0,0.015,0,9680
neutral/rep0202,0,2,4975976.0,24024.0,0.085,64,8372
neutral/rep0203,0,3,8048083.0,3048083.0,0.1275,154,7614
neutral/rep0204,0,3,6790238.0,1790238.0,0.075,56,8573
neutral/rep0205,0,2,5363066.0,363066.0,0.0675,41,8739
neutral/rep0206,0,2,4607970.0,392030.0,0.01,0,9810
neutral/rep0207,0,0,6118951.0,1118951.0,0.2825,807,5228
neutral/rep0208,0,2,6101384.0,1101384.0,0.0975,91,8156
neutral/rep0209,0,3,5137459.0,137459.0,0.0075,0,9874
neutral/rep0210,0,2,4950760.0,49240.0,0.0975,101,8128
neutral/rep0211,0,4,4999009.0,991.0,0.2975,892,4925
neutral/rep0212,0,3,5001871.0,1871.0,0.3425,1138,4293
neutral/rep0213,0,3,4995241.0,4759.0,0.3125,948,4746
neutral/rep0214,0,4,5037422.0,37422.0,0.01,0,9798
neutral/rep0215,0,0,4141379.0,858621.0,0.0125,2,9743
neutral/rep0216,0,0,6201462.0,1201462.0,0.215,431,6149
neutral/rep0217,0,2,5138709.0,138709.0,0.0125,2,9766
neutral/rep0218,0,3,4708228.0,291772.0,0.365,1362,4074
neutral/rep0219,0,1,4885216.0,114784.0,0.005,0,9899
neutral/rep0220,0,0,,,0.0,0,0
neutral/rep0221,0,0,4630114.0,369886.0,0.0575,35,8846
neutral/rep0222,0,2,5399028.0,399028.0,0.0425,19,9178
neutral/rep0223,0,4,5134515.0,134515.0,0.215,464,6230
neutral/rep0224,0,3,4998243.0,1757.0,0.0475,22,9063
neutral/rep0225,0,4,2952911.0,2047089.0,0.1125,117,7920
neutral/rep0226,0,2,4617463.0,382537.0,0.1175,133,7764
neutral/rep0227,0,3,4399650.0,600350.0,0.0075,0,9856
neutral/rep0228,0,3,4996352.0,3648.0,0.0625,40,8805
neutral/rep0229,0,2,4887620.0,112380.0,0.0025,0,9944
neutral/rep0230,0,0,6772820.0,1772820.0,0.0175,3,9685
neutral/rep0231,0,2,5034467.0,34467.0,0.04,15,9176
neutral/rep0232,0,0,4645669.0,354331.0,0.045,22,9129
neutral/rep0233,0,1,5114465.0,114465.0,0.01,1,9800
neutral/rep0234,0,2,5000939.0,939.0,0.1725,291,6796
neutral/rep0235,0,2,5235623.0,235623.0,0.065,46,8773
neutral/rep0236,0,2,5225957.0,225957.0,0.02,3,9592
neutral/rep0237,0,4,4999599.0,401.0,0.075,46,8500
neutral/rep0238,0,0,,,0.0,0,0
neutral/rep0239,0,2,5000659.0,659.0,0.3,852,4903
neutral/rep0240,0,2,4501055.0,498945.0,0.0225,5,9542
neutral/rep0241,0,4,4388341.0,611659.0,0.0125,0,9738
neutral/rep0242,0,1,4957656.0,42344.0,0.0075,0,9857
neutral/rep0243,0,1,4925418.0,74582.0,0.015,1,9744
neutral/rep0244,0,1,4377260.0,622740.0,0.12,141,7783
neutral/rep0245,0,1,5503490.0,503490.0,0.2325,582,5865
neutral/rep0246,0,1,4030912.0,969088.0,0.0025,0,9948
neutral/rep0247,0,2,3797147.0,1202853.0,0.0525,27,8992
neutral/rep0248,0,2,5000472.0,472.0,0.0725,45,8592
neutral/rep0249,0,0,5555702.0,555702.0,0.065,34,8750
neutral/rep0250,0,0,5151215.0,151215.0,0.1875,351,6536
neutral/rep0251,0,3,1223657.0,3776343.0,0.005,0,9898
neutral/rep0252,0,1,5091382.0,91382.0,0.0425,22,9144
neutral/rep0253,0,0,4291279.0,708721.0,0.225,526,5938
neutral/rep0254,0,2,5203144.0,203144.0,0.0125,2,9764
neutral/rep0255,0,3,5000000.0,0.0,0.2,406,6343
neutral/rep0256,0,4,7423604.0,2423604.0,0.085,68,8433
neutral/rep0257,0,3,3830526.0,1169474.0,0.005,0,9894
neutral/rep0258,0,3,5910015.0,910015.0,0.35,1256,4139
neutral/rep0259,0,3,4379764.0,620236.0,0.0375,10,9239
neutral/rep0260,0,1,5481186.0,481186.0,0.0375,19,9241
neutral/rep0261,0,0,4999912.0,88.0,0.0975,91,8149
neutral/rep0262,0,3,5113900.0,113900.0,0.145,193,7343
neutral/rep0263,0,0,1671116.0,3328884.0,0.1075,124,8001
neutral/rep0264,0,0,6433499.0,1433499.0,0.0075,0,9827
neutral/rep0265,0,0,6900687.0,1900687.0,0.085,68,8353
neutral/rep0266,0,1,2342709.0,2657291.0,0.195,359,6472
neutral/rep0267,0,2,4658634.0,341366.0,0.0775,60,8519
neutral/rep0268,0,1,6730792.0,1730792.0,0.04,16,9220
neutral/rep0269,0,1,6093489.0,1093489.0,0.0025,0,9950
neutral/rep0270,0,1,4646146.0,353854.0,0.095,74,8173
neutral/rep0271,0,1,3404844.0,1595156.0,0.2325,521,5881
neutral/rep0272,0,1,3489033.0,1510967.0,0.115,134,7866
neutral/rep0273,0,4,4660619.0,339381.0,0.0075,0,9850
neutral/rep0274,0,4,6813489.0,1813489.0,0.005,0,9905
neutral/rep0275,0,0,5322728.0,322728.0,0.04,15,9232
neutral/rep0276,0,0,5749145.0,749145.0,0.265,687,5407
neutral/rep0277,0,0,5167149.0,167149.0,0.03,6,9364
neutral/rep0278,0,2,5111736.0,111736.0,0.0575,38,8825
neutral/rep0279,0,4,4404036.0,595964.0,0.31,962,4788
neutral/rep0280,0,2,5204690.0,204690.0,0.0025,0,9957
neutral/rep0281,0,1,5417327.0,417327.0,0.1225,138,7694
neutral/rep0282,0,2,5139542.0,139542.0,0.015,1,9706
neutral/rep0283,0,1,6473637.0,1473637.0,0.085,67,8381
neutral/rep0284,0,0,5708364.0,708364.0,0.0525,23,8930
neutral/rep0285,0,4,5107470.0,107470.0,0.0275,8,9440
neutral/rep0286,0,3,,,0.0,0,0
neutral/rep0287,0,1,4996568.0,3432.0,0.3175,983,4625
neutral/rep0288,0,2,2911865.0,2088135.0,0.1475,226,7244
neutral/rep0289,0,1,5885614.0,885614.0,0.025,7,9481
neutral/rep0290,0,1,4191465.0,808535.0,0.0825,65,8389
neutral/rep0291,0,2,6394031.0,1394031.0,0.0075,1,9824
neutral/rep0292,0,2,5071245.0,71245.0,0.0125,2,9758
neutral/rep0293,0,0,4792690.0,207310.0,0.0075,0,9839
neutral/rep0294,0,4,4343527.0,656473.0,0.005,0,9884
neutral/rep0295,0,0,4841358.0,158642.0,0.0275,10,9487
neutral/rep0296,0,2,4771113.0,228887.0,0.085,71,8403
neutral/rep0297,0,0,4651704.0,348296.0,0.005,0,9897
neutral/rep0298,0,1,5305871.0,305871.0,0.0175,2,9649
neutral/rep0299,0,0,7187405.0,2187405.0,0.2925,877,5017
neutral/rep0300,0,2,5103453.0,103453.0,0.09,83,8294
neutral/rep0301,0,1,5170529.0,170529.0,0.0475,22,9046
neutral/rep0302,0,2,5341222.0,341222.0,0.24,583,5767
neutral/rep0303,0,4,5167342.0,167342.0,0.2475,589,5693
neutral/rep0304,0,3,4997770.0,2230.0,0.16,268,6990
neutral/rep0305,0,3,3604756.0,1395244.0,0.015,1,9694
neutral/rep0306,0,0,4320181.0,679819.0,0.38,1434,3857
neutral/rep0307,0,3,4887245.0,112755.0,0.085,64,8413
neutral/rep0308,0,3,1998529.0,3001471.0,0.0175,3,9644
neutral/rep0309,0,0,4998818.0,1182.0,0.1425,193,7360
neutral/rep0310,0,0,2596657.0,2403343.0,0.0575,30,8891
neutral/rep0311,0,4,5702757.0,702757.0,0.13,164,7485
