draw_id	phase	selection_coefficient	target_allele_frequency	population_af_lower	population_af_upper	duration_multiplier	requested_selection_end_generations_ago	realized_selection_end_generations_ago	exact_sample_alt_count	sample_diploids	candidate_pool_diploids	slim_scaling_factor	mutation_age_generations	selection_start_generations_ago	draw_index	seed	seed_nonce	panel_seed	panel_seed_nonce	timeout_seconds	sequence_length_bp	focal_position_bp	processing_mode	exploratory_screen_ledger_sha256
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw016	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	16	70367726	0	1685111655	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw017	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	17	1977709477	0	1750687744	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw018	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	18	1663627339	0	827878256	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw019	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	19	1705972191	0	1791075753	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw020	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	20	1593273520	0	2124153708	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw021	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	21	1381566507	0	687612835	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw022	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	22	834774157	0	1250943318	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw023	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	23	275176859	0	1991834682	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw024	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	24	1909605146	0	1926355499	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw025	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	25	2013121132	0	310797133	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw026	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	26	1984869215	0	1449977252	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw027	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	27	1534844005	0	26930410	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw028	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	28	2041626566	0	1143488153	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw029	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	29	1173369376	0	1911727819	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw030	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	30	328712710	0	633859978	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw031	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	31	2104513109	0	1473883026	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw032	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	32	1115801553	0	2005012514	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw033	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	33	2065688751	0	208819503	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw034	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	34	488703253	0	1173101166	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw035	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	35	1794631109	0	635699254	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw036	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	36	641086645	0	1323926771	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw037	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	37	1772065122	0	1750730937	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw038	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	38	198564048	0	594674643	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw039	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	39	694252431	0	2090106156	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw040	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	40	707634160	0	957123211	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw041	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	41	1769931700	0	1797369473	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw042	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	42	2104967628	0	88535905	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw043	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	43	1919373877	0	1204561056	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw044	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	44	94635011	0	74309606	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw045	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	45	365973736	0	1478562788	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw046	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	46	1762174989	0	1552059285	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw047	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	47	1872359848	0	1305581289	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw048	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	48	2035188000	0	1363975244	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw049	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	49	1398783742	0	309574941	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw050	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	50	1443483108	0	1475497464	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw051	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	51	963090572	0	1307770025	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw052	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	52	2125112071	0	651504911	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw053	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	53	515496481	0	1157300479	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw054	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	54	1766122628	0	150663754	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw055	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	55	731155999	0	278372078	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw056	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	56	1628591275	0	1136504445	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw057	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	57	772526710	0	969314981	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw058	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	58	309806348	0	579473802	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw059	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	59	1060056244	0	1808595172	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw060	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	60	53726402	0	1615778800	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw061	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	61	1083305211	0	673187412	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw062	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	62	714396334	0	1559920004	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw063	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	63	340591716	0	2146529202	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw064	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	64	84496202	0	1673356848	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw065	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	65	1655313787	0	1689828108	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw066	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	66	1476614535	0	452182221	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw067	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	67	907191312	0	890253495	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw068	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	68	585218718	0	883816922	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw069	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	69	630089425	0	1381052728	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
han_fixed_v2__confirmation__s0.010000__af0.100000__q5__draw070	confirmation	0.01	0.1	0.07500000000000001	0.125	0.25	2067.3253325403894	2065.0	20	100	500	5.0	2400.0	2272.0	70	2018158639	0	1501306630	0	1800.0	2	1	focal_2bp_forward_only_no_recap_no_neutral_overlay	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa
