key,onset_years,fold,markers,valid_grid_positions,class_partition,native_decoded_counts_exact,original_decoded_grid_changed_cells,original_decoded_grid_max_abs_count_difference,original_truth_exact
onset50000/rep0051,50000,3,1349,391,True,True,0,0,True
neutral/rep0052,0,2,314,103,True,True,0,0,True
onset50000/rep0052,50000,1,769,232,True,True,0,0,True
neutral/rep0053,0,2,307,96,True,True,0,0,True
onset50000/rep0053,50000,0,461,135,True,True,0,0,True
neutral/rep0054,0,1,61,22,True,True,0,0,True
onset50000/rep0054,50000,3,358,111,True,True,0,0,True
neutral/rep0055,0,4,62,19,True,True,0,0,True
onset50000/rep0055,50000,0,1395,418,True,True,0,0,True
neutral/rep0056,0,1,275,85,True,True,0,0,True
onset50000/rep0056,50000,2,1149,363,True,True,0,0,True
neutral/rep0057,0,1,492,150,True,True,0,0,True
onset50000/rep0057,50000,1,981,293,True,True,0,0,True
neutral/rep0058,0,0,374,111,True,True,0,0,True
onset50000/rep0058,50000,1,535,157,True,True,0,0,True
neutral/rep0059,0,0,444,130,True,True,0,0,True
onset50000/rep0059,50000,4,672,215,True,True,0,0,True
neutral/rep0060,0,3,187,57,True,True,0,0,True
onset50000/rep0060,50000,1,581,183,True,True,0,0,True
neutral/rep0061,0,1,387,114,True,True,0,0,True
onset50000/rep0061,50000,4,1352,397,True,True,0,0,True
neutral/rep0062,0,2,317,95,True,True,0,0,True
onset50000/rep0062,50000,1,1305,403,True,True,0,0,True
neutral/rep0063,0,3,310,101,True,True,0,0,True
onset50000/rep0063,50000,2,1959,600,True,True,0,0,True
neutral/rep0064,0,4,784,225,True,True,0,0,True
onset50000/rep0064,50000,1,790,237,True,True,0,0,True
neutral/rep0065,0,0,914,274,True,True,0,0,True
onset50000/rep0065,50000,3,355,106,True,True,0,0,True
neutral/rep0066,0,2,432,135,True,True,0,0,True
onset50000/rep0066,50000,1,938,274,True,True,0,0,True
neutral/rep0067,0,2,540,178,True,True,0,0,True
onset50000/rep0067,50000,1,371,114,True,True,0,0,True
neutral/rep0068,0,1,113,34,True,True,0,0,True
onset50000/rep0068,50000,4,824,240,True,True,0,0,True
neutral/rep0069,0,3,955,279,True,True,0,0,True
onset50000/rep0069,50000,3,718,226,True,True,0,0,True
neutral/rep0070,0,3,496,148,True,True,0,0,True
onset50000/rep0070,50000,0,611,182,True,True,0,0,True
neutral/rep0071,0,1,219,67,True,True,0,0,True
onset50000/rep0071,50000,0,1181,367,True,True,0,0,True
neutral/rep0072,0,4,379,123,True,True,0,0,True
onset50000/rep0072,50000,3,501,159,True,True,0,0,True
neutral/rep0073,0,4,417,122,True,True,0,0,True
onset50000/rep0073,50000,3,1838,553,True,True,0,0,True
neutral/rep0074,0,1,688,208,True,True,0,0,True
onset50000/rep0074,50000,3,912,276,True,True,0,0,True
neutral/rep0075,0,3,1101,337,True,True,0,0,True
onset50000/rep0075,50000,2,337,108,True,True,0,0,True
neutral/rep0076,0,0,1131,338,True,True,0,0,True
onset50000/rep0076,50000,1,544,160,True,True,0,0,True
neutral/rep0077,0,4,543,169,True,True,0,0,True
onset50000/rep0077,50000,4,645,202,True,True,0,0,True
neutral/rep0078,0,3,952,302,True,True,0,0,True
onset50000/rep0078,50000,2,842,245,True,True,0,0,True
neutral/rep0079,0,1,852,258,True,True,0,0,True
onset50000/rep0079,50000,0,503,151,True,True,0,0,True
neutral/rep0080,0,4,333,104,True,True,0,0,True
onset50000/rep0080,50000,3,969,302,True,True,0,0,True
neutral/rep0081,0,2,466,140,True,True,0,0,True
onset50000/rep0081,50000,2,805,239,True,True,0,0,True
neutral/rep0082,0,1,1104,338,True,True,0,0,True
onset50000/rep0082,50000,3,863,264,True,True,0,0,True
neutral/rep0083,0,0,818,246,True,True,0,0,True
onset50000/rep0083,50000,4,1364,426,True,True,0,0,True
neutral/rep0084,0,1,437,134,True,True,0,0,True
onset50000/rep0084,50000,4,325,98,True,True,0,0,True
neutral/rep0085,0,3,0,0,True,True,0,0,True
onset50000/rep0085,50000,2,528,158,True,True,0,0,True
neutral/rep0086,0,3,620,177,True,True,0,0,True
onset50000/rep0086,50000,3,506,146,True,True,0,0,True
neutral/rep0087,0,0,281,84,True,True,0,0,True
onset50000/rep0087,50000,1,1111,341,True,True,0,0,True
neutral/rep0088,0,0,408,113,True,True,0,0,True
onset50000/rep0088,50000,3,1125,340,True,True,0,0,True
neutral/rep0089,0,0,482,152,True,True,0,0,True
onset50000/rep0089,50000,1,668,195,True,True,0,0,True
neutral/rep0090,0,2,321,102,True,True,0,0,True
onset50000/rep0090,50000,1,1257,389,True,True,0,0,True
neutral/rep0091,0,1,652,195,True,True,0,0,True
onset50000/rep0091,50000,2,1276,383,True,True,0,0,True
neutral/rep0092,0,3,380,115,True,True,0,0,True
onset50000/rep0092,50000,3,629,184,True,True,0,0,True
neutral/rep0093,0,0,198,65,True,True,0,0,True
onset50000/rep0093,50000,2,377,109,True,True,0,0,True
neutral/rep0094,0,3,94,28,True,True,0,0,True
onset50000/rep0094,50000,1,244,71,True,True,0,0,True
neutral/rep0095,0,0,356,108,True,True,0,0,True
onset50000/rep0095,50000,0,419,123,True,True,0,0,True
neutral/rep0096,0,3,137,41,True,True,0,0,True
onset50000/rep0096,50000,4,1085,321,True,True,0,0,True
neutral/rep0097,0,3,769,229,True,True,0,0,True
onset50000/rep0097,50000,4,544,173,True,True,0,0,True
neutral/rep0098,0,1,233,73,True,True,0,0,True
onset50000/rep0098,50000,1,359,105,True,True,0,0,True
neutral/rep0099,0,4,1046,305,True,True,0,0,True
onset50000/rep0099,50000,0,1167,369,True,True,0,0,True
neutral/rep0100,0,1,933,287,True,True,0,0,True
neutral/rep0101,0,1,329,108,True,True,0,0,True
neutral/rep0102,0,1,626,186,True,True,0,0,True
neutral/rep0103,0,0,1326,399,True,True,0,0,True
neutral/rep0104,0,4,580,187,True,True,0,0,True
neutral/rep0105,0,0,121,37,True,True,0,0,True
neutral/rep0106,0,1,169,50,True,True,0,0,True
neutral/rep0107,0,1,668,194,True,True,0,0,True
neutral/rep0108,0,3,1195,377,True,True,0,0,True
neutral/rep0109,0,0,458,137,True,True,0,0,True
neutral/rep0110,0,4,781,252,True,True,0,0,True
neutral/rep0111,0,0,889,261,True,True,0,0,True
neutral/rep0112,0,3,616,195,True,True,0,0,True
neutral/rep0113,0,2,661,203,True,True,0,0,True
neutral/rep0114,0,4,130,41,True,True,0,0,True
neutral/rep0115,0,4,218,74,True,True,0,0,True
neutral/rep0116,0,1,1183,356,True,True,0,0,True
neutral/rep0117,0,0,734,216,True,True,0,0,True
neutral/rep0118,0,0,299,90,True,True,0,0,True
neutral/rep0119,0,1,184,60,True,True,0,0,True
neutral/rep0120,0,1,90,28,True,True,0,0,True
neutral/rep0121,0,3,567,177,True,True,0,0,True
neutral/rep0122,0,1,516,171,True,True,0,0,True
neutral/rep0123,0,4,758,243,True,True,0,0,True
neutral/rep0124,0,0,1760,525,True,True,0,0,True
neutral/rep0125,0,3,802,240,True,True,0,0,True
neutral/rep0126,0,0,508,162,True,True,0,0,True
neutral/rep0127,0,2,248,79,True,True,0,0,True
neutral/rep0128,0,3,133,38,True,True,0,0,True
neutral/rep0129,0,2,943,273,True,True,0,0,True
neutral/rep0130,0,2,66,20,True,True,0,0,True
neutral/rep0131,0,2,61,23,True,True,0,0,True
neutral/rep0132,0,2,195,66,True,True,0,0,True
neutral/rep0133,0,3,551,169,True,True,0,0,True
neutral/rep0134,0,4,479,139,True,True,0,0,True
neutral/rep0135,0,2,488,150,True,True,0,0,True
neutral/rep0136,0,3,1427,441,True,True,0,0,True
neutral/rep0137,0,4,1138,339,True,True,0,0,True
neutral/rep0138,0,2,789,241,True,True,0,0,True
neutral/rep0139,0,3,418,116,True,True,0,0,True
neutral/rep0140,0,4,458,142,True,True,0,0,True
neutral/rep0141,0,1,176,57,True,True,0,0,True
neutral/rep0142,0,1,453,137,True,True,0,0,True
neutral/rep0143,0,1,960,294,True,True,0,0,True
neutral/rep0144,0,4,179,55,True,True,0,0,True
neutral/rep0145,0,0,202,65,True,True,0,0,True
neutral/rep0146,0,1,122,40,True,True,0,0,True
neutral/rep0147,0,1,463,150,True,True,0,0,True
neutral/rep0148,0,0,103,37,True,True,0,0,True
neutral/rep0149,0,4,531,162,True,True,0,0,True
neutral/rep0150,0,4,156,44,True,True,0,0,True
neutral/rep0151,0,1,714,214,True,True,0,0,True
neutral/rep0152,0,1,499,152,True,True,0,0,True
neutral/rep0153,0,3,129,37,True,True,0,0,True
neutral/rep0154,0,0,160,49,True,True,0,0,True
neutral/rep0155,0,2,1069,334,True,True,0,0,True
neutral/rep0156,0,4,353,96,True,True,0,0,True
neutral/rep0157,0,2,71,21,True,True,0,0,True
neutral/rep0158,0,1,700,217,True,True,0,0,True
neutral/rep0159,0,0,365,126,True,True,0,0,True
neutral/rep0160,0,0,126,41,True,True,0,0,True
neutral/rep0161,0,0,543,161,True,True,0,0,True
neutral/rep0162,0,1,636,183,True,True,0,0,True
neutral/rep0163,0,0,677,196,True,True,0,0,True
neutral/rep0164,0,3,509,153,True,True,0,0,True
neutral/rep0165,0,0,147,46,True,True,0,0,True
neutral/rep0166,0,2,323,99,True,True,0,0,True
neutral/rep0167,0,4,887,263,True,True,0,0,True
neutral/rep0168,0,3,1177,368,True,True,0,0,True
neutral/rep0169,0,0,375,121,True,True,0,0,True
neutral/rep0170,0,4,644,193,True,True,0,0,True
neutral/rep0171,0,3,155,48,True,True,0,0,True
neutral/rep0172,0,3,508,163,True,True,0,0,True
neutral/rep0173,0,1,1084,339,True,True,0,0,True
neutral/rep0174,0,3,420,121,True,True,0,0,True
neutral/rep0175,0,2,149,47,True,True,0,0,True
neutral/rep0176,0,3,731,227,True,True,0,0,True
neutral/rep0177,0,0,830,246,True,True,0,0,True
neutral/rep0178,0,1,296,103,True,True,0,0,True
neutral/rep0179,0,3,1444,450,True,True,0,0,True
neutral/rep0180,0,3,580,180,True,True,0,0,True
neutral/rep0181,0,2,266,82,True,True,0,0,True
neutral/rep0182,0,0,1526,447,True,True,0,0,True
neutral/rep0183,0,3,215,74,True,True,0,0,True
neutral/rep0184,0,0,1202,367,True,True,0,0,True
neutral/rep0185,0,4,232,72,True,True,0,0,True
neutral/rep0186,0,1,719,231,True,True,0,0,True
neutral/rep0187,0,3,866,269,True,True,0,0,True
neutral/rep0188,0,4,358,103,True,True,0,0,True
neutral/rep0189,0,4,0,0,True,True,0,0,True
neutral/rep0190,0,1,786,236,True,True,0,0,True
neutral/rep0191,0,3,511,160,True,True,0,0,True
neutral/rep0192,0,3,265,84,True,True,0,0,True
neutral/rep0193,0,0,1197,373,True,True,0,0,True
neutral/rep0194,0,2,735,226,True,True,0,0,True
neutral/rep0195,0,0,869,270,True,True,0,0,True
neutral/rep0196,0,2,292,95,True,True,0,0,True
neutral/rep0197,0,0,787,233,True,True,0,0,True
neutral/rep0198,0,2,306,98,True,True,0,0,True
neutral/rep0199,0,4,783,234,True,True,0,0,True
neutral/rep0200,0,3,1273,394,True,True,0,0,True
neutral/rep0201,0,1,869,257,True,True,0,0,True
neutral/rep0202,0,2,550,173,True,True,0,0,True
neutral/rep0203,0,3,11,5,True,True,0,0,True
neutral/rep0204,0,3,546,173,True,True,0,0,True
neutral/rep0205,0,2,504,147,True,True,0,0,True
neutral/rep0206,0,2,761,234,True,True,0,0,True
neutral/rep0207,0,0,711,228,True,True,0,0,True
neutral/rep0208,0,2,431,129,True,True,0,0,True
neutral/rep0209,0,3,460,148,True,True,0,0,True
neutral/rep0210,0,2,1086,327,True,True,0,0,True
neutral/rep0211,0,4,218,74,True,True,0,0,True
neutral/rep0212,0,3,673,216,True,True,0,0,True
neutral/rep0213,0,3,364,111,True,True,0,0,True
neutral/rep0214,0,4,447,136,True,True,0,0,True
neutral/rep0215,0,0,543,179,True,True,0,0,True
neutral/rep0216,0,0,276,86,True,True,0,0,True
neutral/rep0217,0,2,468,152,True,True,0,0,True
neutral/rep0218,0,3,600,184,True,True,0,0,True
neutral/rep0219,0,1,291,93,True,True,0,0,True
neutral/rep0220,0,0,0,0,True,True,0,0,True
neutral/rep0221,0,0,724,227,True,True,0,0,True
neutral/rep0222,0,2,671,204,True,True,0,0,True
neutral/rep0223,0,4,514,154,True,True,0,0,True
neutral/rep0224,0,3,525,156,True,True,0,0,True
neutral/rep0225,0,4,632,184,True,True,0,0,True
neutral/rep0226,0,2,36,13,True,True,0,0,True
neutral/rep0227,0,3,368,117,True,True,0,0,True
neutral/rep0228,0,3,868,265,True,True,0,0,True
neutral/rep0229,0,2,1161,348,True,True,0,0,True
neutral/rep0230,0,0,317,94,True,True,0,0,True
neutral/rep0231,0,2,199,65,True,True,0,0,True
neutral/rep0232,0,0,333,105,True,True,0,0,True
neutral/rep0233,0,1,188,56,True,True,0,0,True
neutral/rep0234,0,2,1029,306,True,True,0,0,True
neutral/rep0235,0,2,900,270,True,True,0,0,True
neutral/rep0236,0,2,188,62,True,True,0,0,True
neutral/rep0237,0,4,1239,390,True,True,0,0,True
neutral/rep0238,0,0,0,0,True,True,0,0,True
neutral/rep0239,0,2,808,245,True,True,0,0,True
neutral/rep0240,0,2,1434,446,True,True,0,0,True
neutral/rep0241,0,4,57,21,True,True,0,0,True
neutral/rep0242,0,1,267,86,True,True,0,0,True
neutral/rep0243,0,1,539,168,True,True,0,0,True
neutral/rep0244,0,1,1367,424,True,True,0,0,True
neutral/rep0245,0,1,573,172,True,True,0,0,True
neutral/rep0246,0,1,741,233,True,True,0,0,True
neutral/rep0247,0,2,543,173,True,True,0,0,True
neutral/rep0248,0,2,353,118,True,True,0,0,True
neutral/rep0249,0,0,175,55,True,True,0,0,True
neutral/rep0250,0,0,359,111,True,True,0,0,True
neutral/rep0251,0,3,189,63,True,True,0,0,True
neutral/rep0252,0,1,435,129,True,True,0,0,True
neutral/rep0253,0,0,438,124,True,True,0,0,True
neutral/rep0254,0,2,137,45,True,True,0,0,True
neutral/rep0255,0,3,329,107,True,True,0,0,True
neutral/rep0256,0,4,28,7,True,True,0,0,True
neutral/rep0257,0,3,308,92,True,True,0,0,True
neutral/rep0258,0,3,378,115,True,True,0,0,True
neutral/rep0259,0,3,355,118,True,True,0,0,True
neutral/rep0260,0,1,51,14,True,True,0,0,True
neutral/rep0261,0,0,654,201,True,True,0,0,True
neutral/rep0262,0,3,603,184,True,True,0,0,True
neutral/rep0263,0,0,152,45,True,True,0,0,True
neutral/rep0264,0,0,524,168,True,True,0,0,True
neutral/rep0265,0,0,134,40,True,True,0,0,True
neutral/rep0266,0,1,815,260,True,True,0,0,True
neutral/rep0267,0,2,531,165,True,True,0,0,True
neutral/rep0268,0,1,150,49,True,True,0,0,True
neutral/rep0269,0,1,192,62,True,True,0,0,True
neutral/rep0270,0,1,689,197,True,True,0,0,True
neutral/rep0271,0,1,188,56,True,True,0,0,True
neutral/rep0272,0,1,529,173,True,True,0,0,True
neutral/rep0273,0,4,885,275,True,True,0,0,True
neutral/rep0274,0,4,340,104,True,True,0,0,True
neutral/rep0275,0,0,589,186,True,True,0,0,True
neutral/rep0276,0,0,439,126,True,True,0,0,True
neutral/rep0277,0,0,1205,351,True,True,0,0,True
neutral/rep0278,0,2,503,156,True,True,0,0,True
neutral/rep0279,0,4,349,105,True,True,0,0,True
neutral/rep0280,0,2,837,256,True,True,0,0,True
neutral/rep0281,0,1,61,18,True,True,0,0,True
neutral/rep0282,0,2,265,84,True,True,0,0,True
neutral/rep0283,0,1,699,212,True,True,0,0,True
neutral/rep0284,0,0,646,202,True,True,0,0,True
neutral/rep0285,0,4,652,204,True,True,0,0,True
neutral/rep0286,0,3,0,0,True,True,0,0,True
neutral/rep0287,0,1,1053,311,True,True,0,0,True
neutral/rep0288,0,2,415,125,True,True,0,0,True
neutral/rep0289,0,1,402,121,True,True,0,0,True
neutral/rep0290,0,1,297,103,True,True,0,0,True
neutral/rep0291,0,2,22,9,True,True,0,0,True
neutral/rep0292,0,2,574,179,True,True,0,0,True
neutral/rep0293,0,0,590,183,True,True,0,0,True
neutral/rep0294,0,4,911,280,True,True,0,0,True
neutral/rep0295,0,0,407,127,True,True,0,0,True
neutral/rep0296,0,2,211,63,True,True,0,0,True
neutral/rep0297,0,0,431,133,True,True,0,0,True
neutral/rep0298,0,1,127,44,True,True,0,0,True
neutral/rep0299,0,0,17,7,True,True,0,0,True
neutral/rep0300,0,2,512,153,True,True,0,0,True
neutral/rep0301,0,1,120,40,True,True,0,0,True
neutral/rep0302,0,2,372,109,True,True,0,0,True
neutral/rep0303,0,4,1087,317,True,True,0,0,True
neutral/rep0304,0,3,1014,305,True,True,0,0,True
neutral/rep0305,0,3,164,56,True,True,0,0,True
neutral/rep0306,0,0,235,86,True,True,0,0,True
neutral/rep0307,0,3,568,171,True,True,0,0,True
neutral/rep0308,0,3,95,26,True,True,0,0,True
neutral/rep0309,0,0,2028,618,True,True,0,0,True
neutral/rep0310,0,0,306,96,True,True,0,0,True
neutral/rep0311,0,4,375,122,True,True,0,0,True
neutral/rep0312,0,3,674,206,True,True,0,0,True
neutral/rep0313,0,1,114,34,True,True,0,0,True
neutral/rep0314,0,1,244,70,True,True,0,0,True
neutral/rep0315,0,1,158,50,True,True,0,0,True
neutral/rep0316,0,0,234,77,True,True,0,0,True
neutral/rep0317,0,2,1200,370,True,True,0,0,True
neutral/rep0318,0,0,18,8,True,True,0,0,True
neutral/rep0319,0,1,107,33,True,True,0,0,True
neutral/rep0320,0,2,218,67,True,True,0,0,True
neutral/rep0321,0,4,336,103,True,True,0,0,True
neutral/rep0322,0,1,660,203,True,True,0,0,True
neutral/rep0323,0,1,308,99,True,True,0,0,True
neutral/rep0324,0,0,846,249,True,True,0,0,True
neutral/rep0325,0,2,634,199,True,True,0,0,True
neutral/rep0326,0,1,375,106,True,True,0,0,True
neutral/rep0327,0,3,360,115,True,True,0,0,True
neutral/rep0328,0,0,617,188,True,True,0,0,True
neutral/rep0329,0,2,614,197,True,True,0,0,True
neutral/rep0330,0,1,242,78,True,True,0,0,True
neutral/rep0331,0,3,1008,309,True,True,0,0,True
neutral/rep0332,0,1,5,3,True,True,0,0,True
neutral/rep0333,0,2,438,129,True,True,0,0,True
neutral/rep0334,0,3,339,105,True,True,0,0,True
neutral/rep0335,0,2,978,294,True,True,0,0,True
neutral/rep0336,0,2,969,307,True,True,0,0,True
neutral/rep0337,0,2,469,136,True,True,0,0,True
neutral/rep0338,0,4,476,142,True,True,0,0,True
neutral/rep0339,0,2,535,162,True,True,0,0,True
neutral/rep0340,0,0,241,78,True,True,0,0,True
neutral/rep0341,0,2,398,127,True,True,0,0,True
neutral/rep0342,0,2,220,69,True,True,0,0,True
neutral/rep0343,0,1,285,89,True,True,0,0,True
neutral/rep0344,0,0,262,79,True,True,0,0,True
neutral/rep0345,0,4,247,81,True,True,0,0,True
neutral/rep0346,0,2,2,2,True,True,0,0,True
neutral/rep0347,0,1,475,148,True,True,0,0,True
neutral/rep0348,0,2,46,14,True,True,0,0,True
neutral/rep0349,0,1,315,106,True,True,0,0,True
neutral/rep0350,0,3,639,186,True,True,0,0,True
neutral/rep0351,0,3,1054,337,True,True,0,0,True
neutral/rep0352,0,2,688,205,True,True,0,0,True
neutral/rep0353,0,3,403,133,True,True,0,0,True
neutral/rep0354,0,2,258,78,True,True,0,0,True
neutral/rep0355,0,4,565,177,True,True,0,0,True
neutral/rep0356,0,4,99,34,True,True,0,0,True
neutral/rep0357,0,4,503,157,True,True,0,0,True
neutral/rep0358,0,4,796,217,True,True,0,0,True
neutral/rep0359,0,0,818,264,True,True,0,0,True
neutral/rep0360,0,3,620,195,True,True,0,0,True
neutral/rep0361,0,4,1371,423,True,True,0,0,True
neutral/rep0362,0,2,921,269,True,True,0,0,True
neutral/rep0363,0,3,29,9,True,True,0,0,True
neutral/rep0364,0,0,527,162,True,True,0,0,True
neutral/rep0365,0,2,522,165,True,True,0,0,True
neutral/rep0366,0,3,954,282,True,True,0,0,True
neutral/rep0367,0,1,158,49,True,True,0,0,True
neutral/rep0368,0,2,316,92,True,True,0,0,True
neutral/rep0369,0,1,465,143,True,True,0,0,True
neutral/rep0370,0,2,665,206,True,True,0,0,True
neutral/rep0371,0,3,367,118,True,True,0,0,True
neutral/rep0372,0,4,517,143,True,True,0,0,True
neutral/rep0373,0,0,106,38,True,True,0,0,True
neutral/rep0374,0,2,27,10,True,True,0,0,True
neutral/rep0375,0,2,323,102,True,True,0,0,True
neutral/rep0376,0,1,878,278,True,True,0,0,True
neutral/rep0377,0,3,174,58,True,True,0,0,True
neutral/rep0378,0,3,161,46,True,True,0,0,True
neutral/rep0379,0,2,1132,345,True,True,0,0,True
neutral/rep0380,0,0,126,37,True,True,0,0,True
neutral/rep0381,0,0,421,135,True,True,0,0,True
neutral/rep0382,0,2,152,47,True,True,0,0,True
neutral/rep0383,0,0,716,208,True,True,0,0,True
neutral/rep0384,0,2,420,133,True,True,0,0,True
neutral/rep0385,0,0,721,203,True,True,0,0,True
neutral/rep0386,0,0,463,141,True,True,0,0,True
neutral/rep0387,0,3,508,154,True,True,0,0,True
neutral/rep0388,0,1,256,75,True,True,0,0,True
neutral/rep0389,0,4,444,134,True,True,0,0,True
neutral/rep0390,0,4,123,43,True,True,0,0,True
neutral/rep0391,0,4,675,204,True,True,0,0,True
neutral/rep0392,0,2,355,114,True,True,0,0,True
neutral/rep0393,0,2,387,124,True,True,0,0,True
neutral/rep0394,0,2,306,92,True,True,0,0,True
neutral/rep0395,0,1,220,68,True,True,0,0,True
neutral/rep0396,0,2,722,211,True,True,0,0,True
neutral/rep0397,0,3,494,140,True,True,0,0,True
neutral/rep0398,0,0,1088,319,True,True,0,0,True
neutral/rep0399,0,4,20,9,True,True,0,0,True
neutral/rep0400,0,1,713,211,True,True,0,0,True
neutral/rep0401,0,1,70,23,True,True,0,0,True
