scenario	study_type	specification_id	selection_coefficient	demography_curve	target_allele_frequency	lower_allele_frequency	upper_allele_frequency	origin_age_generations	origin_age_years	source_minimum_frequency	pulse_proportion	pulse_generations_ago	han_split_generations_ago	requested_han_split_generations_ago	realized_han_split_generations_ago	slim_scaled_origin_generations_ago	slim_scaled_source_check_generations_ago	slim_scaled_pulse_generations_ago	slim_scaled_han_split_generations_ago	slim_demographic_han_split_generations_ago	slim_selection_transition_generations_ago	slim_demographic_time_rule	deterministic_required_pulse_frequency	deterministic_feasible_from_fixed_archaic_source	feasibility_interpretation	eligible_for_simulation	eligibility_reason	present_ne	theta_for_gamma_smc
neanderthal_introgression_standing_variation	introgression	intro_s0p005_af70	0.005		0.7	0.7	0.95	2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.007902030269580388	True	screening approximation only; drift and conditioning remain stochastic	True	deterministically_reachable_from_maximum_pulse	6300.0	0.00031499999999999996
neanderthal_introgression_standing_variation	introgression	intro_s0p005_af80	0.005		0.8	0.8	0.95	2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.013470307052090553	True	screening approximation only; drift and conditioning remain stochastic	True	deterministically_reachable_from_maximum_pulse	6300.0	0.00031499999999999996
neanderthal_introgression_standing_variation	introgression	intro_s0p005_af90	0.005		0.9	0.9	0.95	2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.02980631558837017	False	screening approximation only; drift and conditioning remain stochastic	True	conditioned_stochastic_tail	6300.0	0.00031499999999999996
neanderthal_introgression_standing_variation	introgression	intro_s0p001_af10	0.001		0.1	0.1	0.95	2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.03444881293506567	False	screening approximation only; drift and conditioning remain stochastic	True	conditioned_stochastic_tail	6300.0	0.00031499999999999996
neanderthal_introgression_standing_variation	introgression	intro_s0p001_af20	0.001		0.2	0.2	0.95	2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.07430996643762192	False	screening approximation only; drift and conditioning remain stochastic	True	conditioned_stochastic_tail	6300.0	0.00031499999999999996
neanderthal_introgression_standing_variation	introgression	intro_s0p001_af30	0.001		0.3	0.3	0.95	2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.1209677228739255	False	screening approximation only; drift and conditioning remain stochastic	True	conditioned_stochastic_tail	6300.0	0.00031499999999999996
neanderthal_introgression_standing_variation	introgression	intro_s0p001_af40	0.001		0.4	0.4	0.95	2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.17632239210154663	False	screening approximation only; drift and conditioning remain stochastic	True	conditioned_stochastic_tail	6300.0	0.00031499999999999996
neanderthal_introgression_standing_variation	introgression	intro_s0p001_af50	0.001		0.5	0.5	0.95	2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.24305552257533283	False	screening approximation only; drift and conditioning remain stochastic	True	conditioned_stochastic_tail	6300.0	0.00031499999999999996
neanderthal_introgression_standing_variation	introgression	intro_s0p001_af60	0.001		0.6	0.6	0.95	2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.32507736005072935	False	screening approximation only; drift and conditioning remain stochastic	True	conditioned_stochastic_tail	6300.0	0.00031499999999999996
neanderthal_introgression_standing_variation	introgression	intro_s0p001_af70	0.001		0.7	0.7	0.95	2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.42832163442761145	False	screening approximation only; drift and conditioning remain stochastic	True	conditioned_stochastic_tail	6300.0	0.00031499999999999996
neanderthal_introgression_standing_variation	introgression	intro_s0p001_af80	0.001		0.8	0.8	0.95	2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.5622489518634901	False	screening approximation only; drift and conditioning remain stochastic	True	conditioned_stochastic_tail	6300.0	0.00031499999999999996
neanderthal_introgression_standing_variation	introgression	intro_s0p001_af90	0.001		0.9	0.9	0.95	2400.0	60000.0	0.1	0.0296	2272.0	2016.0	2016.0	2010.0	2400.0	2270.0	2270.0	2010.0	2010.0	2010.0	floor(time/Q)*Q for positive catalog demographic events	0.7429244940653833	False	screening approximation only; drift and conditioning remain stochastic	True	conditioned_stochastic_tail	6300.0	0.00031499999999999996
