source,alpha,s,method,n,af_called,mass_called,mass_only,af_only,power_difference,paired_exact_p,interpretation
truth,0.05,0.003,mass_20000,100,79,85,6,0,0.05999999999999994,0.03125,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.003,mass_30000,100,79,82,5,2,0.029999999999999916,0.453125,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.003,mass_40000,100,79,79,1,1,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.003,mass_5000,100,79,75,3,7,-0.040000000000000036,0.34375,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.003,mass_50000,100,79,79,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.004,mass_10000,100,92,93,2,1,0.010000000000000009,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.004,mass_20000,100,92,95,3,0,0.029999999999999916,0.25,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.004,mass_30000,100,92,96,4,0,0.039999999999999925,0.125,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.004,mass_40000,100,92,93,1,0,0.010000000000000009,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.004,mass_5000,100,92,90,1,3,-0.020000000000000018,0.625,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.004,mass_50000,100,92,92,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.005,mass_10000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.005,mass_20000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.005,mass_30000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.005,mass_40000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.005,mass_5000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.005,mass_50000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.006,mass_10000,100,98,98,1,1,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.006,mass_20000,100,98,99,1,0,0.010000000000000009,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.006,mass_30000,100,98,99,1,0,0.010000000000000009,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.006,mass_40000,100,98,98,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.006,mass_5000,100,98,95,0,3,-0.030000000000000027,0.25,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.006,mass_50000,100,98,98,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.007,mass_10000,100,99,99,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.007,mass_20000,100,99,100,1,0,0.010000000000000009,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.007,mass_30000,100,99,100,1,0,0.010000000000000009,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.007,mass_40000,100,99,98,0,1,-0.010000000000000009,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.007,mass_5000,100,99,99,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.007,mass_50000,100,99,99,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.008,mass_10000,100,98,99,1,0,0.010000000000000009,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.008,mass_20000,100,98,99,1,0,0.010000000000000009,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.008,mass_30000,100,98,98,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.008,mass_40000,100,98,98,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.008,mass_5000,100,98,99,1,0,0.010000000000000009,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.008,mass_50000,100,98,98,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.009,mass_10000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.009,mass_20000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.009,mass_30000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.009,mass_40000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.009,mass_5000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.009,mass_50000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.01,mass_10000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.01,mass_20000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.01,mass_30000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.01,mass_40000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.01,mass_5000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
truth,0.05,0.01,mass_50000,100,100,100,0,0,0.0,1.0,exploratory; unadjusted across time cutoffs and selection arms
