calibration_id	selection_coefficient	target_allele_frequency	population_af_lower	population_af_upper	duration_multiplier	analytic_selection_end_generations_ago	analytic_selection_duration_generations	requested_selection_end_generations_ago	realized_selection_end_generations_ago	slim_scaling_factor	candidate_pool_diploids	draw_index	seed	calibration_phase	simulation_mode	sequence_length_bp	focal_position_bp	seed_namespace	upstream_artifact_sha256	reserved_seed_registry_sha256
han_extension__s0.010000__af0.300000__m0.600000__q5__draw010	0.01	0.3	0.2749999999999999	0.325	0.6	1183.315986771755	1088.684013228245	1618.789592063053	1620.0	5.0	500	10	1407479973	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.600000__q5__draw011	0.01	0.3	0.2749999999999999	0.325	0.6	1183.315986771755	1088.684013228245	1618.789592063053	1620.0	5.0	500	11	1994465007	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.600000__q5__draw012	0.01	0.3	0.2749999999999999	0.325	0.6	1183.315986771755	1088.684013228245	1618.789592063053	1620.0	5.0	500	12	1387770084	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.600000__q5__draw013	0.01	0.3	0.2749999999999999	0.325	0.6	1183.315986771755	1088.684013228245	1618.789592063053	1620.0	5.0	500	13	1622620132	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.600000__q5__draw014	0.01	0.3	0.2749999999999999	0.325	0.6	1183.315986771755	1088.684013228245	1618.789592063053	1620.0	5.0	500	14	1481675328	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.600000__q5__draw015	0.01	0.3	0.2749999999999999	0.325	0.6	1183.315986771755	1088.684013228245	1618.789592063053	1620.0	5.0	500	15	26259814	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.600000__q5__draw016	0.01	0.3	0.2749999999999999	0.325	0.6	1183.315986771755	1088.684013228245	1618.789592063053	1620.0	5.0	500	16	1336641246	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.600000__q5__draw017	0.01	0.3	0.2749999999999999	0.325	0.6	1183.315986771755	1088.684013228245	1618.789592063053	1620.0	5.0	500	17	1907245334	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.600000__q5__draw018	0.01	0.3	0.2749999999999999	0.325	0.6	1183.315986771755	1088.684013228245	1618.789592063053	1620.0	5.0	500	18	751941219	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.600000__q5__draw019	0.01	0.3	0.2749999999999999	0.325	0.6	1183.315986771755	1088.684013228245	1618.789592063053	1620.0	5.0	500	19	697792237	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.700000__q5__draw000	0.01	0.3	0.2749999999999999	0.325	0.7	1183.315986771755	1088.684013228245	1509.9211907402287	1510.0	5.0	500	0	711068286	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.700000__q5__draw001	0.01	0.3	0.2749999999999999	0.325	0.7	1183.315986771755	1088.684013228245	1509.9211907402287	1510.0	5.0	500	1	1833633345	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.700000__q5__draw002	0.01	0.3	0.2749999999999999	0.325	0.7	1183.315986771755	1088.684013228245	1509.9211907402287	1510.0	5.0	500	2	1430986764	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.700000__q5__draw003	0.01	0.3	0.2749999999999999	0.325	0.7	1183.315986771755	1088.684013228245	1509.9211907402287	1510.0	5.0	500	3	167729046	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.700000__q5__draw004	0.01	0.3	0.2749999999999999	0.325	0.7	1183.315986771755	1088.684013228245	1509.9211907402287	1510.0	5.0	500	4	542289820	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.700000__q5__draw005	0.01	0.3	0.2749999999999999	0.325	0.7	1183.315986771755	1088.684013228245	1509.9211907402287	1510.0	5.0	500	5	1323054008	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.700000__q5__draw006	0.01	0.3	0.2749999999999999	0.325	0.7	1183.315986771755	1088.684013228245	1509.9211907402287	1510.0	5.0	500	6	1454175925	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.700000__q5__draw007	0.01	0.3	0.2749999999999999	0.325	0.7	1183.315986771755	1088.684013228245	1509.9211907402287	1510.0	5.0	500	7	332656311	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.700000__q5__draw008	0.01	0.3	0.2749999999999999	0.325	0.7	1183.315986771755	1088.684013228245	1509.9211907402287	1510.0	5.0	500	8	246342822	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.700000__q5__draw009	0.01	0.3	0.2749999999999999	0.325	0.7	1183.315986771755	1088.684013228245	1509.9211907402287	1510.0	5.0	500	9	622490807	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.700000__q5__draw010	0.01	0.3	0.2749999999999999	0.325	0.7	1183.315986771755	1088.684013228245	1509.9211907402287	1510.0	5.0	500	10	1295284856	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.700000__q5__draw011	0.01	0.3	0.2749999999999999	0.325	0.7	1183.315986771755	1088.684013228245	1509.9211907402287	1510.0	5.0	500	11	981335617	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.700000__q5__draw012	0.01	0.3	0.2749999999999999	0.325	0.7	1183.315986771755	1088.684013228245	1509.9211907402287	1510.0	5.0	500	12	320388042	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.700000__q5__draw013	0.01	0.3	0.2749999999999999	0.325	0.7	1183.315986771755	1088.684013228245	1509.9211907402287	1510.0	5.0	500	13	2086199941	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.700000__q5__draw014	0.01	0.3	0.2749999999999999	0.325	0.7	1183.315986771755	1088.684013228245	1509.9211907402287	1510.0	5.0	500	14	1082344733	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.700000__q5__draw015	0.01	0.3	0.2749999999999999	0.325	0.7	1183.315986771755	1088.684013228245	1509.9211907402287	1510.0	5.0	500	15	576065897	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.700000__q5__draw016	0.01	0.3	0.2749999999999999	0.325	0.7	1183.315986771755	1088.684013228245	1509.9211907402287	1510.0	5.0	500	16	117824678	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.700000__q5__draw017	0.01	0.3	0.2749999999999999	0.325	0.7	1183.315986771755	1088.684013228245	1509.9211907402287	1510.0	5.0	500	17	1685012831	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.700000__q5__draw018	0.01	0.3	0.2749999999999999	0.325	0.7	1183.315986771755	1088.684013228245	1509.9211907402287	1510.0	5.0	500	18	1188469753	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.700000__q5__draw019	0.01	0.3	0.2749999999999999	0.325	0.7	1183.315986771755	1088.684013228245	1509.9211907402287	1510.0	5.0	500	19	831509675	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.850000__q5__draw000	0.01	0.3	0.2749999999999999	0.325	0.85	1183.315986771755	1088.684013228245	1346.6185887559918	1345.0	5.0	500	0	400133466	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.850000__q5__draw001	0.01	0.3	0.2749999999999999	0.325	0.85	1183.315986771755	1088.684013228245	1346.6185887559918	1345.0	5.0	500	1	665392758	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.850000__q5__draw002	0.01	0.3	0.2749999999999999	0.325	0.85	1183.315986771755	1088.684013228245	1346.6185887559918	1345.0	5.0	500	2	177900307	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.850000__q5__draw003	0.01	0.3	0.2749999999999999	0.325	0.85	1183.315986771755	1088.684013228245	1346.6185887559918	1345.0	5.0	500	3	522542288	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.850000__q5__draw004	0.01	0.3	0.2749999999999999	0.325	0.85	1183.315986771755	1088.684013228245	1346.6185887559918	1345.0	5.0	500	4	861751667	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.850000__q5__draw005	0.01	0.3	0.2749999999999999	0.325	0.85	1183.315986771755	1088.684013228245	1346.6185887559918	1345.0	5.0	500	5	1194044122	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.850000__q5__draw006	0.01	0.3	0.2749999999999999	0.325	0.85	1183.315986771755	1088.684013228245	1346.6185887559918	1345.0	5.0	500	6	628144465	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.850000__q5__draw007	0.01	0.3	0.2749999999999999	0.325	0.85	1183.315986771755	1088.684013228245	1346.6185887559918	1345.0	5.0	500	7	1027946177	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.850000__q5__draw008	0.01	0.3	0.2749999999999999	0.325	0.85	1183.315986771755	1088.684013228245	1346.6185887559918	1345.0	5.0	500	8	1097266397	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.850000__q5__draw009	0.01	0.3	0.2749999999999999	0.325	0.85	1183.315986771755	1088.684013228245	1346.6185887559918	1345.0	5.0	500	9	1545119821	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.850000__q5__draw010	0.01	0.3	0.2749999999999999	0.325	0.85	1183.315986771755	1088.684013228245	1346.6185887559918	1345.0	5.0	500	10	348636103	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.850000__q5__draw011	0.01	0.3	0.2749999999999999	0.325	0.85	1183.315986771755	1088.684013228245	1346.6185887559918	1345.0	5.0	500	11	227429427	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.850000__q5__draw012	0.01	0.3	0.2749999999999999	0.325	0.85	1183.315986771755	1088.684013228245	1346.6185887559918	1345.0	5.0	500	12	438690003	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.850000__q5__draw013	0.01	0.3	0.2749999999999999	0.325	0.85	1183.315986771755	1088.684013228245	1346.6185887559918	1345.0	5.0	500	13	168713338	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.850000__q5__draw014	0.01	0.3	0.2749999999999999	0.325	0.85	1183.315986771755	1088.684013228245	1346.6185887559918	1345.0	5.0	500	14	123494302	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.850000__q5__draw015	0.01	0.3	0.2749999999999999	0.325	0.85	1183.315986771755	1088.684013228245	1346.6185887559918	1345.0	5.0	500	15	1391167385	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.850000__q5__draw016	0.01	0.3	0.2749999999999999	0.325	0.85	1183.315986771755	1088.684013228245	1346.6185887559918	1345.0	5.0	500	16	509864846	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.850000__q5__draw017	0.01	0.3	0.2749999999999999	0.325	0.85	1183.315986771755	1088.684013228245	1346.6185887559918	1345.0	5.0	500	17	2114369535	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.850000__q5__draw018	0.01	0.3	0.2749999999999999	0.325	0.85	1183.315986771755	1088.684013228245	1346.6185887559918	1345.0	5.0	500	18	2127723147	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
han_extension__s0.010000__af0.300000__m0.850000__q5__draw019	0.01	0.3	0.2749999999999999	0.325	0.85	1183.315986771755	1088.684013228245	1346.6185887559918	1345.0	5.0	500	19	1616189864	extension	focal_2bp_forward_only_no_recap_no_neutral_overlay	2	1	han_selection_extension_v1	9b9f610f150a1edbce6dce318cd3a376256b7ca1adf20360858aefd29eb288aa	55f816cf015343fac9acb473e5b4325d65aede215c379f6eecbf7d0c8bbadf14
