draw_id	phase	selection_coefficient	target_allele_frequency	population_af_lower	population_af_upper	exact_sample_alt_count	sample_diploids	candidate_pool_diploids	slim_scaling_factor	mutation_age_generations	selection_start_generations_ago	selection_end_generations_ago	draw_index	seed	seed_nonce	panel_seed	panel_seed_nonce	timeout_seconds	sequence_length_bp	focal_position_bp	processing_mode
han_frequency_conditioned__screen__s0.010000__af0.100000__q5__draw016	screen	0.01	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	16	1757236954	0	891312388	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.100000__q5__draw017	screen	0.01	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	17	1453558879	0	550957567	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.100000__q5__draw018	screen	0.01	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	18	1996208012	0	736935860	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.100000__q5__draw019	screen	0.01	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	19	1244635369	0	430218289	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.200000__q5__draw000	screen	0.01	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	0	738217012	0	49202596	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.200000__q5__draw001	screen	0.01	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	1	483557061	0	1631770328	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.200000__q5__draw002	screen	0.01	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	2	600131905	0	2089319371	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.200000__q5__draw003	screen	0.01	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	3	973690751	0	1595394996	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.200000__q5__draw004	screen	0.01	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	4	111933605	0	1617465735	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.200000__q5__draw005	screen	0.01	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	5	1822549184	0	1722770482	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.200000__q5__draw006	screen	0.01	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	6	805473178	0	220760317	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.200000__q5__draw007	screen	0.01	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	7	552966136	0	763500786	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.200000__q5__draw008	screen	0.01	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	8	144781267	0	960910139	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.200000__q5__draw009	screen	0.01	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	9	297927692	0	980223689	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.200000__q5__draw010	screen	0.01	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	10	2075625027	0	878269981	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.200000__q5__draw011	screen	0.01	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	11	1488146131	0	895751316	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.200000__q5__draw012	screen	0.01	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	12	512153070	0	71274939	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.200000__q5__draw013	screen	0.01	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	13	533381627	0	212676141	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.200000__q5__draw014	screen	0.01	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	14	1078506902	0	25245945	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.200000__q5__draw015	screen	0.01	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	15	946289481	0	1833119889	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.200000__q5__draw016	screen	0.01	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	16	1240369474	0	1569043552	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.200000__q5__draw017	screen	0.01	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	17	1861079576	0	1999539989	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.200000__q5__draw018	screen	0.01	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	18	318307463	0	505200171	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.200000__q5__draw019	screen	0.01	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	19	1954196787	0	1026404889	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.300000__q5__draw000	screen	0.01	0.3	0.27499999999999997	0.325	60	100	500	5.0	2400.0	2272.0	0.0	0	140248475	0	1303060635	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.300000__q5__draw001	screen	0.01	0.3	0.27499999999999997	0.325	60	100	500	5.0	2400.0	2272.0	0.0	1	2146489710	0	1204856496	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.300000__q5__draw002	screen	0.01	0.3	0.27499999999999997	0.325	60	100	500	5.0	2400.0	2272.0	0.0	2	475521837	0	442078208	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.300000__q5__draw003	screen	0.01	0.3	0.27499999999999997	0.325	60	100	500	5.0	2400.0	2272.0	0.0	3	98411255	0	1742224767	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.300000__q5__draw004	screen	0.01	0.3	0.27499999999999997	0.325	60	100	500	5.0	2400.0	2272.0	0.0	4	788950889	0	610390012	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.300000__q5__draw005	screen	0.01	0.3	0.27499999999999997	0.325	60	100	500	5.0	2400.0	2272.0	0.0	5	593944820	0	1417863605	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.300000__q5__draw006	screen	0.01	0.3	0.27499999999999997	0.325	60	100	500	5.0	2400.0	2272.0	0.0	6	1540031605	0	72859283	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.300000__q5__draw007	screen	0.01	0.3	0.27499999999999997	0.325	60	100	500	5.0	2400.0	2272.0	0.0	7	805083865	0	2058748727	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.300000__q5__draw008	screen	0.01	0.3	0.27499999999999997	0.325	60	100	500	5.0	2400.0	2272.0	0.0	8	423269611	0	839237553	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.300000__q5__draw009	screen	0.01	0.3	0.27499999999999997	0.325	60	100	500	5.0	2400.0	2272.0	0.0	9	573928956	0	1648923039	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.300000__q5__draw010	screen	0.01	0.3	0.27499999999999997	0.325	60	100	500	5.0	2400.0	2272.0	0.0	10	57766909	0	1465759868	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.300000__q5__draw011	screen	0.01	0.3	0.27499999999999997	0.325	60	100	500	5.0	2400.0	2272.0	0.0	11	63512924	0	508538714	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.300000__q5__draw012	screen	0.01	0.3	0.27499999999999997	0.325	60	100	500	5.0	2400.0	2272.0	0.0	12	923730250	0	828829073	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.300000__q5__draw013	screen	0.01	0.3	0.27499999999999997	0.325	60	100	500	5.0	2400.0	2272.0	0.0	13	120685803	0	1872853033	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.300000__q5__draw014	screen	0.01	0.3	0.27499999999999997	0.325	60	100	500	5.0	2400.0	2272.0	0.0	14	320269	0	1461635371	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.300000__q5__draw015	screen	0.01	0.3	0.27499999999999997	0.325	60	100	500	5.0	2400.0	2272.0	0.0	15	1328790150	0	1613662367	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.300000__q5__draw016	screen	0.01	0.3	0.27499999999999997	0.325	60	100	500	5.0	2400.0	2272.0	0.0	16	1067974650	0	1082371671	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.300000__q5__draw017	screen	0.01	0.3	0.27499999999999997	0.325	60	100	500	5.0	2400.0	2272.0	0.0	17	984650493	0	1754813233	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.300000__q5__draw018	screen	0.01	0.3	0.27499999999999997	0.325	60	100	500	5.0	2400.0	2272.0	0.0	18	89659110	0	795099349	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.010000__af0.300000__q5__draw019	screen	0.01	0.3	0.27499999999999997	0.325	60	100	500	5.0	2400.0	2272.0	0.0	19	1235570780	0	52366054	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.100000__q5__draw000	screen	0.005	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	0	1153943732	0	338202145	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.100000__q5__draw001	screen	0.005	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	1	1610739642	0	770247580	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.100000__q5__draw002	screen	0.005	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	2	1221435543	0	938597447	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.100000__q5__draw003	screen	0.005	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	3	198769524	0	1935254038	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.100000__q5__draw004	screen	0.005	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	4	1996569739	0	351094572	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.100000__q5__draw005	screen	0.005	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	5	1986956861	0	95502851	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.100000__q5__draw006	screen	0.005	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	6	1587132476	0	1957144492	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.100000__q5__draw007	screen	0.005	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	7	1736228627	0	258887998	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.100000__q5__draw008	screen	0.005	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	8	1985100271	0	1605374403	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.100000__q5__draw009	screen	0.005	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	9	720609099	0	2084421695	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.100000__q5__draw010	screen	0.005	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	10	1341665549	0	134140973	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.100000__q5__draw011	screen	0.005	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	11	992668589	0	1787779029	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.100000__q5__draw012	screen	0.005	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	12	563382400	0	1155122426	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.100000__q5__draw013	screen	0.005	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	13	1082695638	0	362271749	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.100000__q5__draw014	screen	0.005	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	14	904490812	0	384157725	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.100000__q5__draw015	screen	0.005	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	15	410986146	0	490818435	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.100000__q5__draw016	screen	0.005	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	16	1686577500	0	1131044054	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.100000__q5__draw017	screen	0.005	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	17	696464422	0	559153108	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.100000__q5__draw018	screen	0.005	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	18	1193722370	0	1009957790	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.100000__q5__draw019	screen	0.005	0.1	0.07500000000000001	0.125	20	100	500	5.0	2400.0	2272.0	0.0	19	1762845529	0	923925736	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.200000__q5__draw000	screen	0.005	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	0	2017508897	0	409020608	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.200000__q5__draw001	screen	0.005	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	1	1797322404	0	1786754387	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.200000__q5__draw002	screen	0.005	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	2	1444185188	0	1075381947	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.200000__q5__draw003	screen	0.005	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	3	1079211033	0	181446641	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.200000__q5__draw004	screen	0.005	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	4	134927384	0	1675571785	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.200000__q5__draw005	screen	0.005	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	5	1451395370	0	1099477969	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.200000__q5__draw006	screen	0.005	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	6	6530385	0	414613014	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.200000__q5__draw007	screen	0.005	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	7	76858114	0	1704404436	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.200000__q5__draw008	screen	0.005	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	8	1368447214	0	2007295483	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.200000__q5__draw009	screen	0.005	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	9	690332637	0	173941725	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.200000__q5__draw010	screen	0.005	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	10	74177069	0	1528099015	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.200000__q5__draw011	screen	0.005	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	11	1955022337	0	1146413164	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.200000__q5__draw012	screen	0.005	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	12	1240224050	0	1031547498	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.200000__q5__draw013	screen	0.005	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	13	1212887718	0	716715777	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.200000__q5__draw014	screen	0.005	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	14	1332875316	0	1041756276	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.200000__q5__draw015	screen	0.005	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	15	189151960	0	1745455986	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.200000__q5__draw016	screen	0.005	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	16	1735465308	0	2132466802	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.200000__q5__draw017	screen	0.005	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	17	1209040945	0	518009592	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.200000__q5__draw018	screen	0.005	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	18	1991317517	0	2025277080	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.200000__q5__draw019	screen	0.005	0.2	0.17500000000000002	0.225	40	100	500	5.0	2400.0	2272.0	0.0	19	1717480097	0	1927710051	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.300000__q5__draw000	screen	0.005	0.3	0.27499999999999997	0.325	60	100	500	5.0	2400.0	2272.0	0.0	0	583130067	0	1181754670	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
han_frequency_conditioned__screen__s0.005000__af0.300000__q5__draw001	screen	0.005	0.3	0.27499999999999997	0.325	60	100	500	5.0	2400.0	2272.0	0.0	1	994358443	0	753819815	0	1800.0	2	1	focal_2bp_raw_forward_no_recap_no_neutral_overlay
