attempt_zero_based	seed	status	timeout_seconds	candidate_pool_alt_count	candidate_pool_af	sample_alt_count	sample_af	n_hom_ref	n_heterozygous	n_hom_alt	elapsed_seconds	accepted	rejection_reason	error
32	1695714130	complete	300.0	0.0	0.0						26.456695365000087	False	focal_mutation_absent_at_present	
33	247247552	complete	300.0	0.0	0.0						25.5278248880004	False	focal_mutation_absent_at_present	
34	31774533	complete	300.0	0.0	0.0						25.36302969799999	False	focal_mutation_absent_at_present	
35	1118699695	complete	300.0	0.0	0.0						27.985847174000355	False	focal_mutation_absent_at_present	
36	927733023	complete	300.0	0.0	0.0						28.65046474300016	False	focal_mutation_absent_at_present	
37	433241711	complete	300.0	0.0	0.0						24.76470475600036	False	focal_mutation_absent_at_present	
38	86079873	complete	300.0	0.0	0.0						26.37275992500008	False	focal_mutation_absent_at_present	
39	2015825262	complete	300.0	0.0	0.0						26.135492056999738	False	focal_mutation_absent_at_present	
40	269432401	complete	300.0	0.0	0.0						25.56377884099993	False	focal_mutation_absent_at_present	
41	1080711437	complete	300.0	0.0	0.0						24.729283189999933	False	focal_mutation_absent_at_present	
42	1887135374	complete	300.0	0.0	0.0						26.39738161800005	False	focal_mutation_absent_at_present	
43	21944744	complete	300.0	0.0	0.0						25.24610619399982	False	focal_mutation_absent_at_present	
44	136529993	complete	300.0	947.0	0.947						27.99300170599963	False		
45	1185038060	complete	300.0	0.0	0.0						26.83110769299992	False	focal_mutation_absent_at_present	
46	1501822355	complete	300.0	0.0	0.0						25.304772514999968	False	focal_mutation_absent_at_present	
47	401307465	complete	297.56496716899983	0.0	0.0						24.732438433000425	False	focal_mutation_absent_at_present	
48	743795797	complete	272.8246934069998	0.0	0.0						26.166738385999903	False	focal_mutation_absent_at_present	
49	1156692897	complete	246.6500724479997	908.0	0.908						25.75654527400002	False		
50	1404952874	complete	220.8863694339998	0.0	0.0						25.261796925	False	focal_mutation_absent_at_present	
51	1349264422	complete	195.61578640800008	0.0	0.0						26.714700973999697	False	focal_mutation_absent_at_present	
52	1465092068	complete	168.89378144900002	0.0	0.0						26.17383726800017	False	focal_mutation_absent_at_present	
53	783889463	complete	142.71192147700003	0.0	0.0						25.040387320000264	False	focal_mutation_absent_at_present	
54	1923664365	complete	117.66457854100008	0.0	0.0						22.65667291299997	False	focal_mutation_absent_at_present	
55	1589556424	complete	95.001075399	0.0	0.0						23.964653696999903	False	focal_mutation_absent_at_present	
56	563555709	complete	71.02844116699998	873.0	0.873						25.55646373099989	False		
57	1071114737	complete	45.46424697700013	0.0	0.0						23.276683104999847	False	focal_mutation_absent_at_present	
58	1470920828	timed_out	22.1804399130001								22.18329020400006	False		SLiM draw exceeded 22.180 wall-clock seconds
59	1134206790	complete	300.0	954.0	0.954						25.817634586999993	False		
60	1158932909	complete	300.0	0.0	0.0						22.3955876	False	focal_mutation_absent_at_present	
61	225864421	complete	300.0	0.0	0.0						23.327768054999993	False	focal_mutation_absent_at_present	
62	1922407794	complete	300.0	0.0	0.0						24.441625180000003	False	focal_mutation_absent_at_present	
63	133310697	complete	300.0	0.0	0.0						23.0652891	False	focal_mutation_absent_at_present	
64	790683827	complete	300.0	0.0	0.0						21.676128438000006	False	focal_mutation_absent_at_present	
65	133757421	complete	300.0	0.0	0.0						22.411760880000003	False	focal_mutation_absent_at_present	
66	1714675708	complete	300.0	0.0	0.0						22.750772043000012	False	focal_mutation_absent_at_present	
67	1408106930	complete	300.0	710.0	0.71						24.632009283000002	False		
68	1448478283	complete	300.0	0.0	0.0						25.127613763	False	focal_mutation_absent_at_present	
69	1470010677	complete	300.0	0.0	0.0						26.03187299399997	False	focal_mutation_absent_at_present	
70	710445518	complete	300.0	784.0	0.784						24.87904909499997	False		
71	75003572	complete	300.0	0.0	0.0						21.613937942000007	False	focal_mutation_absent_at_present	
72	2034791666	complete	300.0	909.0	0.909						26.241140100999985	False		
73	1720470415	complete	300.0	0.0	0.0						22.617648026999973	False	focal_mutation_absent_at_present	
74	256170112	complete	300.0	0.0	0.0						22.818009184000005	False	focal_mutation_absent_at_present	
75	1613789275	complete	300.0	0.0	0.0						23.217820030999974	False	focal_mutation_absent_at_present	
76	479095946	complete	300.0	0.0	0.0						23.551051144999974	False	focal_mutation_absent_at_present	
77	1446432343	complete	300.0	0.0	0.0						23.131898417000002	False	focal_mutation_absent_at_present	
78	1077912799	complete	300.0	0.0	0.0						22.696471152000015	False	focal_mutation_absent_at_present	
79	1171267411	complete	300.0	0.0	0.0						24.575712973999998	False	focal_mutation_absent_at_present	
80	839039124	complete	300.0	0.0	0.0						22.092761588999906	False	focal_mutation_absent_at_present	
81	818881750	complete	300.0	773.0	0.773						23.930069172000003	False		
82	671984880	complete	300.0	0.0	0.0						23.492742635000013	False	focal_mutation_absent_at_present	
83	2103965896	complete	300.0	0.0	0.0						22.962300829000014	False	focal_mutation_absent_at_present	
84	147483710	complete	300.0	0.0	0.0						21.786621844000024	False	focal_mutation_absent_at_present	
85	572582508	complete	300.0	0.0	0.0						22.458426611999926	False	focal_mutation_absent_at_present	
86	1946131285	complete	300.0	0.0	0.0						22.13612295200005	False	focal_mutation_absent_at_present	
87	620909924	complete	300.0	885.0	0.885						23.481753414999957	False		
88	1311679641	complete	300.0	0.0	0.0						22.24905721899995	False	focal_mutation_absent_at_present	
89	2112935206	complete	300.0	0.0	0.0						22.32134966000001	False	focal_mutation_absent_at_present	
90	612286413	complete	300.0	0.0	0.0						23.194435530999954	False	focal_mutation_absent_at_present	
91	1266213069	complete	300.0	543.0	0.543	40.0	0.2	65.0	30.0	5.0	23.700792976000002	True		
