unit_id	demography_id	demography_kind	population	source_model	selection_origin	simulation_class	selection_coefficient	target_allele_frequency	population_af_lower	population_af_upper	exact_sample_alt_count	sample_diploids	replicate_index	seed	sequence_length_bp	focal_position_bp
eas_phlash_median__af10__neutral__rep011	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	11	1263738610	10000000	5000000
eas_phlash_median__af10__neutral__rep012	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	12	58588321	10000000	5000000
eas_phlash_median__af10__neutral__rep013	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	13	410993594	10000000	5000000
eas_phlash_median__af10__neutral__rep014	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	14	1484434223	10000000	5000000
eas_phlash_median__af10__neutral__rep015	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	15	1608959600	10000000	5000000
eas_phlash_median__af10__neutral__rep016	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	16	80735534	10000000	5000000
eas_phlash_median__af10__neutral__rep017	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	17	713073112	10000000	5000000
eas_phlash_median__af10__neutral__rep018	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	18	1385740735	10000000	5000000
eas_phlash_median__af10__neutral__rep019	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	19	1569858248	10000000	5000000
eas_phlash_median__af10__neutral__rep020	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	20	1793774684	10000000	5000000
eas_phlash_median__af10__neutral__rep021	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	21	2094721	10000000	5000000
eas_phlash_median__af10__neutral__rep022	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	22	354583038	10000000	5000000
eas_phlash_median__af10__neutral__rep023	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	23	130614828	10000000	5000000
eas_phlash_median__af10__neutral__rep024	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	24	1822890266	10000000	5000000
eas_phlash_median__af10__neutral__rep025	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	25	2091221363	10000000	5000000
eas_phlash_median__af10__neutral__rep026	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	26	1981300498	10000000	5000000
eas_phlash_median__af10__neutral__rep027	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	27	81588582	10000000	5000000
eas_phlash_median__af10__neutral__rep028	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	28	729271463	10000000	5000000
eas_phlash_median__af10__neutral__rep029	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	29	101675468	10000000	5000000
eas_phlash_median__af10__neutral__rep030	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	30	1722909499	10000000	5000000
eas_phlash_median__af10__neutral__rep031	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	31	1227659921	10000000	5000000
eas_phlash_median__af10__neutral__rep032	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	32	1995456005	10000000	5000000
eas_phlash_median__af10__neutral__rep033	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	33	1191139691	10000000	5000000
eas_phlash_median__af10__neutral__rep034	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	34	1757156058	10000000	5000000
eas_phlash_median__af10__neutral__rep035	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	35	819799716	10000000	5000000
eas_phlash_median__af10__neutral__rep036	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	36	1823147834	10000000	5000000
eas_phlash_median__af10__neutral__rep037	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	37	1804024933	10000000	5000000
eas_phlash_median__af10__neutral__rep038	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	38	637474458	10000000	5000000
eas_phlash_median__af10__neutral__rep039	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	39	1289541259	10000000	5000000
eas_phlash_median__af10__neutral__rep040	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	40	1968998768	10000000	5000000
eas_phlash_median__af10__neutral__rep041	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	41	316576569	10000000	5000000
eas_phlash_median__af10__neutral__rep042	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	42	1609915117	10000000	5000000
eas_phlash_median__af10__neutral__rep043	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	43	356023172	10000000	5000000
eas_phlash_median__af10__neutral__rep044	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	44	1952567677	10000000	5000000
eas_phlash_median__af10__neutral__rep045	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	45	1317493531	10000000	5000000
eas_phlash_median__af10__neutral__rep046	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	46	637971394	10000000	5000000
eas_phlash_median__af10__neutral__rep047	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	47	6183263	10000000	5000000
eas_phlash_median__af10__neutral__rep048	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	48	132721420	10000000	5000000
eas_phlash_median__af10__neutral__rep049	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	49	113438523	10000000	5000000
eas_phlash_median__af10__neutral__rep050	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	50	1808739718	10000000	5000000
eas_phlash_median__af10__neutral__rep051	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	51	292136159	10000000	5000000
eas_phlash_median__af10__neutral__rep052	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	52	1020728477	10000000	5000000
eas_phlash_median__af10__neutral__rep053	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	53	1423701895	10000000	5000000
eas_phlash_median__af10__neutral__rep054	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	54	1936304371	10000000	5000000
eas_phlash_median__af10__neutral__rep055	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	55	714123562	10000000	5000000
eas_phlash_median__af10__neutral__rep056	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	56	304605658	10000000	5000000
eas_phlash_median__af10__neutral__rep057	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	57	2051438106	10000000	5000000
eas_phlash_median__af10__neutral__rep058	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	58	994509865	10000000	5000000
eas_phlash_median__af10__neutral__rep059	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	59	384532478	10000000	5000000
eas_phlash_median__af10__neutral__rep060	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	60	1745395937	10000000	5000000
eas_phlash_median__af10__neutral__rep061	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	61	2140849584	10000000	5000000
eas_phlash_median__af10__neutral__rep062	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	62	667056434	10000000	5000000
eas_phlash_median__af10__neutral__rep063	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	63	14594581	10000000	5000000
eas_phlash_median__af10__neutral__rep064	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	64	773138661	10000000	5000000
eas_phlash_median__af10__neutral__rep065	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	65	855395008	10000000	5000000
eas_phlash_median__af10__neutral__rep066	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	66	1031716586	10000000	5000000
eas_phlash_median__af10__neutral__rep067	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	67	81069626	10000000	5000000
eas_phlash_median__af10__neutral__rep068	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	68	1159039282	10000000	5000000
eas_phlash_median__af10__neutral__rep069	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	69	568460607	10000000	5000000
eas_phlash_median__af10__neutral__rep070	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	70	2069243837	10000000	5000000
eas_phlash_median__af10__neutral__rep071	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	71	1948165468	10000000	5000000
eas_phlash_median__af10__neutral__rep072	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	72	151650520	10000000	5000000
eas_phlash_median__af10__neutral__rep073	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	73	1387008015	10000000	5000000
eas_phlash_median__af10__neutral__rep074	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	74	1299636541	10000000	5000000
eas_phlash_median__af10__neutral__rep075	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	75	2104625350	10000000	5000000
eas_phlash_median__af10__neutral__rep076	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	76	1410048644	10000000	5000000
eas_phlash_median__af10__neutral__rep077	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	77	444494434	10000000	5000000
eas_phlash_median__af10__neutral__rep078	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	78	906721747	10000000	5000000
eas_phlash_median__af10__neutral__rep079	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	79	1767500515	10000000	5000000
eas_phlash_median__af10__neutral__rep080	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	80	834841239	10000000	5000000
eas_phlash_median__af10__neutral__rep081	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	81	1720864580	10000000	5000000
eas_phlash_median__af10__neutral__rep082	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	82	728097253	10000000	5000000
eas_phlash_median__af10__neutral__rep083	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	83	1454992211	10000000	5000000
eas_phlash_median__af10__neutral__rep084	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	84	1819626249	10000000	5000000
eas_phlash_median__af10__neutral__rep085	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	85	1363122810	10000000	5000000
eas_phlash_median__af10__neutral__rep086	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	86	210211673	10000000	5000000
eas_phlash_median__af10__neutral__rep087	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	87	1140736451	10000000	5000000
eas_phlash_median__af10__neutral__rep088	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	88	1902271649	10000000	5000000
eas_phlash_median__af10__neutral__rep089	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	89	965379030	10000000	5000000
eas_phlash_median__af10__neutral__rep090	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	90	1431429258	10000000	5000000
eas_phlash_median__af10__neutral__rep091	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	91	233264606	10000000	5000000
eas_phlash_median__af10__neutral__rep092	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	92	1702187615	10000000	5000000
eas_phlash_median__af10__neutral__rep093	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	93	1364818991	10000000	5000000
eas_phlash_median__af10__neutral__rep094	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	94	1968914738	10000000	5000000
eas_phlash_median__af10__neutral__rep095	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	95	1505510551	10000000	5000000
eas_phlash_median__af10__neutral__rep096	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	96	65756211	10000000	5000000
eas_phlash_median__af10__neutral__rep097	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	97	868419855	10000000	5000000
eas_phlash_median__af10__neutral__rep098	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	98	1557035482	10000000	5000000
eas_phlash_median__af10__neutral__rep099	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	99	1620214697	10000000	5000000
eas_phlash_median__af10__neutral__rep100	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	neutral	0.0	0.1	0.07500000000000001	0.125	20	100	100	1323158000	10000000	5000000
eas_phlash_median__af20__selected_s0p010__rep001	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.01	0.2	0.17500000000000002	0.225	40	100	1	361127019	10000000	5000000
eas_phlash_median__af20__selected_s0p010__rep002	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.01	0.2	0.17500000000000002	0.225	40	100	2	282291375	10000000	5000000
eas_phlash_median__af20__selected_s0p010__rep003	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.01	0.2	0.17500000000000002	0.225	40	100	3	1538766214	10000000	5000000
eas_phlash_median__af20__selected_s0p010__rep004	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.01	0.2	0.17500000000000002	0.225	40	100	4	942552809	10000000	5000000
eas_phlash_median__af20__selected_s0p010__rep005	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.01	0.2	0.17500000000000002	0.225	40	100	5	1354622081	10000000	5000000
eas_phlash_median__af20__selected_s0p010__rep006	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.01	0.2	0.17500000000000002	0.225	40	100	6	2082968838	10000000	5000000
eas_phlash_median__af20__selected_s0p010__rep007	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.01	0.2	0.17500000000000002	0.225	40	100	7	1948772217	10000000	5000000
eas_phlash_median__af20__selected_s0p010__rep008	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.01	0.2	0.17500000000000002	0.225	40	100	8	712331415	10000000	5000000
eas_phlash_median__af20__selected_s0p010__rep009	eas_phlash_median	no_introgression	EAS	PHLASH EAS pointwise median trajectory	de_novo	selected	0.01	0.2	0.17500000000000002	0.225	40	100	9	49689965	10000000	5000000
