key,onset_years,fold
onset50000/rep0045,50000,0
neutral/rep0046,0,4
onset50000/rep0046,50000,0
neutral/rep0047,0,3
onset50000/rep0047,50000,0
neutral/rep0048,0,3
onset50000/rep0048,50000,3
neutral/rep0049,0,2
onset50000/rep0049,50000,3
neutral/rep0050,0,4
onset50000/rep0050,50000,2
neutral/rep0051,0,4
onset50000/rep0051,50000,3
neutral/rep0052,0,2
onset50000/rep0052,50000,1
neutral/rep0053,0,2
onset50000/rep0053,50000,0
neutral/rep0054,0,1
onset50000/rep0054,50000,3
neutral/rep0055,0,4
onset50000/rep0055,50000,0
neutral/rep0056,0,1
onset50000/rep0056,50000,2
neutral/rep0057,0,1
onset50000/rep0057,50000,1
neutral/rep0058,0,0
onset50000/rep0058,50000,1
neutral/rep0059,0,0
onset50000/rep0059,50000,4
neutral/rep0060,0,3
onset50000/rep0060,50000,1
neutral/rep0061,0,1
onset50000/rep0061,50000,4
neutral/rep0062,0,2
onset50000/rep0062,50000,1
neutral/rep0063,0,3
onset50000/rep0063,50000,2
neutral/rep0064,0,4
onset50000/rep0064,50000,1
neutral/rep0065,0,0
onset50000/rep0065,50000,3
neutral/rep0066,0,2
onset50000/rep0066,50000,1
neutral/rep0067,0,2
onset50000/rep0067,50000,1
neutral/rep0068,0,1
onset50000/rep0068,50000,4
neutral/rep0069,0,3
onset50000/rep0069,50000,3
neutral/rep0070,0,3
onset50000/rep0070,50000,0
neutral/rep0071,0,1
onset50000/rep0071,50000,0
neutral/rep0072,0,4
onset50000/rep0072,50000,3
neutral/rep0073,0,4
onset50000/rep0073,50000,3
neutral/rep0074,0,1
onset50000/rep0074,50000,3
neutral/rep0075,0,3
onset50000/rep0075,50000,2
neutral/rep0076,0,0
onset50000/rep0076,50000,1
neutral/rep0077,0,4
onset50000/rep0077,50000,4
neutral/rep0078,0,3
onset50000/rep0078,50000,2
neutral/rep0079,0,1
onset50000/rep0079,50000,0
neutral/rep0080,0,4
onset50000/rep0080,50000,3
neutral/rep0081,0,2
onset50000/rep0081,50000,2
neutral/rep0082,0,1
onset50000/rep0082,50000,3
neutral/rep0083,0,0
onset50000/rep0083,50000,4
neutral/rep0084,0,1
onset50000/rep0084,50000,4
neutral/rep0085,0,3
onset50000/rep0085,50000,2
neutral/rep0086,0,3
onset50000/rep0086,50000,3
neutral/rep0087,0,0
onset50000/rep0087,50000,1
neutral/rep0088,0,0
onset50000/rep0088,50000,3
neutral/rep0089,0,0
onset50000/rep0089,50000,1
neutral/rep0090,0,2
onset50000/rep0090,50000,1
neutral/rep0091,0,1
onset50000/rep0091,50000,2
neutral/rep0092,0,3
onset50000/rep0092,50000,3
neutral/rep0093,0,0
onset50000/rep0093,50000,2
neutral/rep0094,0,3
onset50000/rep0094,50000,1
neutral/rep0095,0,0
onset50000/rep0095,50000,0
neutral/rep0096,0,3
onset50000/rep0096,50000,4
neutral/rep0097,0,3
onset50000/rep0097,50000,4
neutral/rep0098,0,1
onset50000/rep0098,50000,1
neutral/rep0099,0,4
onset50000/rep0099,50000,0
neutral/rep0100,0,1
neutral/rep0101,0,1
neutral/rep0102,0,1
neutral/rep0103,0,0
neutral/rep0104,0,4
neutral/rep0105,0,0
neutral/rep0106,0,1
neutral/rep0107,0,1
neutral/rep0108,0,3
neutral/rep0109,0,0
neutral/rep0110,0,4
neutral/rep0111,0,0
neutral/rep0112,0,3
neutral/rep0113,0,2
neutral/rep0114,0,4
neutral/rep0115,0,4
neutral/rep0116,0,1
neutral/rep0117,0,0
neutral/rep0118,0,0
neutral/rep0119,0,1
neutral/rep0120,0,1
neutral/rep0121,0,3
neutral/rep0122,0,1
neutral/rep0123,0,4
neutral/rep0124,0,0
neutral/rep0125,0,3
neutral/rep0126,0,0
neutral/rep0127,0,2
neutral/rep0128,0,3
neutral/rep0129,0,2
neutral/rep0130,0,2
neutral/rep0131,0,2
neutral/rep0132,0,2
neutral/rep0133,0,3
neutral/rep0134,0,4
neutral/rep0135,0,2
neutral/rep0136,0,3
neutral/rep0137,0,4
neutral/rep0138,0,2
neutral/rep0139,0,3
neutral/rep0140,0,4
neutral/rep0141,0,1
neutral/rep0142,0,1
neutral/rep0143,0,1
neutral/rep0144,0,4
neutral/rep0145,0,0
neutral/rep0146,0,1
neutral/rep0147,0,1
neutral/rep0148,0,0
neutral/rep0149,0,4
neutral/rep0150,0,4
neutral/rep0151,0,1
neutral/rep0152,0,1
neutral/rep0153,0,3
neutral/rep0154,0,0
neutral/rep0155,0,2
neutral/rep0156,0,4
neutral/rep0157,0,2
neutral/rep0158,0,1
neutral/rep0159,0,0
neutral/rep0160,0,0
neutral/rep0161,0,0
neutral/rep0162,0,1
neutral/rep0163,0,0
neutral/rep0164,0,3
neutral/rep0165,0,0
neutral/rep0166,0,2
neutral/rep0167,0,4
neutral/rep0168,0,3
neutral/rep0169,0,0
neutral/rep0170,0,4
neutral/rep0171,0,3
neutral/rep0172,0,3
neutral/rep0173,0,1
neutral/rep0174,0,3
neutral/rep0175,0,2
neutral/rep0176,0,3
neutral/rep0177,0,0
neutral/rep0178,0,1
neutral/rep0179,0,3
neutral/rep0180,0,3
neutral/rep0181,0,2
neutral/rep0182,0,0
neutral/rep0183,0,3
neutral/rep0184,0,0
neutral/rep0185,0,4
neutral/rep0186,0,1
neutral/rep0187,0,3
neutral/rep0188,0,4
neutral/rep0189,0,4
neutral/rep0190,0,1
neutral/rep0191,0,3
neutral/rep0192,0,3
neutral/rep0193,0,0
neutral/rep0194,0,2
neutral/rep0195,0,0
neutral/rep0196,0,2
neutral/rep0197,0,0
neutral/rep0198,0,2
neutral/rep0199,0,4
neutral/rep0200,0,3
neutral/rep0201,0,1
neutral/rep0202,0,2
neutral/rep0203,0,3
neutral/rep0204,0,3
neutral/rep0205,0,2
neutral/rep0206,0,2
neutral/rep0207,0,0
neutral/rep0208,0,2
neutral/rep0209,0,3
neutral/rep0210,0,2
neutral/rep0211,0,4
neutral/rep0212,0,3
neutral/rep0213,0,3
neutral/rep0214,0,4
neutral/rep0215,0,0
neutral/rep0216,0,0
neutral/rep0217,0,2
neutral/rep0218,0,3
neutral/rep0219,0,1
neutral/rep0220,0,0
neutral/rep0221,0,0
neutral/rep0222,0,2
neutral/rep0223,0,4
neutral/rep0224,0,3
neutral/rep0225,0,4
neutral/rep0226,0,2
neutral/rep0227,0,3
neutral/rep0228,0,3
neutral/rep0229,0,2
neutral/rep0230,0,0
neutral/rep0231,0,2
neutral/rep0232,0,0
neutral/rep0233,0,1
neutral/rep0234,0,2
neutral/rep0235,0,2
neutral/rep0236,0,2
neutral/rep0237,0,4
neutral/rep0238,0,0
neutral/rep0239,0,2
neutral/rep0240,0,2
neutral/rep0241,0,4
neutral/rep0242,0,1
neutral/rep0243,0,1
neutral/rep0244,0,1
neutral/rep0245,0,1
neutral/rep0246,0,1
neutral/rep0247,0,2
neutral/rep0248,0,2
neutral/rep0249,0,0
neutral/rep0250,0,0
neutral/rep0251,0,3
neutral/rep0252,0,1
neutral/rep0253,0,0
neutral/rep0254,0,2
neutral/rep0255,0,3
neutral/rep0256,0,4
neutral/rep0257,0,3
neutral/rep0258,0,3
neutral/rep0259,0,3
neutral/rep0260,0,1
neutral/rep0261,0,0
neutral/rep0262,0,3
neutral/rep0263,0,0
neutral/rep0264,0,0
neutral/rep0265,0,0
neutral/rep0266,0,1
neutral/rep0267,0,2
neutral/rep0268,0,1
neutral/rep0269,0,1
neutral/rep0270,0,1
neutral/rep0271,0,1
neutral/rep0272,0,1
neutral/rep0273,0,4
neutral/rep0274,0,4
neutral/rep0275,0,0
neutral/rep0276,0,0
neutral/rep0277,0,0
neutral/rep0278,0,2
neutral/rep0279,0,4
neutral/rep0280,0,2
neutral/rep0281,0,1
neutral/rep0282,0,2
neutral/rep0283,0,1
neutral/rep0284,0,0
neutral/rep0285,0,4
neutral/rep0286,0,3
neutral/rep0287,0,1
neutral/rep0288,0,2
neutral/rep0289,0,1
neutral/rep0290,0,1
neutral/rep0291,0,2
neutral/rep0292,0,2
neutral/rep0293,0,0
neutral/rep0294,0,4
neutral/rep0295,0,0
neutral/rep0296,0,2
neutral/rep0297,0,0
neutral/rep0298,0,1
neutral/rep0299,0,0
neutral/rep0300,0,2
neutral/rep0301,0,1
neutral/rep0302,0,2
neutral/rep0303,0,4
neutral/rep0304,0,3
neutral/rep0305,0,3
neutral/rep0306,0,0
neutral/rep0307,0,3
neutral/rep0308,0,3
neutral/rep0309,0,0
neutral/rep0310,0,0
neutral/rep0311,0,4
neutral/rep0312,0,3
neutral/rep0313,0,1
neutral/rep0314,0,1
neutral/rep0315,0,1
neutral/rep0316,0,0
neutral/rep0317,0,2
neutral/rep0318,0,0
neutral/rep0319,0,1
neutral/rep0320,0,2
neutral/rep0321,0,4
neutral/rep0322,0,1
neutral/rep0323,0,1
neutral/rep0324,0,0
neutral/rep0325,0,2
neutral/rep0326,0,1
neutral/rep0327,0,3
neutral/rep0328,0,0
neutral/rep0329,0,2
neutral/rep0330,0,1
neutral/rep0331,0,3
neutral/rep0332,0,1
neutral/rep0333,0,2
neutral/rep0334,0,3
neutral/rep0335,0,2
neutral/rep0336,0,2
neutral/rep0337,0,2
neutral/rep0338,0,4
neutral/rep0339,0,2
neutral/rep0340,0,0
neutral/rep0341,0,2
neutral/rep0342,0,2
neutral/rep0343,0,1
neutral/rep0344,0,0
neutral/rep0345,0,4
neutral/rep0346,0,2
neutral/rep0347,0,1
neutral/rep0348,0,2
neutral/rep0349,0,1
neutral/rep0350,0,3
neutral/rep0351,0,3
neutral/rep0352,0,2
neutral/rep0353,0,3
neutral/rep0354,0,2
neutral/rep0355,0,4
neutral/rep0356,0,4
neutral/rep0357,0,4
neutral/rep0358,0,4
neutral/rep0359,0,0
neutral/rep0360,0,3
neutral/rep0361,0,4
neutral/rep0362,0,2
neutral/rep0363,0,3
neutral/rep0364,0,0
neutral/rep0365,0,2
neutral/rep0366,0,3
neutral/rep0367,0,1
neutral/rep0368,0,2
neutral/rep0369,0,1
neutral/rep0370,0,2
neutral/rep0371,0,3
neutral/rep0372,0,4
neutral/rep0373,0,0
neutral/rep0374,0,2
neutral/rep0375,0,2
neutral/rep0376,0,1
neutral/rep0377,0,3
neutral/rep0378,0,3
neutral/rep0379,0,2
neutral/rep0380,0,0
neutral/rep0381,0,0
neutral/rep0382,0,2
neutral/rep0383,0,0
neutral/rep0384,0,2
neutral/rep0385,0,0
neutral/rep0386,0,0
neutral/rep0387,0,3
neutral/rep0388,0,1
neutral/rep0389,0,4
neutral/rep0390,0,4
neutral/rep0391,0,4
neutral/rep0392,0,2
neutral/rep0393,0,2
neutral/rep0394,0,2
neutral/rep0395,0,1
neutral/rep0396,0,2
neutral/rep0397,0,3
neutral/rep0398,0,0
neutral/rep0399,0,4
neutral/rep0400,0,1
neutral/rep0401,0,1
neutral/rep0402,0,2
neutral/rep0403,0,3
neutral/rep0404,0,0
neutral/rep0405,0,4
neutral/rep0406,0,0
neutral/rep0407,0,0
neutral/rep0408,0,4
neutral/rep0409,0,4
neutral/rep0410,0,0
neutral/rep0411,0,4
neutral/rep0412,0,2
neutral/rep0413,0,4
neutral/rep0414,0,4
neutral/rep0415,0,0
neutral/rep0416,0,3
neutral/rep0417,0,4
neutral/rep0418,0,4
neutral/rep0419,0,4
neutral/rep0420,0,4
neutral/rep0421,0,4
neutral/rep0422,0,3
neutral/rep0423,0,3
neutral/rep0424,0,0
neutral/rep0425,0,0
neutral/rep0426,0,1
neutral/rep0427,0,0
neutral/rep0428,0,4
neutral/rep0429,0,1
neutral/rep0430,0,2
neutral/rep0431,0,1
neutral/rep0432,0,4
neutral/rep0433,0,2
neutral/rep0434,0,0
neutral/rep0435,0,4
neutral/rep0436,0,2
neutral/rep0437,0,0
neutral/rep0438,0,4
neutral/rep0439,0,3
neutral/rep0440,0,4
neutral/rep0441,0,3
neutral/rep0442,0,1
neutral/rep0443,0,2
neutral/rep0444,0,4
neutral/rep0445,0,1
neutral/rep0446,0,2
neutral/rep0447,0,2
neutral/rep0448,0,1
neutral/rep0449,0,0
neutral/rep0450,0,3
neutral/rep0451,0,3
neutral/rep0452,0,4
neutral/rep0453,0,4
neutral/rep0454,0,2
neutral/rep0455,0,1
neutral/rep0456,0,3
neutral/rep0457,0,3
neutral/rep0458,0,1
neutral/rep0459,0,1
neutral/rep0460,0,3
neutral/rep0461,0,3
neutral/rep0462,0,1
neutral/rep0463,0,1
neutral/rep0464,0,1
neutral/rep0465,0,0
neutral/rep0466,0,1
neutral/rep0467,0,0
neutral/rep0468,0,1
neutral/rep0469,0,3
neutral/rep0470,0,1
neutral/rep0471,0,3
neutral/rep0472,0,0
neutral/rep0473,0,2
neutral/rep0474,0,4
neutral/rep0475,0,0
neutral/rep0476,0,2
neutral/rep0477,0,4
neutral/rep0478,0,0
neutral/rep0479,0,4
neutral/rep0480,0,4
neutral/rep0481,0,4
neutral/rep0482,0,4
neutral/rep0483,0,4
neutral/rep0484,0,2
neutral/rep0485,0,4
neutral/rep0486,0,1
neutral/rep0487,0,2
neutral/rep0488,0,4
neutral/rep0489,0,4
neutral/rep0490,0,4
neutral/rep0491,0,2
neutral/rep0492,0,1
neutral/rep0493,0,4
neutral/rep0494,0,4
neutral/rep0495,0,2
neutral/rep0496,0,3
neutral/rep0497,0,3
neutral/rep0498,0,0
neutral/rep0499,0,4
neutral/rep0500,0,3
neutral/rep0501,0,2
neutral/rep0502,0,3
neutral/rep0503,0,1
neutral/rep0504,0,0
neutral/rep0505,0,0
neutral/rep0506,0,0
neutral/rep0507,0,2
neutral/rep0508,0,1
neutral/rep0509,0,3
neutral/rep0510,0,0
neutral/rep0511,0,2
neutral/rep0512,0,0
neutral/rep0513,0,4
neutral/rep0514,0,3
neutral/rep0515,0,3
neutral/rep0516,0,2
neutral/rep0517,0,4
neutral/rep0518,0,2
neutral/rep0519,0,4
neutral/rep0520,0,4
neutral/rep0521,0,1
neutral/rep0522,0,4
neutral/rep0523,0,1
neutral/rep0524,0,3
neutral/rep0525,0,1
neutral/rep0526,0,3
neutral/rep0527,0,0
neutral/rep0528,0,0
neutral/rep0529,0,0
neutral/rep0530,0,1
neutral/rep0531,0,4
neutral/rep0532,0,3
neutral/rep0533,0,4
neutral/rep0534,0,3
neutral/rep0535,0,1
neutral/rep0536,0,4
neutral/rep0537,0,4
neutral/rep0538,0,0
neutral/rep0539,0,1
neutral/rep0540,0,2
neutral/rep0541,0,2
neutral/rep0542,0,3
neutral/rep0543,0,0
neutral/rep0544,0,2
neutral/rep0545,0,1
neutral/rep0546,0,4
neutral/rep0547,0,3
neutral/rep0548,0,2
neutral/rep0549,0,3
neutral/rep0550,0,3
neutral/rep0551,0,3
neutral/rep0552,0,4
neutral/rep0553,0,1
neutral/rep0554,0,2
neutral/rep0555,0,0
neutral/rep0556,0,3
neutral/rep0557,0,4
neutral/rep0558,0,4
neutral/rep0559,0,0
neutral/rep0560,0,2
neutral/rep0561,0,2
neutral/rep0562,0,4
neutral/rep0563,0,1
neutral/rep0564,0,2
neutral/rep0565,0,3
neutral/rep0566,0,1
neutral/rep0567,0,2
neutral/rep0568,0,4
neutral/rep0569,0,4
neutral/rep0570,0,3
neutral/rep0571,0,1
neutral/rep0572,0,1
neutral/rep0573,0,2
neutral/rep0574,0,0
neutral/rep0575,0,2
neutral/rep0576,0,2
neutral/rep0577,0,2
neutral/rep0578,0,4
neutral/rep0579,0,1
neutral/rep0580,0,1
neutral/rep0581,0,2
neutral/rep0582,0,0
neutral/rep0583,0,0
neutral/rep0584,0,4
neutral/rep0585,0,0
neutral/rep0586,0,2
neutral/rep0587,0,4
neutral/rep0588,0,1
neutral/rep0589,0,1
neutral/rep0590,0,1
neutral/rep0591,0,1
neutral/rep0592,0,3
neutral/rep0593,0,3
neutral/rep0594,0,4
neutral/rep0595,0,2
neutral/rep0596,0,0
neutral/rep0597,0,0
neutral/rep0598,0,0
neutral/rep0599,0,4
neutral/rep0600,0,2
neutral/rep0601,0,1
neutral/rep0602,0,2
neutral/rep0603,0,0
neutral/rep0604,0,1
neutral/rep0605,0,1
neutral/rep0606,0,0
neutral/rep0607,0,4
neutral/rep0608,0,4
neutral/rep0609,0,1
neutral/rep0610,0,4
neutral/rep0611,0,0
neutral/rep0612,0,0
neutral/rep0613,0,3
neutral/rep0614,0,3
neutral/rep0615,0,3
neutral/rep0616,0,2
neutral/rep0617,0,0
neutral/rep0618,0,3
neutral/rep0619,0,3
neutral/rep0620,0,4
neutral/rep0621,0,4
neutral/rep0622,0,4
neutral/rep0623,0,2
neutral/rep0624,0,3
neutral/rep0625,0,2
neutral/rep0626,0,1
neutral/rep0627,0,3
neutral/rep0628,0,3
neutral/rep0629,0,0
neutral/rep0630,0,0
neutral/rep0631,0,4
neutral/rep0632,0,1
neutral/rep0633,0,0
neutral/rep0634,0,4
neutral/rep0635,0,2
neutral/rep0636,0,1
neutral/rep0637,0,2
neutral/rep0638,0,3
neutral/rep0639,0,4
neutral/rep0640,0,4
neutral/rep0641,0,0
neutral/rep0642,0,1
neutral/rep0643,0,2
neutral/rep0644,0,4
neutral/rep0645,0,4
neutral/rep0646,0,1
neutral/rep0647,0,2
neutral/rep0648,0,2
neutral/rep0649,0,4
neutral/rep0650,0,3
neutral/rep0651,0,0
neutral/rep0652,0,4
neutral/rep0653,0,1
neutral/rep0654,0,1
neutral/rep0655,0,3
neutral/rep0656,0,2
neutral/rep0657,0,2
neutral/rep0658,0,1
neutral/rep0659,0,2
neutral/rep0660,0,1
neutral/rep0661,0,3
neutral/rep0662,0,4
neutral/rep0663,0,1
neutral/rep0664,0,1
neutral/rep0665,0,1
neutral/rep0666,0,3
neutral/rep0667,0,1
neutral/rep0668,0,2
neutral/rep0669,0,0
neutral/rep0670,0,4
neutral/rep0671,0,4
neutral/rep0672,0,1
neutral/rep0673,0,1
neutral/rep0674,0,2
neutral/rep0675,0,3
neutral/rep0676,0,2
neutral/rep0677,0,3
neutral/rep0678,0,4
neutral/rep0679,0,2
neutral/rep0680,0,4
neutral/rep0681,0,3
neutral/rep0682,0,0
neutral/rep0683,0,0
neutral/rep0684,0,2
neutral/rep0685,0,1
neutral/rep0686,0,1
neutral/rep0687,0,0
neutral/rep0688,0,4
neutral/rep0689,0,1
neutral/rep0690,0,2
neutral/rep0691,0,0
neutral/rep0692,0,2
neutral/rep0693,0,0
neutral/rep0694,0,2
neutral/rep0695,0,0
neutral/rep0696,0,3
neutral/rep0697,0,2
neutral/rep0698,0,2
neutral/rep0699,0,3
neutral/rep0700,0,3
neutral/rep0701,0,4
neutral/rep0702,0,0
neutral/rep0703,0,3
neutral/rep0704,0,1
neutral/rep0705,0,0
neutral/rep0706,0,0
neutral/rep0707,0,2
neutral/rep0708,0,2
neutral/rep0709,0,3
neutral/rep0710,0,1
neutral/rep0711,0,0
neutral/rep0712,0,2
neutral/rep0713,0,0
neutral/rep0714,0,4
neutral/rep0715,0,4
neutral/rep0716,0,3
neutral/rep0717,0,0
neutral/rep0718,0,2
neutral/rep0719,0,2
neutral/rep0720,0,4
neutral/rep0721,0,2
neutral/rep0722,0,0
neutral/rep0723,0,3
neutral/rep0724,0,3
neutral/rep0725,0,4
neutral/rep0726,0,3
neutral/rep0727,0,1
neutral/rep0728,0,1
neutral/rep0729,0,3
neutral/rep0730,0,0
neutral/rep0731,0,0
neutral/rep0732,0,1
neutral/rep0733,0,4
neutral/rep0734,0,1
neutral/rep0735,0,0
neutral/rep0736,0,3
neutral/rep0737,0,0
neutral/rep0738,0,4
neutral/rep0739,0,1
neutral/rep0740,0,0
neutral/rep0741,0,0
neutral/rep0742,0,4
neutral/rep0743,0,4
neutral/rep0744,0,2
neutral/rep0745,0,3
neutral/rep0746,0,2
neutral/rep0747,0,3
neutral/rep0748,0,2
neutral/rep0749,0,0
neutral/rep0750,0,2
neutral/rep0751,0,4
neutral/rep0752,0,4
neutral/rep0753,0,4
neutral/rep0754,0,3
neutral/rep0755,0,4
neutral/rep0756,0,0
neutral/rep0757,0,0
neutral/rep0758,0,0
neutral/rep0759,0,3
neutral/rep0760,0,2
neutral/rep0761,0,1
neutral/rep0762,0,3
neutral/rep0763,0,2
neutral/rep0764,0,0
neutral/rep0765,0,1
neutral/rep0766,0,0
neutral/rep0767,0,2
neutral/rep0768,0,2
neutral/rep0769,0,3
neutral/rep0770,0,0
neutral/rep0771,0,1
neutral/rep0772,0,2
neutral/rep0773,0,0
neutral/rep0774,0,1
neutral/rep0775,0,2
neutral/rep0776,0,2
neutral/rep0777,0,3
neutral/rep0778,0,0
neutral/rep0779,0,0
neutral/rep0780,0,0
neutral/rep0781,0,2
neutral/rep0782,0,0
neutral/rep0783,0,4
neutral/rep0784,0,2
neutral/rep0785,0,0
neutral/rep0786,0,2
neutral/rep0787,0,4
neutral/rep0788,0,1
neutral/rep0789,0,2
neutral/rep0790,0,4
neutral/rep0791,0,4
neutral/rep0792,0,2
neutral/rep0793,0,2
neutral/rep0794,0,0
neutral/rep0795,0,3
neutral/rep0796,0,2
neutral/rep0797,0,0
neutral/rep0798,0,2
neutral/rep0799,0,3
neutral/rep0800,0,1
neutral/rep0801,0,1
neutral/rep0802,0,3
neutral/rep0803,0,3
neutral/rep0804,0,1
neutral/rep0805,0,0
neutral/rep0806,0,1
neutral/rep0807,0,3
neutral/rep0808,0,2
neutral/rep0809,0,2
neutral/rep0810,0,1
neutral/rep0811,0,4
neutral/rep0812,0,1
neutral/rep0813,0,1
neutral/rep0814,0,1
neutral/rep0815,0,1
neutral/rep0816,0,4
neutral/rep0817,0,0
neutral/rep0818,0,2
neutral/rep0819,0,4
neutral/rep0820,0,1
neutral/rep0821,0,2
neutral/rep0822,0,2
neutral/rep0823,0,2
neutral/rep0824,0,0
neutral/rep0825,0,4
neutral/rep0826,0,0
neutral/rep0827,0,0
neutral/rep0828,0,2
neutral/rep0829,0,1
neutral/rep0830,0,3
neutral/rep0831,0,4
neutral/rep0832,0,1
neutral/rep0833,0,3
neutral/rep0834,0,1
neutral/rep0835,0,4
neutral/rep0836,0,3
neutral/rep0837,0,3
neutral/rep0838,0,2
neutral/rep0839,0,0
neutral/rep0840,0,2
neutral/rep0841,0,2
neutral/rep0842,0,1
neutral/rep0843,0,4
neutral/rep0844,0,4
neutral/rep0845,0,4
neutral/rep0846,0,0
neutral/rep0847,0,3
neutral/rep0848,0,1
neutral/rep0849,0,0
neutral/rep0850,0,0
neutral/rep0851,0,4
neutral/rep0852,0,1
neutral/rep0853,0,1
neutral/rep0854,0,0
neutral/rep0855,0,2
neutral/rep0856,0,1
neutral/rep0857,0,3
neutral/rep0858,0,2
neutral/rep0859,0,4
neutral/rep0860,0,3
neutral/rep0861,0,0
neutral/rep0862,0,3
neutral/rep0863,0,2
neutral/rep0864,0,3
neutral/rep0865,0,1
neutral/rep0866,0,1
neutral/rep0867,0,0
neutral/rep0868,0,2
neutral/rep0869,0,0
neutral/rep0870,0,3
neutral/rep0871,0,0
neutral/rep0872,0,0
neutral/rep0873,0,0
neutral/rep0874,0,2
neutral/rep0875,0,3
neutral/rep0876,0,1
neutral/rep0877,0,4
neutral/rep0878,0,4
neutral/rep0879,0,1
neutral/rep0880,0,0
neutral/rep0881,0,4
neutral/rep0882,0,1
neutral/rep0883,0,1
neutral/rep0884,0,0
neutral/rep0885,0,3
neutral/rep0886,0,3
neutral/rep0887,0,2
neutral/rep0888,0,4
neutral/rep0889,0,0
neutral/rep0890,0,3
neutral/rep0891,0,4
neutral/rep0892,0,2
neutral/rep0893,0,1
neutral/rep0894,0,0
neutral/rep0895,0,0
neutral/rep0896,0,3
neutral/rep0897,0,4
neutral/rep0898,0,0
neutral/rep0899,0,4
neutral/rep0900,0,3
neutral/rep0901,0,3
neutral/rep0902,0,2
neutral/rep0903,0,1
neutral/rep0904,0,1
neutral/rep0905,0,3
neutral/rep0906,0,4
neutral/rep0907,0,3
neutral/rep0908,0,0
neutral/rep0909,0,1
neutral/rep0910,0,0
neutral/rep0911,0,1
neutral/rep0912,0,3
neutral/rep0913,0,0
neutral/rep0914,0,4
neutral/rep0915,0,3
neutral/rep0916,0,3
neutral/rep0917,0,3
neutral/rep0918,0,0
neutral/rep0919,0,2
neutral/rep0920,0,1
neutral/rep0921,0,1
neutral/rep0922,0,4
neutral/rep0923,0,0
neutral/rep0924,0,3
neutral/rep0925,0,4
neutral/rep0926,0,0
neutral/rep0927,0,3
neutral/rep0928,0,3
neutral/rep0929,0,4
neutral/rep0930,0,2
neutral/rep0931,0,3
neutral/rep0932,0,3
neutral/rep0933,0,4
neutral/rep0934,0,0
neutral/rep0935,0,3
neutral/rep0936,0,1
neutral/rep0937,0,1
neutral/rep0938,0,0
neutral/rep0939,0,3
neutral/rep0940,0,4
neutral/rep0941,0,4
neutral/rep0942,0,2
neutral/rep0943,0,1
neutral/rep0944,0,2
neutral/rep0945,0,4
neutral/rep0946,0,3
neutral/rep0947,0,3
neutral/rep0948,0,4
neutral/rep0949,0,4
neutral/rep0950,0,1
neutral/rep0951,0,2
neutral/rep0952,0,4
neutral/rep0953,0,0
neutral/rep0954,0,1
neutral/rep0955,0,3
neutral/rep0956,0,0
neutral/rep0957,0,2
neutral/rep0958,0,1
neutral/rep0959,0,2
