unit_id	replicate_index	seed	panel_seed	scenario	selection_coefficient	mutation_origin_population	mutation_age_generations	pulse_generations	present_conditioning	pool_frequency_conditioning	terminal_af_target_or_band_conditioning	sample_detection_conditioning	pool_diploids	sample_diploids	status	error	decode_completion_sha256
ancient_eurasia_single_origin_survival__neutral__rep027	27	1656936820	2125895394	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		4c05a1c38952e8bb5c67211fee4237a624bbb7f5b2636cd39597f1ceba172765
ancient_eurasia_single_origin_survival__neutral__rep028	28	549093476	1106557282	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		f62b4b2d9cc0ed1c541df20703f272b7f27afc1b70afe12ac81428f333495ad2
ancient_eurasia_single_origin_survival__neutral__rep029	29	2044716059	1655245711	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		bf06d2cc94a185114e4b6b82d9d50fd248d416f901a799b096cc58faa98db2fa
ancient_eurasia_single_origin_survival__neutral__rep030	30	730697044	312707659	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		633fefad3d724540e3bbee7031a27085fb713c142144e7a55d2c8e9492286c22
ancient_eurasia_single_origin_survival__neutral__rep031	31	495542849	548802412	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		14727b115f4ede0b96f4c95440356521df330b7def8d75c061ac5e2cfe1fce99
ancient_eurasia_single_origin_survival__neutral__rep032	32	517916636	641274703	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		5dfcb74a51d2130eaca30fd186bce69a7af27d5f0a3d4c301405c9d284dbc2d2
ancient_eurasia_single_origin_survival__neutral__rep033	33	1427712986	442884598	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		53180cd91de63dbbf5a6ad18b4ad570a5b995197660139119f0f5f0943c03ef8
ancient_eurasia_single_origin_survival__neutral__rep034	34	1049219391	176351576	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		87b3a96b23853f7c051ad7976b8d73dc016eee4c7ea7550ea148a9a6ef73e87d
ancient_eurasia_single_origin_survival__neutral__rep035	35	2099704798	486875277	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		846a86eb05244049395fa35fd3da6a734c552949a28d3d71717912f231c2ec65
ancient_eurasia_single_origin_survival__neutral__rep036	36	460176608	1967764241	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		d60e057bf5c15f6a99c5c2b97259ae618e3915098c544ce72c1e045f4d2fb872
ancient_eurasia_single_origin_survival__neutral__rep037	37	672190515	1135977337	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		df222e5dbbc91ba821e609756daec191c87ffdba15a54652abcfd3a6c67e320e
ancient_eurasia_single_origin_survival__neutral__rep038	38	1774338894	227817617	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		c4111c22b17d3a3affd25ba25987adef0edc7f8846c912a62def9619c1574677
ancient_eurasia_single_origin_survival__neutral__rep039	39	695067291	1380915025	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		950bac07a9288d6fc30acff58c95a0f949c9e4eb01316b382e661ee52549079b
ancient_eurasia_single_origin_survival__neutral__rep040	40	672941006	754553756	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		2f289b53f820a77ef411581f6cf677262fd0eb3086a82a1ed995f577a2cc6f71
ancient_eurasia_single_origin_survival__neutral__rep041	41	2147204022	602625054	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		76b4d0af68688f94f52a393960894a939c70e8e55c5964d285df16d9bc338280
ancient_eurasia_single_origin_survival__neutral__rep042	42	925206425	1208984835	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		351d25f6100d34f15f7ce1d3d63a5140374ce9e9f925608828ed666c7ec01f30
ancient_eurasia_single_origin_survival__neutral__rep043	43	1594278831	242164990	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		f4e47a97688e77e8367eba0752af44a09ae5e423fe44a56ed3f79997b990e23c
ancient_eurasia_single_origin_survival__neutral__rep044	44	1955493411	1764056691	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		c8930d359862c690eba700e8f3ff262eee8a48a616560bd3016d4e1897ae62bd
ancient_eurasia_single_origin_survival__neutral__rep045	45	1976915805	358269432	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		a77726993ded1a304a84e127101e18ec76849be9bb8d7c99c170b4934c495f42
ancient_eurasia_single_origin_survival__neutral__rep046	46	162675911	1823054302	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		3752c2a9a96c015d52efb2803cf225a8ab54088acfe2b25792c968ca362f389c
ancient_eurasia_single_origin_survival__neutral__rep047	47	1657096784	576176400	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		6924273a392a8cbbcd6be34aae90a488f259ef19a135f8cef09f9750cd1ae1ad
ancient_eurasia_single_origin_survival__neutral__rep048	48	1760761932	308279415	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		0c9ffd69373b6b24ee6d1c6f6d064287de4e652976fcb897549402e3da920dfe
ancient_eurasia_single_origin_survival__neutral__rep049	49	1440330354	953523097	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		8049312d6eaec7ae72ab6f9c8d3af761740ee4fa676ee562b67230c9bb2a27cf
ancient_eurasia_single_origin_survival__neutral__rep050	50	1566279775	1640692591	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		38d9579d95a91d62a2b5b648a0cec0f141d745dcc4b9dfa8858380c5f04fb98c
ancient_eurasia_single_origin_survival__neutral__rep051	51	1244100212	1156590325	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		6599c39c87cb00bd8eaf769bf5d595f8b12f2ebddb6e0afa0b4003465b695e8f
ancient_eurasia_single_origin_survival__neutral__rep052	52	1638743623	1777968373	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		c97649a7ab1c07ca32f578f876f08920f7fe07b1053e74556e327b8758bfdcaf
ancient_eurasia_single_origin_survival__neutral__rep053	53	318247857	2133931227	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		08711a0647ed7633a6a5f375cf1cdabb6e1f05c2ba995f117b3f8eb990f3c824
ancient_eurasia_single_origin_survival__neutral__rep054	54	891666166	654183854	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		1710e902a7c1859d7e1ca0a40b69bc25a4c4902af9aeba28a758458b48bd83fd
ancient_eurasia_single_origin_survival__neutral__rep055	55	2108431360	1975700568	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		30c66adc1d9f4817a019c138c776b04e8558449226cefc05794f34d21d607e02
ancient_eurasia_single_origin_survival__neutral__rep056	56	624286484	212249686	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		58ca0769913680c31f2da4bd4bffbe27c06b7687fb879bd8a05b6815c9d90524
ancient_eurasia_single_origin_survival__neutral__rep057	57	46736894	1056853151	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		db850fe22f3ad58cfee3f3c58bd684c3ece1b2d33f1ff3f4115736669993f18c
ancient_eurasia_single_origin_survival__neutral__rep058	58	786120954	993772398	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		8c9ebf9430d3a65c834a8e1526c71b92756efe29badc62f032473af6d1311dea
ancient_eurasia_single_origin_survival__neutral__rep059	59	2032088043	679813035	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		4b02c94f170c3b51e0a29e684a6e31d4af7d996271417a79cd8b3c155d679332
ancient_eurasia_single_origin_survival__neutral__rep060	60	514990804	1545817843	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		ca5b01a9f74b6932637421ecbdc4a4aa114d4573408b2b31d0c4cbc1977bbbcb
ancient_eurasia_single_origin_survival__neutral__rep061	61	254063284	341260860	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		af093a49112dbf106b8f6f15b48184d96a5758b65fec23f48b9d299f0ee250ce
ancient_eurasia_single_origin_survival__neutral__rep062	62	1625311896	747106048	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		54b5b3d84483d88ed2c78ebfb808d9ca072987e4c29107e7f580015157ccf17d
ancient_eurasia_single_origin_survival__neutral__rep063	63	1759015040	1533312664	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		bb4dcae8f0c2ee7fa8a94988b6398bc60f3b8b503e6fdc496ec90c5b078c4202
ancient_eurasia_single_origin_survival__neutral__rep064	64	1479530790	2006376498	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		9c0368b737469114de5bf0a9a713a392b7f9f5ac0e7433e39fa0f18ee9522670
ancient_eurasia_single_origin_survival__neutral__rep065	65	446067728	1564995010	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		875b950bd8412fef4d6069b2c93a5451b3208f5958b4fb57014d9bee05791c4e
ancient_eurasia_single_origin_survival__neutral__rep066	66	1659059065	1574052275	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		4a4383b21b499c802cab3180118255bb571d1ee842070dd92623b507b72171d3
ancient_eurasia_single_origin_survival__neutral__rep067	67	1877290780	819534301	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		63938dbd1392796ca459e24218f916b1adbb9aa33c01f32f8743bf3bc7e58ff1
ancient_eurasia_single_origin_survival__neutral__rep068	68	486316503	949302504	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		728be838df52d27a8db86fd65a4637b314eceb6887f6013761a80939d760c25a
ancient_eurasia_single_origin_survival__neutral__rep069	69	1392232496	1990848770	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		5cea57290e0a7fd7652aa61a0b2fc1c3ea90a797bca5b7c6bb07018ff231e485
ancient_eurasia_single_origin_survival__neutral__rep070	70	1180453811	1485314143	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		50e0b12a75ea872f922f6143c1c96ccc3b0e72d49f5f1b828bb529179c257684
ancient_eurasia_single_origin_survival__neutral__rep071	71	571709875	448409766	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		5036b460e53aa8b7c2b8164286250b85595bad468d84ca2e39bfff65f82961ee
ancient_eurasia_single_origin_survival__neutral__rep072	72	1760871635	1949715803	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		13916ddf021916aa16aa87ee2ee9c94ad48374dc6f22c7f67d2521e3e23bbc6a
ancient_eurasia_single_origin_survival__neutral__rep073	73	470214725	2144397004	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		ceb3bf037fce02008737e88bba0ca5ef2735718f54de1b01e21ab00e518bf174
ancient_eurasia_single_origin_survival__neutral__rep074	74	1950454483	803905540	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		e35405c15c6205fcea6d329888f29160b98e19886892f00b512250ff91e43b6f
ancient_eurasia_single_origin_survival__neutral__rep075	75	727502083	469419767	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		1d7bfb18c5784d48efe41f0c85e5a6811099660d1e1e694fc29ad6905b455122
ancient_eurasia_single_origin_survival__neutral__rep076	76	1283451501	1240591306	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		eb3d634191c49e7ddccbe7fed0269d54cbb99adcaf537db2454b6b5c9822f578
ancient_eurasia_single_origin_survival__neutral__rep077	77	372514222	1127036725	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		91c6f4b8727ed6d4ba210a450bb00d4718d87ec5650d6b61ff1e5d0f4a0224ef
ancient_eurasia_single_origin_survival__neutral__rep078	78	1733577406	33587253	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		967e1a01d758c5cee8b31888237c5fd5491d5d93807792dd19e805d2609fa80c
ancient_eurasia_single_origin_survival__neutral__rep079	79	734654155	2102833315	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		c11be6102df459d19556535618311eb02090526652088519461596c77b010145
ancient_eurasia_single_origin_survival__neutral__rep080	80	1726776063	1153369407	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		dfb523a0a15b3da340d2f551b7dccf4d6e2bdf6d344e42a49c11e79c7cec8865
ancient_eurasia_single_origin_survival__neutral__rep081	81	1029570884	1680631744	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		79a4180592977fa5081074a7d23f26da25eb0e782e42111153ab9ab714ac741c
ancient_eurasia_single_origin_survival__neutral__rep082	82	1859370664	1876854621	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		39264756927691ad6c4e6c55bdace67a106504ecb5032afb11516a3089229d7a
ancient_eurasia_single_origin_survival__neutral__rep083	83	1282163933	551795313	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		62f03b38d80e1c143c7bde2152a2fe9f7d7475150ae1690081d9fab56a0e859d
ancient_eurasia_single_origin_survival__neutral__rep084	84	1496357208	714277535	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		8abd3a4c1500a1e3b06be1b63917286ebe204ef2d11ab18ad9ab517e5468c794
ancient_eurasia_single_origin_survival__neutral__rep085	85	414303124	304545303	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		23d4eb1f02b8effa69ace58d2e5e91863a0d847b7d696513eb78b2ebc6de3112
ancient_eurasia_single_origin_survival__neutral__rep086	86	1909912857	45959952	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		504588dd65fb0422ed237e143e5a369e376b1c58e890681f52473ea0ccb73903
ancient_eurasia_single_origin_survival__neutral__rep087	87	1421637392	1220717527	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		81acea34cbfd50735f76cafafd7aadd87073ea5e5a6cc11388dd098ce9acc16c
ancient_eurasia_single_origin_survival__neutral__rep088	88	1843748505	439560946	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		e21dcd214db52f19a4587f2c88cc1fc510634abc2a7dfc476a703e95c84d2c96
ancient_eurasia_single_origin_survival__neutral__rep089	89	1889132124	516106850	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		d77dd9ede83d115c3f3488c59e1eadfd41529fa4eb067f539232b0ba2419d5ca
ancient_eurasia_single_origin_survival__neutral__rep090	90	816281045	269890775	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		f00a198627edb75379af4f7aa49ae7e345cedb92ac51b9e1ecc04ebbd5f9f004
ancient_eurasia_single_origin_survival__neutral__rep091	91	439010525	642646662	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		5c514c0faf7a2552c9d5fa34f9a769cba8480ff0e4093c8b7444045095c26cf5
ancient_eurasia_single_origin_survival__neutral__rep092	92	1271384818	725557606	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		3a7e773ae0a360af41a67bd434ed217502abdcce45f8ee6f6b86c76f0b171afb
ancient_eurasia_single_origin_survival__neutral__rep093	93	1340486459	2072722062	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		1efe8b906481d9ccaecb95ed3d0a7dd52cc642eba07c5e9b738392b060e0306b
ancient_eurasia_single_origin_survival__neutral__rep094	94	923574852	974744649	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		5818d5fa12b3644642cda000a03b6e2ff66a48731a654b808c24f6ef49003150
ancient_eurasia_single_origin_survival__neutral__rep095	95	2060780808	1283032276	ancient_eurasia_single_origin_survival_neutral	0	Neanderthal	2400	2272	strict_segregating_in_present_han_census	False	False	False	500	100	complete		5c80c45bfa73315d0b29639a942983c4c0ccfcc0180f22474a3202cdfb495311
