source,cutoff_years,alpha,stride_bp,max_gap_strides,min_significant_strides,selected_n,selected_called,selected_fraction,neutral_n,neutral_called,neutral_fraction,nonfixed_n,nonfixed_fraction
decoded,5000,0.001,50000,1,3,100,6,0.06,1000,25,0.025,99,0.06060606060606061
decoded,5000,0.001,50000,1,5,100,2,0.02,1000,8,0.008,99,0.020202020202020204
decoded,5000,0.001,50000,1,10,100,1,0.01,1000,0,0.0,99,0.010101010101010102
decoded,5000,0.001,50000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,5000,0.01,10000,0,1,100,71,0.71,1000,552,0.552,99,0.7171717171717171
decoded,5000,0.01,10000,0,3,100,52,0.52,1000,451,0.451,99,0.5252525252525253
decoded,5000,0.01,10000,0,5,100,47,0.47,1000,389,0.389,99,0.47474747474747475
decoded,5000,0.01,10000,0,10,100,33,0.33,1000,262,0.262,99,0.3333333333333333
decoded,5000,0.01,10000,0,20,100,16,0.16,1000,100,0.1,99,0.16161616161616163
decoded,5000,0.01,10000,1,1,100,71,0.71,1000,552,0.552,99,0.7171717171717171
decoded,5000,0.01,10000,1,3,100,55,0.55,1000,462,0.462,99,0.5555555555555556
decoded,5000,0.01,10000,1,5,100,51,0.51,1000,408,0.408,99,0.5151515151515151
decoded,5000,0.01,10000,1,10,100,33,0.33,1000,277,0.277,99,0.3333333333333333
decoded,5000,0.01,10000,1,20,100,16,0.16,1000,116,0.116,99,0.16161616161616163
decoded,5000,0.01,20000,0,1,100,68,0.68,1000,529,0.529,99,0.6868686868686869
decoded,5000,0.01,20000,0,3,100,48,0.48,1000,384,0.384,99,0.48484848484848486
decoded,5000,0.01,20000,0,5,100,36,0.36,1000,289,0.289,99,0.36363636363636365
decoded,5000,0.01,20000,0,10,100,18,0.18,1000,121,0.121,99,0.18181818181818182
decoded,5000,0.01,20000,0,20,100,2,0.02,1000,4,0.004,99,0.020202020202020204
decoded,5000,0.01,20000,1,1,100,68,0.68,1000,529,0.529,99,0.6868686868686869
decoded,5000,0.01,20000,1,3,100,49,0.49,1000,395,0.395,99,0.494949494949495
decoded,5000,0.01,20000,1,5,100,37,0.37,1000,306,0.306,99,0.37373737373737376
decoded,5000,0.01,20000,1,10,100,20,0.2,1000,133,0.133,99,0.20202020202020202
decoded,5000,0.01,20000,1,20,100,2,0.02,1000,5,0.005,99,0.020202020202020204
decoded,5000,0.01,50000,0,1,100,62,0.62,1000,477,0.477,99,0.6262626262626263
decoded,5000,0.01,50000,0,3,100,30,0.3,1000,238,0.238,99,0.30303030303030304
decoded,5000,0.01,50000,0,5,100,16,0.16,1000,89,0.089,99,0.16161616161616163
decoded,5000,0.01,50000,0,10,100,2,0.02,1000,0,0.0,99,0.020202020202020204
decoded,5000,0.01,50000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,5000,0.01,50000,1,1,100,62,0.62,1000,477,0.477,99,0.6262626262626263
decoded,5000,0.01,50000,1,3,100,33,0.33,1000,255,0.255,99,0.3333333333333333
decoded,5000,0.01,50000,1,5,100,17,0.17,1000,97,0.097,99,0.1717171717171717
decoded,5000,0.01,50000,1,10,100,2,0.02,1000,1,0.001,99,0.020202020202020204
decoded,5000,0.01,50000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,5000,0.05,10000,0,1,100,96,0.96,1000,964,0.964,99,0.9595959595959596
decoded,5000,0.05,10000,0,3,100,95,0.95,1000,924,0.924,99,0.9494949494949495
decoded,5000,0.05,10000,0,5,100,94,0.94,1000,888,0.888,99,0.9393939393939394
decoded,5000,0.05,10000,0,10,100,83,0.83,1000,758,0.758,99,0.8383838383838383
decoded,5000,0.05,10000,0,20,100,54,0.54,1000,492,0.492,99,0.5454545454545454
decoded,5000,0.05,10000,1,1,100,96,0.96,1000,964,0.964,99,0.9595959595959596
decoded,5000,0.05,10000,1,3,100,96,0.96,1000,928,0.928,99,0.9595959595959596
decoded,5000,0.05,10000,1,5,100,95,0.95,1000,894,0.894,99,0.9494949494949495
decoded,5000,0.05,10000,1,10,100,86,0.86,1000,782,0.782,99,0.8585858585858586
decoded,5000,0.05,10000,1,20,100,55,0.55,1000,514,0.514,99,0.5555555555555556
decoded,5000,0.05,20000,0,1,100,96,0.96,1000,957,0.957,99,0.9595959595959596
decoded,5000,0.05,20000,0,3,100,95,0.95,1000,880,0.88,99,0.9494949494949495
decoded,5000,0.05,20000,0,5,100,86,0.86,1000,786,0.786,99,0.8585858585858586
decoded,5000,0.05,20000,0,10,100,55,0.55,1000,524,0.524,99,0.5555555555555556
decoded,5000,0.05,20000,0,20,100,14,0.14,1000,98,0.098,99,0.1414141414141414
decoded,5000,0.05,20000,1,1,100,96,0.96,1000,957,0.957,99,0.9595959595959596
decoded,5000,0.05,20000,1,3,100,95,0.95,1000,887,0.887,99,0.9494949494949495
decoded,5000,0.05,20000,1,5,100,87,0.87,1000,808,0.808,99,0.8686868686868687
decoded,5000,0.05,20000,1,10,100,58,0.58,1000,548,0.548,99,0.5858585858585859
decoded,5000,0.05,20000,1,20,100,18,0.18,1000,109,0.109,99,0.18181818181818182
decoded,5000,0.05,50000,0,1,100,95,0.95,1000,934,0.934,99,0.9494949494949495
decoded,5000,0.05,50000,0,3,100,78,0.78,1000,723,0.723,99,0.7878787878787878
decoded,5000,0.05,50000,0,5,100,50,0.5,1000,432,0.432,99,0.5050505050505051
decoded,5000,0.05,50000,0,10,100,10,0.1,1000,56,0.056,99,0.10101010101010101
decoded,5000,0.05,50000,0,20,100,0,0.0,1000,1,0.001,99,0.0
decoded,5000,0.05,50000,1,1,100,95,0.95,1000,934,0.934,99,0.9494949494949495
decoded,5000,0.05,50000,1,3,100,81,0.81,1000,743,0.743,99,0.8181818181818182
decoded,5000,0.05,50000,1,5,100,50,0.5,1000,454,0.454,99,0.5050505050505051
decoded,5000,0.05,50000,1,10,100,14,0.14,1000,72,0.072,99,0.1414141414141414
decoded,5000,0.05,50000,1,20,100,0,0.0,1000,3,0.003,99,0.0
decoded,10000,0.001,10000,0,1,100,33,0.33,1000,163,0.163,99,0.3333333333333333
decoded,10000,0.001,10000,0,3,100,27,0.27,1000,115,0.115,99,0.2727272727272727
decoded,10000,0.001,10000,0,5,100,22,0.22,1000,79,0.079,99,0.2222222222222222
decoded,10000,0.001,10000,0,10,100,7,0.07,1000,26,0.026,99,0.0707070707070707
decoded,10000,0.001,10000,0,20,100,2,0.02,1000,0,0.0,99,0.020202020202020204
decoded,10000,0.001,10000,1,1,100,33,0.33,1000,163,0.163,99,0.3333333333333333
decoded,10000,0.001,10000,1,3,100,27,0.27,1000,116,0.116,99,0.2727272727272727
decoded,10000,0.001,10000,1,5,100,22,0.22,1000,84,0.084,99,0.2222222222222222
decoded,10000,0.001,10000,1,10,100,7,0.07,1000,28,0.028,99,0.0707070707070707
decoded,10000,0.001,10000,1,20,100,2,0.02,1000,0,0.0,99,0.020202020202020204
decoded,10000,0.001,20000,0,1,100,31,0.31,1000,150,0.15,99,0.31313131313131315
decoded,10000,0.001,20000,0,3,100,19,0.19,1000,76,0.076,99,0.1919191919191919
decoded,10000,0.001,20000,0,5,100,9,0.09,1000,31,0.031,99,0.09090909090909091
decoded,10000,0.001,20000,0,10,100,2,0.02,1000,0,0.0,99,0.020202020202020204
decoded,10000,0.001,20000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,10000,0.001,20000,1,1,100,31,0.31,1000,150,0.15,99,0.31313131313131315
decoded,10000,0.001,20000,1,3,100,19,0.19,1000,81,0.081,99,0.1919191919191919
decoded,10000,0.001,20000,1,5,100,10,0.1,1000,35,0.035,99,0.10101010101010101
decoded,10000,0.001,20000,1,10,100,2,0.02,1000,0,0.0,99,0.020202020202020204
decoded,10000,0.001,20000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,10000,0.001,50000,0,1,100,27,0.27,1000,120,0.12,99,0.2727272727272727
decoded,10000,0.001,50000,0,3,100,7,0.07,1000,13,0.013,99,0.0707070707070707
decoded,10000,0.001,50000,0,5,100,1,0.01,1000,0,0.0,99,0.010101010101010102
decoded,10000,0.001,50000,0,10,100,0,0.0,1000,0,0.0,99,0.0
decoded,10000,0.001,50000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,10000,0.001,50000,1,1,100,27,0.27,1000,120,0.12,99,0.2727272727272727
decoded,10000,0.001,50000,1,3,100,8,0.08,1000,15,0.015,99,0.08080808080808081
decoded,10000,0.001,50000,1,5,100,1,0.01,1000,0,0.0,99,0.010101010101010102
decoded,10000,0.001,50000,1,10,100,0,0.0,1000,0,0.0,99,0.0
decoded,10000,0.001,50000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,10000,0.01,10000,0,1,100,84,0.84,1000,664,0.664,99,0.8484848484848485
decoded,10000,0.01,10000,0,3,100,76,0.76,1000,589,0.589,99,0.7676767676767676
decoded,10000,0.01,10000,0,5,100,74,0.74,1000,508,0.508,99,0.7474747474747475
decoded,10000,0.01,10000,0,10,100,58,0.58,1000,327,0.327,99,0.5858585858585859
decoded,10000,0.01,10000,0,20,100,17,0.17,1000,52,0.052,99,0.1717171717171717
decoded,10000,0.01,10000,1,1,100,84,0.84,1000,664,0.664,99,0.8484848484848485
decoded,10000,0.01,10000,1,3,100,76,0.76,1000,594,0.594,99,0.7676767676767676
decoded,10000,0.01,10000,1,5,100,74,0.74,1000,522,0.522,99,0.7474747474747475
decoded,10000,0.01,10000,1,10,100,61,0.61,1000,332,0.332,99,0.6161616161616161
decoded,10000,0.01,10000,1,20,100,21,0.21,1000,56,0.056,99,0.21212121212121213
decoded,10000,0.01,20000,0,1,100,82,0.82,1000,649,0.649,99,0.8282828282828283
decoded,10000,0.01,20000,0,3,100,71,0.71,1000,496,0.496,99,0.7171717171717171
decoded,10000,0.01,20000,0,5,100,62,0.62,1000,349,0.349,99,0.6262626262626263
decoded,10000,0.01,20000,0,10,100,19,0.19,1000,61,0.061,99,0.1919191919191919
decoded,10000,0.01,20000,0,20,100,3,0.03,1000,1,0.001,99,0.030303030303030304
decoded,10000,0.01,20000,1,1,100,82,0.82,1000,649,0.649,99,0.8282828282828283
decoded,10000,0.01,20000,1,3,100,72,0.72,1000,510,0.51,99,0.7272727272727273
decoded,10000,0.01,20000,1,5,100,62,0.62,1000,356,0.356,99,0.6262626262626263
decoded,10000,0.01,20000,1,10,100,21,0.21,1000,66,0.066,99,0.21212121212121213
decoded,10000,0.01,20000,1,20,100,3,0.03,1000,1,0.001,99,0.030303030303030304
decoded,10000,0.01,50000,0,1,100,80,0.8,1000,597,0.597,99,0.8080808080808081
decoded,10000,0.01,50000,0,3,100,43,0.43,1000,218,0.218,99,0.43434343434343436
decoded,10000,0.01,50000,0,5,100,18,0.18,1000,28,0.028,99,0.18181818181818182
decoded,10000,0.01,50000,0,10,100,2,0.02,1000,1,0.001,99,0.020202020202020204
decoded,10000,0.01,50000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,10000,0.01,50000,1,1,100,80,0.8,1000,597,0.597,99,0.8080808080808081
decoded,10000,0.01,50000,1,3,100,43,0.43,1000,227,0.227,99,0.43434343434343436
decoded,10000,0.01,50000,1,5,100,20,0.2,1000,33,0.033,99,0.20202020202020202
decoded,10000,0.01,50000,1,10,100,3,0.03,1000,2,0.002,99,0.030303030303030304
decoded,10000,0.01,50000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,10000,0.05,10000,0,1,100,100,1.0,1000,994,0.994,99,1.0
decoded,10000,0.05,10000,0,3,100,99,0.99,1000,981,0.981,99,0.98989898989899
decoded,10000,0.05,10000,0,5,100,98,0.98,1000,964,0.964,99,0.9797979797979798
decoded,10000,0.05,10000,0,10,100,94,0.94,1000,857,0.857,99,0.9393939393939394
decoded,10000,0.05,10000,0,20,100,47,0.47,1000,347,0.347,99,0.47474747474747475
decoded,10000,0.05,10000,1,1,100,100,1.0,1000,994,0.994,99,1.0
decoded,10000,0.05,10000,1,3,100,100,1.0,1000,984,0.984,99,1.0
decoded,10000,0.05,10000,1,5,100,98,0.98,1000,964,0.964,99,0.9797979797979798
decoded,10000,0.05,10000,1,10,100,94,0.94,1000,868,0.868,99,0.9393939393939394
decoded,10000,0.05,10000,1,20,100,50,0.5,1000,374,0.374,99,0.5050505050505051
decoded,10000,0.05,20000,0,1,100,100,1.0,1000,992,0.992,99,1.0
decoded,10000,0.05,20000,0,3,100,98,0.98,1000,960,0.96,99,0.9797979797979798
decoded,10000,0.05,20000,0,5,100,95,0.95,1000,876,0.876,99,0.9494949494949495
decoded,10000,0.05,20000,0,10,100,48,0.48,1000,384,0.384,99,0.48484848484848486
decoded,10000,0.05,20000,0,20,100,12,0.12,1000,26,0.026,99,0.12121212121212122
decoded,10000,0.05,20000,1,1,100,100,1.0,1000,992,0.992,99,1.0
decoded,10000,0.05,20000,1,3,100,99,0.99,1000,962,0.962,99,0.98989898989899
decoded,10000,0.05,20000,1,5,100,95,0.95,1000,887,0.887,99,0.9494949494949495
decoded,10000,0.05,20000,1,10,100,55,0.55,1000,422,0.422,99,0.5555555555555556
decoded,10000,0.05,20000,1,20,100,13,0.13,1000,39,0.039,99,0.13131313131313133
decoded,10000,0.05,50000,0,1,100,100,1.0,1000,986,0.986,99,1.0
decoded,10000,0.05,50000,0,3,100,88,0.88,1000,758,0.758,99,0.8787878787878788
decoded,10000,0.05,50000,0,5,100,46,0.46,1000,293,0.293,99,0.46464646464646464
decoded,10000,0.05,50000,0,10,100,6,0.06,1000,14,0.014,99,0.06060606060606061
decoded,10000,0.05,50000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,10000,0.05,50000,1,1,100,100,1.0,1000,986,0.986,99,1.0
decoded,10000,0.05,50000,1,3,100,88,0.88,1000,774,0.774,99,0.8787878787878788
decoded,10000,0.05,50000,1,5,100,51,0.51,1000,339,0.339,99,0.5151515151515151
decoded,10000,0.05,50000,1,10,100,9,0.09,1000,26,0.026,99,0.09090909090909091
decoded,10000,0.05,50000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,20000,0.001,10000,0,1,100,35,0.35,1000,243,0.243,99,0.35353535353535354
decoded,20000,0.001,10000,0,3,100,20,0.2,1000,130,0.13,99,0.20202020202020202
decoded,20000,0.001,10000,0,5,100,16,0.16,1000,72,0.072,99,0.16161616161616163
decoded,20000,0.001,10000,0,10,100,2,0.02,1000,9,0.009,99,0.020202020202020204
decoded,20000,0.001,10000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,20000,0.001,10000,1,1,100,35,0.35,1000,243,0.243,99,0.35353535353535354
decoded,20000,0.001,10000,1,3,100,20,0.2,1000,133,0.133,99,0.20202020202020202
decoded,20000,0.001,10000,1,5,100,16,0.16,1000,72,0.072,99,0.16161616161616163
decoded,20000,0.001,10000,1,10,100,2,0.02,1000,10,0.01,99,0.020202020202020204
decoded,20000,0.001,10000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,20000,0.001,20000,0,1,100,30,0.3,1000,211,0.211,99,0.30303030303030304
decoded,20000,0.001,20000,0,3,100,16,0.16,1000,65,0.065,99,0.16161616161616163
decoded,20000,0.001,20000,0,5,100,3,0.03,1000,11,0.011,99,0.030303030303030304
decoded,20000,0.001,20000,0,10,100,0,0.0,1000,0,0.0,99,0.0
decoded,20000,0.001,20000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,20000,0.001,20000,1,1,100,30,0.3,1000,211,0.211,99,0.30303030303030304
decoded,20000,0.001,20000,1,3,100,16,0.16,1000,69,0.069,99,0.16161616161616163
decoded,20000,0.001,20000,1,5,100,3,0.03,1000,11,0.011,99,0.030303030303030304
decoded,20000,0.001,20000,1,10,100,0,0.0,1000,0,0.0,99,0.0
decoded,20000,0.001,20000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,20000,0.001,50000,0,1,100,25,0.25,1000,152,0.152,99,0.25252525252525254
decoded,20000,0.001,50000,0,3,100,2,0.02,1000,3,0.003,99,0.020202020202020204
decoded,20000,0.001,50000,0,5,100,0,0.0,1000,0,0.0,99,0.0
decoded,20000,0.001,50000,0,10,100,0,0.0,1000,0,0.0,99,0.0
decoded,20000,0.001,50000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,20000,0.001,50000,1,1,100,25,0.25,1000,152,0.152,99,0.25252525252525254
decoded,20000,0.001,50000,1,3,100,2,0.02,1000,3,0.003,99,0.020202020202020204
decoded,20000,0.001,50000,1,5,100,0,0.0,1000,0,0.0,99,0.0
decoded,20000,0.001,50000,1,10,100,0,0.0,1000,0,0.0,99,0.0
decoded,20000,0.001,50000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,20000,0.01,10000,0,1,100,87,0.87,1000,796,0.796,99,0.8686868686868687
decoded,20000,0.01,10000,0,3,100,80,0.8,1000,692,0.692,99,0.797979797979798
decoded,20000,0.01,10000,0,5,100,74,0.74,1000,573,0.573,99,0.7474747474747475
decoded,20000,0.01,10000,0,10,100,30,0.3,1000,196,0.196,99,0.30303030303030304
decoded,20000,0.01,10000,0,20,100,8,0.08,1000,19,0.019,99,0.08080808080808081
decoded,20000,0.01,10000,1,1,100,87,0.87,1000,796,0.796,99,0.8686868686868687
decoded,20000,0.01,10000,1,3,100,80,0.8,1000,699,0.699,99,0.797979797979798
decoded,20000,0.01,10000,1,5,100,74,0.74,1000,580,0.58,99,0.7474747474747475
decoded,20000,0.01,10000,1,10,100,31,0.31,1000,205,0.205,99,0.31313131313131315
decoded,20000,0.01,10000,1,20,100,8,0.08,1000,22,0.022,99,0.08080808080808081
decoded,20000,0.01,20000,0,1,100,85,0.85,1000,776,0.776,99,0.8484848484848485
decoded,20000,0.01,20000,0,3,100,70,0.7,1000,535,0.535,99,0.7070707070707071
decoded,20000,0.01,20000,0,5,100,31,0.31,1000,235,0.235,99,0.31313131313131315
decoded,20000,0.01,20000,0,10,100,8,0.08,1000,22,0.022,99,0.08080808080808081
decoded,20000,0.01,20000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,20000,0.01,20000,1,1,100,85,0.85,1000,776,0.776,99,0.8484848484848485
decoded,20000,0.01,20000,1,3,100,71,0.71,1000,548,0.548,99,0.7171717171717171
decoded,20000,0.01,20000,1,5,100,36,0.36,1000,249,0.249,99,0.36363636363636365
decoded,20000,0.01,20000,1,10,100,10,0.1,1000,29,0.029,99,0.10101010101010101
decoded,20000,0.01,20000,1,20,100,1,0.01,1000,0,0.0,99,0.010101010101010102
decoded,20000,0.01,50000,0,1,100,80,0.8,1000,702,0.702,99,0.8080808080808081
decoded,20000,0.01,50000,0,3,100,24,0.24,1000,130,0.13,99,0.24242424242424243
decoded,20000,0.01,50000,0,5,100,9,0.09,1000,10,0.01,99,0.09090909090909091
decoded,20000,0.01,50000,0,10,100,0,0.0,1000,0,0.0,99,0.0
decoded,20000,0.01,50000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,20000,0.01,50000,1,1,100,80,0.8,1000,702,0.702,99,0.8080808080808081
decoded,20000,0.01,50000,1,3,100,27,0.27,1000,149,0.149,99,0.2727272727272727
decoded,20000,0.01,50000,1,5,100,10,0.1,1000,14,0.014,99,0.10101010101010101
decoded,20000,0.01,50000,1,10,100,1,0.01,1000,0,0.0,99,0.010101010101010102
decoded,20000,0.01,50000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,20000,0.05,10000,0,1,100,100,1.0,1000,997,0.997,99,1.0
decoded,20000,0.05,10000,0,3,100,100,1.0,1000,990,0.99,99,1.0
decoded,20000,0.05,10000,0,5,100,98,0.98,1000,972,0.972,99,0.9797979797979798
decoded,20000,0.05,10000,0,10,100,83,0.83,1000,747,0.747,99,0.8282828282828283
decoded,20000,0.05,10000,0,20,100,39,0.39,1000,186,0.186,99,0.3838383838383838
decoded,20000,0.05,10000,1,1,100,100,1.0,1000,997,0.997,99,1.0
decoded,20000,0.05,10000,1,3,100,100,1.0,1000,991,0.991,99,1.0
decoded,20000,0.05,10000,1,5,100,98,0.98,1000,974,0.974,99,0.9797979797979798
decoded,20000,0.05,10000,1,10,100,86,0.86,1000,761,0.761,99,0.8585858585858586
decoded,20000,0.05,10000,1,20,100,42,0.42,1000,212,0.212,99,0.41414141414141414
decoded,20000,0.05,20000,0,1,100,100,1.0,1000,996,0.996,99,1.0
decoded,20000,0.05,20000,0,3,100,98,0.98,1000,970,0.97,99,0.9797979797979798
decoded,20000,0.05,20000,0,5,100,87,0.87,1000,790,0.79,99,0.8686868686868687
decoded,20000,0.05,20000,0,10,100,40,0.4,1000,220,0.22,99,0.3939393939393939
decoded,20000,0.05,20000,0,20,100,7,0.07,1000,8,0.008,99,0.0707070707070707
decoded,20000,0.05,20000,1,1,100,100,1.0,1000,996,0.996,99,1.0
decoded,20000,0.05,20000,1,3,100,98,0.98,1000,973,0.973,99,0.9797979797979798
decoded,20000,0.05,20000,1,5,100,87,0.87,1000,809,0.809,99,0.8686868686868687
decoded,20000,0.05,20000,1,10,100,46,0.46,1000,267,0.267,99,0.45454545454545453
decoded,20000,0.05,20000,1,20,100,8,0.08,1000,13,0.013,99,0.08080808080808081
decoded,20000,0.05,50000,0,1,100,99,0.99,1000,991,0.991,99,0.98989898989899
decoded,20000,0.05,50000,0,3,100,76,0.76,1000,608,0.608,99,0.7575757575757576
decoded,20000,0.05,50000,0,5,100,38,0.38,1000,158,0.158,99,0.37373737373737376
decoded,20000,0.05,50000,0,10,100,2,0.02,1000,5,0.005,99,0.020202020202020204
decoded,20000,0.05,50000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,20000,0.05,50000,1,1,100,99,0.99,1000,991,0.991,99,0.98989898989899
decoded,20000,0.05,50000,1,3,100,79,0.79,1000,651,0.651,99,0.7878787878787878
decoded,20000,0.05,50000,1,5,100,48,0.48,1000,209,0.209,99,0.47474747474747475
decoded,20000,0.05,50000,1,10,100,5,0.05,1000,8,0.008,99,0.050505050505050504
decoded,20000,0.05,50000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,30000,0.001,10000,0,1,100,36,0.36,1000,276,0.276,99,0.36363636363636365
decoded,30000,0.001,10000,0,3,100,23,0.23,1000,146,0.146,99,0.23232323232323232
decoded,30000,0.001,10000,0,5,100,13,0.13,1000,56,0.056,99,0.13131313131313133
decoded,30000,0.001,10000,0,10,100,2,0.02,1000,3,0.003,99,0.020202020202020204
decoded,30000,0.001,10000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,30000,0.001,10000,1,1,100,36,0.36,1000,276,0.276,99,0.36363636363636365
decoded,30000,0.001,10000,1,3,100,23,0.23,1000,148,0.148,99,0.23232323232323232
decoded,30000,0.001,10000,1,5,100,14,0.14,1000,60,0.06,99,0.1414141414141414
decoded,30000,0.001,10000,1,10,100,2,0.02,1000,3,0.003,99,0.020202020202020204
decoded,30000,0.001,10000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,30000,0.001,20000,0,1,100,34,0.34,1000,235,0.235,99,0.3434343434343434
decoded,30000,0.001,20000,0,3,100,8,0.08,1000,48,0.048,99,0.08080808080808081
decoded,30000,0.001,20000,0,5,100,2,0.02,1000,4,0.004,99,0.020202020202020204
decoded,30000,0.001,20000,0,10,100,0,0.0,1000,0,0.0,99,0.0
decoded,30000,0.001,20000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,30000,0.001,20000,1,1,100,34,0.34,1000,235,0.235,99,0.3434343434343434
decoded,30000,0.001,20000,1,3,100,9,0.09,1000,51,0.051,99,0.09090909090909091
decoded,30000,0.001,20000,1,5,100,2,0.02,1000,5,0.005,99,0.020202020202020204
decoded,30000,0.001,20000,1,10,100,0,0.0,1000,0,0.0,99,0.0
decoded,30000,0.001,20000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,30000,0.001,50000,0,1,100,24,0.24,1000,153,0.153,99,0.24242424242424243
decoded,30000,0.001,50000,0,3,100,1,0.01,1000,3,0.003,99,0.010101010101010102
decoded,30000,0.001,50000,0,5,100,0,0.0,1000,0,0.0,99,0.0
decoded,30000,0.001,50000,0,10,100,0,0.0,1000,0,0.0,99,0.0
decoded,30000,0.001,50000,0,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,30000,0.001,50000,1,1,100,24,0.24,1000,153,0.153,99,0.24242424242424243
decoded,30000,0.001,50000,1,3,100,1,0.01,1000,3,0.003,99,0.010101010101010102
decoded,30000,0.001,50000,1,5,100,0,0.0,1000,0,0.0,99,0.0
decoded,30000,0.001,50000,1,10,100,0,0.0,1000,0,0.0,99,0.0
decoded,30000,0.001,50000,1,20,100,0,0.0,1000,0,0.0,99,0.0
decoded,30000,0.01,10000,0,1,100,93,0.93,1000,872,0.872,99,0.9292929292929293
decoded,30000,0.01,10000,0,3,100,80,0.8,1000,741,0.741,99,0.797979797979798
decoded,30000,0.01,10000,0,5,100,60,0.6,1000,503,0.503,99,0.5959595959595959
decoded,30000,0.01,10000,0,10,100,24,0.24,1000,127,0.127,99,0.24242424242424243
decoded,30000,0.01,10000,0,20,100,4,0.04,1000,8,0.008,99,0.04040404040404041
decoded,30000,0.01,10000,1,1,100,93,0.93,1000,872,0.872,99,0.9292929292929293
decoded,30000,0.01,10000,1,3,100,81,0.81,1000,743,0.743,99,0.8080808080808081
