mode	replicate_index	status	elapsed_seconds	error
selected	63	completed	43.337874072999966	
selected	64	completed	44.168707557999994	
selected	65	completed	41.95318569800003	
selected	66	completed	42.963781934999986	
selected	67	completed	43.265748858999984	
selected	68	completed	45.50837565299997	
selected	69	completed	47.73564059400002	
selected	70	completed	44.58736609600004	
selected	71	completed	43.930376029	
selected	72	completed	46.53220885600001	
selected	73	completed	44.67414699400007	
selected	74	completed	41.95711195700005	
selected	75	completed	42.903888284999994	
selected	76	completed	43.80266686400006	
selected	77	completed	43.46829522000007	
selected	78	completed	43.72753188599995	
selected	79	completed	45.22452407199995	
selected	80	completed	44.70804998599999	
selected	81	completed	43.00378723699998	
selected	82	completed	44.259694360000026	
selected	83	completed	43.448103100000026	
selected	84	completed	45.38010929500001	
selected	85	completed	43.991724148	
selected	86	completed	42.337372236999954	
selected	87	completed	43.23370826400003	
selected	88	completed	46.57201721499996	
selected	89	completed	45.104825181000024	
selected	90	completed	45.431082719000074	
selected	91	completed	47.159274425000035	
selected	92	completed	43.309668009999996	
selected	93	completed	44.39792688199998	
selected	94	completed	44.29868074399997	
selected	95	completed	44.95032342500008	
selected	96	completed	43.27411372000006	
selected	97	completed	43.24957246500003	
selected	98	completed	44.85424300400007	
selected	99	completed	46.50048807600001	
neutral	0	completed	44.99546220400009	
neutral	1	completed	44.972689066000044	
neutral	2	completed	41.773917061999896	
neutral	3	completed	46.59910327400007	
neutral	4	completed	44.92196240399994	
neutral	5	completed	44.4876102290001	
neutral	6	completed	44.341191815	
neutral	7	completed	43.57504782199999	
neutral	8	completed	43.517543504999935	
neutral	9	completed	42.777360050000084	
neutral	10	completed	42.362584760000004	
neutral	11	completed	44.10828504300002	
neutral	12	completed	41.984392954999976	
neutral	13	completed	42.512534899	
neutral	14	completed	45.14878440099994	
neutral	15	completed	44.48603445900005	
neutral	16	completed	42.16570938999996	
neutral	17	completed	43.59614044299997	
neutral	18	completed	41.86148975600008	
neutral	19	completed	42.812701925000056	
neutral	20	completed	44.37156600700007	
neutral	21	completed	43.269617014999994	
neutral	22	completed	41.18709327399995	
neutral	23	completed	43.183530702999974	
neutral	24	completed	49.2462011959999	
neutral	25	completed	46.40463209999996	
neutral	26	completed	43.757899909	
neutral	27	completed	42.22186076500009	
neutral	28	completed	43.60328225400008	
neutral	29	completed	42.108107692999965	
neutral	30	completed	44.09973660200001	
neutral	31	completed	47.588059679000025	
neutral	32	completed	44.751920060999964	
neutral	33	completed	43.08945175300005	
neutral	34	completed	43.23091177399999	
neutral	35	completed	43.213044318000016	
neutral	36	completed	44.80248828899994	
neutral	37	completed	45.77388323499997	
neutral	38	completed	45.359543203000044	
neutral	39	completed	49.22286592799992	
neutral	40	completed	48.871536499999934	
neutral	41	completed	48.562299375000066	
neutral	42	completed	47.85630668800002	
neutral	43	completed	47.85841471099991	
neutral	44	completed	52.58967589400004	
neutral	45	completed	49.05388046099995	
neutral	46	completed	48.18455071699998	
neutral	47	completed	45.91416037199997	
neutral	48	completed	53.597933205000004	
neutral	49	completed	45.70676490199992	
neutral	50	completed	45.90313301399999	
neutral	51	completed	49.19543316800002	
neutral	52	completed	49.24834601400005	
neutral	53	completed	45.18272308999997	
neutral	54	completed	46.77058162499998	
neutral	55	completed	51.90324032299998	
neutral	56	completed	46.31093272199996	
neutral	57	completed	45.83647693900002	
neutral	58	completed	46.3811879430001	
neutral	59	completed	45.98723174899999	
neutral	60	completed	48.65493071499998	
neutral	61	completed	49.596380500999885	
neutral	62	completed	46.00340695700004	
neutral	63	completed	50.336120848000064	
neutral	64	completed	49.61857042800011	
neutral	65	completed	47.91023237699994	
neutral	66	completed	46.97848998300003	
neutral	67	completed	49.83957054000007	
neutral	68	completed	50.22493326400013	
neutral	69	completed	47.40881936899996	
neutral	70	completed	49.67315771099993	
neutral	71	completed	47.60663057900001	
neutral	72	completed	46.12602881800012	
neutral	73	completed	46.465306944000076	
neutral	74	completed	44.73187959200004	
neutral	75	completed	47.30128416000002	
neutral	76	completed	45.85263028400004	
neutral	77	completed	47.22384927899998	
neutral	78	completed	49.03292576500007	
neutral	79	completed	50.43579600699991	
neutral	80	completed	48.15038267399996	
neutral	81	completed	45.06849113500016	
neutral	82	completed	51.447064700000055	
neutral	83	completed	48.00363764200006	
neutral	84	completed	45.33148869499996	
neutral	85	completed	43.78635528000018	
neutral	86	completed	45.3287779809998	
neutral	87	completed	49.43774099699999	
neutral	88	completed	41.638879417	
neutral	89	completed	47.32370810799989	
neutral	90	completed	44.13572382699999	
neutral	91	completed	44.06038263999994	
neutral	92	completed	49.90107002700006	
neutral	93	completed	49.51466958899982	
neutral	94	completed	49.66779438399999	
neutral	95	completed	51.743110071000046	
neutral	96	completed	52.08820518699986	
neutral	97	completed	51.38614962800011	
neutral	98	completed	50.65007516200012	
neutral	99	completed	50.46473197099999	
